sa3_name16,sa3_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,os_vis_m,os_vis_f,os_vis_p,count_psns_occ_priv_dwgs_m,count_psns_occ_priv_dwgs_f,count_psns_occ_priv_dwgs_p,count_persons_other_dwgs_m,count_persons_other_dwgs_f,count_persons_other_dwgs_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p
Griffith - Murrumbidgee (West),11301,24352,24079,48431,1632,1602,3233,3410,3318,6728,1679,1530,3209,1502,1347,2854,3113,3065,6177,2812,2805,5615,3235,3139,6371,3146,2912,6061,2085,2140,4222,1311,1455,2762,428,779,1210,274,273,550,23156,23075,46226,1201,1007,2203,1381,1418,2802,26,26,54,13,10,23,1421,1457,2881,18147,18097,36244,3319,3146,6468,18475,18410,36891,3323,3203,6531,20068,19997,40065,377,347,721,2984,2868,5851,1009,1030,2037,133,188,326,364,665,1032,5438,6543,11975,1429,1411,2838,6174,5467,11637,1732,1606,3336,1658,1309,2963,194,178,376
Tumut - Tumbarumba,11302,7309,6997,14307,414,415,830,932,901,1834,401,346,748,340,325,664,761,705,1467,866,801,1662,1038,917,1960,1077,1035,2117,857,811,1671,470,463,934,149,270,420,25,22,47,6861,6799,13665,450,197,646,296,309,605,11,4,15,6,4,11,311,321,631,5907,5662,11573,615,588,1206,6218,6103,12316,265,254,515,6209,6105,12318,86,98,183,828,807,1632,253,236,486,36,72,112,94,201,295,1604,1950,3552,479,466,945,1875,1729,3606,600,488,1094,443,310,752,25,14,44
Wagga Wagga,11303,46728,47141,93867,3113,2809,5923,6401,6160,12565,3459,3106,6566,3599,3509,7106,5998,5947,11947,5527,5430,10961,5658,5832,11487,5659,5745,11404,4236,4315,8552,2250,2821,5067,824,1469,2289,131,187,322,42765,44743,87512,3959,2396,6357,2422,2377,4802,51,47,101,50,30,80,2513,2459,4977,39226,39930,79164,3992,3744,7743,40302,41873,82169,2583,2365,4947,40898,42394,83296,729,631,1356,5864,5631,11486,2141,2204,4341,933,1473,2413,1098,1967,3069,13548,16455,30007,2877,2645,5521,11021,10618,21635,3284,3108,6391,2174,1834,4010,146,133,280
Shoalhaven,11401,48522,49651,98175,2648,2503,5147,5781,5427,11206,2704,2600,5306,2472,2160,4631,4670,4603,9273,4962,5082,10048,5901,6303,12206,7175,7732,14904,7099,7271,14375,3825,4118,7945,1285,1858,3138,158,208,367,46410,48386,94795,2117,1268,3380,2671,2609,5280,52,68,123,41,25,71,2765,2701,5465,38396,39117,77515,6113,6436,12546,42617,44067,86681,1857,2153,4014,42820,44334,87154,726,694,1421,5245,4917,10162,1755,1744,3498,426,496,922,722,1614,2341,12980,14832,27810,2909,2714,5630,12761,13280,26034,4216,4209,8423,2386,2180,4569,122,92,211
Southern Highlands,11402,22527,24886,47415,1233,1136,2373,3052,3009,6064,1422,1565,2991,990,903,1898,1978,2046,4024,2362,2699,5060,2951,3435,6385,3018,3515,6531,3208,3684,6884,1784,1990,3776,530,906,1442,89,119,208,21870,23779,45646,659,1111,1773,410,480,883,6,11,21,5,12,20,426,502,921,17425,19191,36615,3544,3946,7494,19933,21952,41890,1264,1442,2705,19946,22030,41976,356,323,682,2778,2742,5518,1032,1169,2202,221,274,496,384,832,1218,8268,9735,18008,1258,1461,2718,5088,5552,10648,1350,1450,2806,691,676,1370,64,49,114
Baulkham Hills,11501,70556,74281,144831,4253,4089,8341,10723,10055,20782,5319,4994,10318,4801,4354,9152,7154,7525,14680,9624,10961,20589,9989,10930,20919,8657,9519,18171,6295,6710,13004,2728,3249,5970,1012,1895,2907,889,1214,2099,69538,72781,142319,1019,1497,2517,262,275,535,3,5,8,10,3,19,280,288,562,41062,42206,83275,26850,28946,55793,43553,44269,87825,24399,26769,51168,59992,62150,122142,1164,1161,2325,10205,9571,19781,4703,4470,9179,2570,2321,4895,1880,2817,4693,38380,39751,78133,2944,2800,5740,8032,9740,17769,2146,2469,4623,1070,1417,2491,273,366,634
Dural - Wisemans Ferry,11502,12956,13177,26134,680,609,1288,1908,1763,3675,1050,961,2012,866,785,1648,1091,1135,2223,1408,1605,3012,1979,2117,4098,1686,1733,3414,1394,1404,2799,665,688,1358,228,369,600,74,92,168,12798,12949,25750,155,232,384,97,94,198,4,6,11,0,0,0,109,100,206,9557,9590,19148,2731,2862,5592,10472,10477,20957,1890,2029,3921,11583,11715,23298,211,188,400,1800,1656,3459,880,767,1656,365,354,724,226,376,601,5408,6105,11511,647,574,1217,2586,2403,4990,664,591,1259,368,350,719,70,60,134
Hawkesbury,11503,12189,12097,24285,761,695,1456,1765,1677,3442,919,835,1754,745,763,1516,1243,1245,2485,1456,1584,3035,1963,1972,3940,1657,1637,3293,1153,1135,2289,421,414,829,116,133,251,26,46,76,12154,12073,24223,38,23,61,337,307,648,3,3,8,7,3,12,346,317,661,9947,9802,19750,1353,1390,2737,10836,10716,21551,543,555,1095,10901,10766,21671,219,177,399,1606,1563,3162,635,630,1266,177,232,413,177,380,558,3497,4393,7888,677,606,1283,3416,2906,6325,863,682,1545,415,296,711,31,20,48
Rouse Hill - McGraths Hill,11504,16524,16553,33080,1218,1125,2339,2963,2781,5741,1335,1248,2583,995,906,1897,1785,1919,3702,2594,2864,5465,2451,2387,4836,1642,1680,3319,1068,1079,2145,392,415,811,89,147,236,103,164,269,16473,16542,33013,51,17,62,199,198,398,3,3,9,0,0,0,208,200,405,11670,11455,23131,4184,4345,8531,12488,12216,24700,3428,3652,7079,14595,14417,29005,339,316,658,2823,2640,5464,1067,1027,2093,372,398,771,337,560,903,6547,7367,13910,796,708,1502,3207,2866,6070,761,637,1395,405,348,755,48,57,105
Blacktown,11601,67600,67946,135548,5101,4886,9989,9074,8451,17533,4431,4058,8485,4726,4311,9044,10981,11147,22128,10093,9656,19756,8170,8315,16482,7273,7938,15214,4835,5174,10010,2179,2757,4933,736,1248,1984,619,948,1563,67081,67273,134359,513,676,1185,1307,1382,2691,50,54,105,31,38,71,1391,1470,2859,35040,34680,69721,28621,28873,57488,34869,34216,69082,29072,29600,58671,53219,53316,106543,1051,995,2045,8358,7757,16115,3363,3180,6547,1845,1707,3553,2108,3129,5239,29487,30039,59524,3106,2694,5795,10795,10457,21247,3005,3099,6103,2521,3000,5523,559,798,1358
Blacktown - North,11602,46648,46747,93395,3999,3868,7867,7743,7215,14957,3268,3024,6292,2955,2667,5621,6643,7326,13965,8614,8444,17063,5922,6049,11974,4052,4360,8412,2432,2547,4983,825,946,1770,184,309,494,441,729,1168,45485,46598,92085,1161,149,1306,753,560,1310,13,11,26,17,15,38,782,590,1370,26556,25826,52381,17958,18456,36415,26151,26176,52327,17495,18277,35771,38320,38485,76803,938,918,1853,7260,6756,14019,2667,2515,5183,1279,1176,2463,1229,1905,3130,21273,22732,44006,1914,1746,3653,6166,6068,12231,1517,1460,2976,957,1106,2062,183,319,502
Mount Druitt,11603,55507,57736,113243,4709,4556,9263,9223,8595,17820,4429,4251,8681,4190,4224,8417,7949,8871,16822,7402,7763,15166,6967,7268,14231,5443,5834,11272,3477,3872,7351,1389,1743,3131,336,758,1095,435,661,1096,54847,56965,111816,665,771,1432,2479,2623,5097,56,62,114,41,36,74,2571,2715,5281,30053,30512,60563,21080,22503,43586,29704,30047,59756,21833,23470,45300,44226,45534,89758,848,812,1656,8136,7648,15785,3055,3078,6131,1183,1380,2563,1379,2364,3744,19872,21467,41342,2840,2886,5724,9328,9330,18661,2925,3173,6095,2322,2735,5059,458,722,1178
Botany,11701,24437,24685,49125,1511,1404,2916,2606,2462,5069,1448,1315,2769,1950,2003,3950,4597,4556,9155,3769,3839,7609,3283,3095,6379,2400,2475,4868,1618,1918,3541,974,1129,2104,269,487,758,676,777,1457,23020,23480,46502,1414,1203,2622,351,403,753,11,9,23,13,11,21,373,428,802,11666,11341,23008,10151,10698,20846,11979,11362,23337,10006,10867,20873,17320,17559,34879,329,306,635,2369,2220,4581,1127,1036,2169,934,964,1896,1091,1332,2422,12054,12487,24543,976,807,1778,2880,2718,5599,742,777,1516,836,1064,1898,229,326,560
Sydney Inner City,11703,133206,122240,255448,3796,3744,7542,4507,4499,9006,5091,6322,11412,16325,19028,35360,40750,38207,78953,23581,18043,41619,17268,12621,29888,11682,9674,21358,6687,6075,12763,2714,2853,5567,796,1179,1972,11599,12324,23918,104491,100412,204899,28715,21832,50544,1290,1240,2532,51,51,96,53,50,102,1392,1341,2736,48887,42547,91430,51656,51678,103335,64064,53796,117858,36634,40853,77489,67622,59884,127511,599,621,1216,3292,3365,6663,3110,4052,7162,7738,9909,17655,9658,11332,20990,78302,73774,152073,3776,2908,6682,6749,5657,12406,1788,1642,3429,1585,1770,3352,603,801,1398
Marrickville - Sydenham - Petersham,11702,26941,27588,54533,1497,1433,2934,2493,2230,4727,983,936,1913,1938,2247,4181,6157,6372,12529,4654,4821,9475,3665,3559,7224,2602,2645,5249,1663,1729,3397,964,1089,2056,319,520,839,274,314,590,25830,26952,52791,1110,632,1744,379,404,781,4,5,14,11,3,18,397,414,810,15702,15988,31696,8767,9178,17950,16802,16850,33650,7808,8482,16290,21225,21928,43151,324,299,622,2256,2027,4278,740,732,1470,811,985,1799,1535,2085,3620,14957,16164,31123,999,815,1819,2545,2157,4699,621,548,1173,1022,1271,2295,359,549,908
Eastern Suburbs - North,11801,61095,67127,128225,3676,3470,7144,6418,6312,12724,2709,2754,5459,3419,4042,7455,12438,14630,27066,10157,10540,20697,7923,8148,16072,5809,6396,12197,4874,5605,10480,2519,3260,5778,1168,1971,3140,1380,1485,2866,58570,64499,123066,2528,2626,5155,237,184,419,14,15,33,4,14,20,259,215,470,32368,35136,67507,21302,23774,45071,43378,46524,89906,10498,12694,23193,44581,48981,93568,1002,896,1895,5743,5666,11406,2188,2239,4423,1467,1792,3258,2392,3508,5899,37111,41332,78444,1880,1940,3821,3402,4246,7646,996,1132,2129,589,739,1325,111,128,242
Eastern Suburbs - South,11802,70571,73376,143943,3874,3768,7646,6817,6558,13378,4464,4359,8825,8182,8013,16201,13360,13472,26831,10391,10707,21099,8418,8816,17235,6535,7049,13583,4680,5236,9915,2699,3326,6024,1149,2067,3215,1492,2014,3508,64563,69413,133978,6008,3959,9964,1110,960,2072,31,33,63,24,13,42,1157,1014,2168,35866,36377,72244,27835,29546,57383,41068,42592,83664,21367,23678,45046,47754,51569,99322,920,956,1874,6258,6014,12271,3568,3538,7102,5134,4906,10042,3891,4532,8422,39902,42667,82568,2360,2233,4592,5979,6527,12507,1684,1833,3518,1424,1837,3261,315,445,768
Bankstown,11901,85013,87729,172744,6453,6187,12639,12525,11656,24178,5857,5655,11511,6168,6061,12224,11808,12537,24350,10973,11704,22672,10453,11058,21509,9435,9743,19187,6348,6394,12745,3462,4249,7707,1524,2494,4014,650,848,1499,83666,86186,169854,1342,1543,2888,648,699,1345,15,34,50,10,8,22,681,740,1424,46658,47090,93747,32388,34424,66816,32993,32878,65868,46626,49306,95929,70581,72652,143235,1396,1297,2688,11170,10519,21691,4564,4569,9130,2515,2565,5075,2408,3750,6151,34895,36723,71616,3670,3346,7016,13010,12800,25814,3623,4056,7671,3981,4802,8787,1374,2091,3465
Canterbury,11902,68642,67354,135999,5150,4775,9927,8885,8277,17159,4215,3935,8153,5033,4664,9696,11890,11174,23065,9840,9301,19144,8492,8698,17186,6623,7053,13674,4593,4688,9280,2860,3313,6173,1058,1485,2544,681,868,1542,68044,66631,134671,596,725,1324,304,382,687,24,28,54,11,13,19,336,427,761,29680,28796,58482,34010,33465,67471,18858,17867,36723,45200,44797,89999,50223,50178,100397,1006,889,1895,7969,7432,15400,3323,3228,6547,2506,2020,4527,3237,3599,6835,32199,31246,63444,2548,2234,4784,7512,7356,14867,2297,2244,4535,3927,4479,8408,1555,2043,3599
Hurstville,11903,62282,66222,128505,3801,3514,7316,7164,6817,13985,4027,3926,7950,5184,4660,9837,10212,10559,20769,7747,8617,16360,7974,8832,16806,7131,8066,15194,4986,5455,10441,2918,3600,6514,1153,2184,3331,894,1341,2239,61839,65287,127132,440,934,1373,296,385,683,15,15,32,9,3,9,318,406,726,31345,31644,62993,27318,30331,57645,26790,26990,53787,32224,35346,67570,46799,49097,95899,865,794,1654,6599,6362,12962,3346,3340,6685,2791,2524,5313,2604,3396,5999,33165,34591,67759,2460,2252,4705,7179,8132,15312,2223,2673,4902,2074,2822,4896,683,1030,1715
Kogarah - Rockdale,11904,69278,71161,140441,4337,4105,8441,7180,6717,13898,3664,3492,7160,5175,5172,10353,13878,13757,27633,10026,9938,19962,8325,8839,17165,6905,7622,14530,5240,5590,10826,3173,3841,7013,1369,2094,3463,994,1413,2411,67544,69114,136664,1725,2047,3780,419,424,842,22,18,47,12,15,26,452,455,910,31918,31831,63756,31864,33289,65149,26165,25708,51875,38091,39992,78084,50079,51661,101742,898,858,1754,6520,6119,12636,2924,2891,5819,2714,2590,5299,3580,4151,7740,36175,36610,72783,2708,2414,5120,7903,8187,16095,1981,2236,4216,2718,3523,6232,712,1141,1852
Canada Bay,12001,41026,44961,85986,2744,2589,5328,4461,4329,8790,2013,1962,3975,2805,3066,5869,7472,7978,15456,6304,6718,13023,5142,6027,11168,4305,5082,9389,3234,3648,6884,1784,2252,4031,752,1316,2070,553,829,1382,40409,44126,84536,616,832,1450,183,196,378,10,13,18,0,3,9,192,216,406,22417,23720,46138,15769,17802,33568,22592,23673,46262,15752,18120,33865,31241,33807,65050,588,539,1129,4147,3991,8137,1653,1668,3330,1511,1696,3208,1709,2227,3933,22989,24993,47988,1390,1289,2680,4073,4888,8956,1090,1361,2455,1302,1744,3043,323,457,777
Leichhardt,12002,26575,29072,55651,2045,2017,4060,3188,2948,6134,930,964,1894,1435,1538,2979,4110,4725,8833,5059,5545,10602,4013,4292,8307,2798,3277,6074,1953,2329,4283,785,968,1752,265,473,739,217,322,542,25881,28478,54354,701,599,1294,245,291,536,16,13,30,5,6,20,267,312,583,16822,18664,35480,7509,8031,15540,20548,22127,42679,3869,4662,8529,21352,23611,44961,485,477,961,2921,2721,5639,760,780,1535,682,754,1434,1003,1635,2641,15136,17347,32486,881,791,1668,2158,2356,4513,538,615,1150,482,594,1072,92,123,212
Strathfield - Burwood - Ashfield,12003,75223,78261,153484,4023,3895,7921,7120,6956,14078,4145,4060,8200,7288,7088,14374,16753,16116,32866,10417,10702,21120,9156,10117,19271,7362,8188,15547,4758,5340,10090,2978,3686,6666,1226,2128,3351,1218,1620,2840,73327,76433,149761,1895,1834,3730,409,489,896,22,19,33,14,16,29,442,515,955,32616,33369,65986,36768,38789,75554,30968,30732,61697,38718,41764,80483,51043,54028,105074,857,865,1723,6532,6416,12945,3421,3471,6888,4161,3966,8123,4476,5395,9879,44553,45954,90510,2341,2247,4592,6208,6377,12587,1773,1946,3714,2553,3435,5993,886,1251,2135
Chatswood - Lane Cove,12101,55550,59930,115478,3830,3681,7508,7221,6728,13943,3230,2861,6086,3264,3663,6925,9071,9921,18998,9146,9953,19099,7253,7943,15198,5517,6354,11872,4028,4532,8559,2058,2616,4671,936,1679,2612,1294,1731,3019,53306,57592,110889,2244,2344,4587,136,107,243,3,3,9,3,4,9,148,111,261,29351,29514,58861,22268,25851,48121,33538,33378,66923,18226,22124,40351,41708,43547,85252,1003,935,1937,6738,6283,13020,2843,2492,5336,1830,1979,3803,2240,3299,5543,33793,36668,70463,1766,1704,3471,3272,4215,7484,1072,1252,2330,795,977,1772,210,328,536
Hornsby,12102,39430,41571,81005,2882,2567,5445,5639,5408,11042,2496,2577,5069,2245,2086,4332,4693,5094,9785,6312,6697,13015,5469,5930,11400,4404,4904,9310,3072,3449,6522,1611,1853,3461,602,1017,1621,449,693,1144,38838,40640,79485,590,932,1521,213,244,459,5,8,11,0,0,3,223,255,476,23401,23705,47108,14278,15750,30028,26059,26303,52363,11722,13265,24984,32178,33153,65327,741,698,1444,5351,5158,10505,2093,2245,4346,1109,1077,2191,1307,2009,3313,21200,22566,43762,1553,1526,3075,4527,5044,9576,1126,1277,2406,593,717,1312,170,226,396
Ku-ring-gai,12103,56882,62240,119123,3140,2958,6092,9326,8739,18060,4850,4663,9510,3330,3391,6714,4624,5190,9813,6894,8243,15142,8626,9877,18507,6538,7207,13743,4919,5624,10538,3131,3797,6925,1512,2559,4074,856,1180,2035,55832,60406,116238,1052,1841,2888,99,114,210,13,10,21,0,6,6,110,130,238,32818,34667,67483,21484,24291,45772,39466,41317,80787,14906,17743,32655,47313,50747,98067,983,909,1892,8831,8331,17158,4277,4156,8424,2041,2058,4098,1555,2431,3987,34402,36968,71373,1960,2404,4370,3450,5100,8542,1402,1628,3032,625,781,1404,135,205,338
North Sydney - Mosman,12104,44372,50371,94743,2651,2560,5206,4185,4045,8229,1766,1748,3508,2152,2509,4666,8862,10223,19094,7700,8306,16009,5762,6694,12458,4828,5744,10569,3962,4927,8893,1810,2298,4106,701,1320,2018,702,889,1592,42860,49196,92058,1511,1180,2688,119,111,234,10,15,25,7,3,5,136,128,264,24782,27782,52566,15756,18236,33990,32399,35832,68226,8194,10295,18495,33471,37849,71321,619,623,1237,3822,3719,7543,1445,1468,2917,976,1168,2144,1722,2860,4582,29319,33074,62398,1278,1656,2937,2292,3555,5844,630,777,1406,336,370,704,72,100,168
Manly,12201,20509,21838,42348,1312,1337,2640,2661,2644,5304,1018,1070,2084,1036,1092,2134,3151,3483,6631,3478,3621,7103,2988,3105,6095,2136,2292,4423,1610,1710,3320,797,932,1732,331,552,884,374,417,788,19776,21178,40953,731,663,1400,92,82,173,0,3,7,0,4,6,94,85,188,11985,12701,24683,6890,7428,14317,16216,16862,33079,2679,3242,5913,15599,16686,32287,360,363,721,2476,2462,4938,848,882,1731,448,496,948,631,959,1592,12189,12660,24849,715,776,1493,1436,2007,3447,404,482,888,203,207,408,26,24,51
Pittwater,12202,28835,30538,59379,1821,1612,3437,4224,4059,8283,1849,1752,3600,1601,1392,2994,2369,2511,4878,3636,4063,7699,4211,4654,8871,3852,4193,8048,3098,3362,6459,1591,1859,3453,582,1073,1661,248,257,498,28492,29965,58456,348,577,927,181,171,351,8,3,11,3,5,5,193,180,371,20784,21813,42599,6595,7140,13743,25077,26186,51262,2331,2813,5144,25297,26673,51965,537,511,1042,3957,3819,7775,1486,1466,2954,696,630,1326,561,1002,1564,14319,15301,29619,1384,1461,2847,4279,4809,9085,916,1010,1924,428,432,863,40,42,83
Warringah,12203,72926,76654,149581,4917,4630,9550,10720,9916,20634,4662,4286,8943,3924,3730,7661,8697,9457,18158,11217,11898,23113,10797,11280,22078,7536,7955,15490,5562,6455,12018,3394,4239,7630,1505,2811,4315,618,842,1458,71794,74985,146780,1135,1670,2798,420,386,806,17,20,41,6,4,13,445,410,854,47897,49006,96902,21105,23072,44181,56613,57772,114383,12550,14467,27023,60919,63346,124270,1338,1242,2572,10086,9302,19385,3788,3512,7298,1695,1692,3386,2110,3155,5268,36231,38889,75121,3373,3039,6412,9744,10840,20581,2444,2662,5111,1454,1660,3108,282,337,617
Camden,12301,30112,32036,62147,2502,2434,4935,5085,4916,10001,2234,2236,4474,1890,1916,3804,4029,4443,8474,4612,5019,9632,3947,4252,8196,2864,3150,6006,1897,2054,3946,787,1039,1820,270,587,854,98,123,220,29900,31648,61546,215,390,605,813,819,1634,4,8,14,5,3,10,825,833,1659,24233,25676,49911,4761,5079,9838,25965,27323,53286,3139,3533,6678,27434,29091,56527,625,636,1262,4802,4662,9466,1661,1724,3390,542,653,1193,528,1133,1666,10063,12152,22219,1795,1619,3413,7150,6817,13965,1666,1776,3443,698,789,1483,65,91,153
Campbelltown (NSW),12302,78242,81081,159328,6013,5640,11652,11520,10883,22405,5634,5251,10894,5870,5802,11673,11327,12342,23670,10508,10833,21347,9556,10369,19926,9035,9836,18875,5938,6303,12246,2236,2677,4909,597,1135,1730,488,714,1199,76902,79819,156721,1348,1263,2605,2714,3097,5809,69,64,134,53,51,108,2841,3212,6053,48700,49438,98137,24039,25492,49526,50038,50922,100966,23231,24715,47944,65186,66800,131985,1236,1177,2416,10427,9795,20225,3910,3824,7735,1758,1860,3621,1937,3177,5113,28200,30555,58758,4208,4060,8266,15637,15851,31485,4510,4727,9233,2674,2964,5634,458,710,1161
Wollondilly,12303,20261,20436,40701,1482,1311,2793,3183,2960,6146,1460,1352,2816,1179,1222,2400,2374,2510,4886,2634,2795,5424,2726,2839,5565,2454,2530,4983,1755,1705,3461,787,833,1617,231,382,607,45,58,100,20023,20095,40118,241,343,581,630,651,1282,11,10,26,6,6,11,652,664,1313,16667,16603,33270,2318,2560,4879,18062,18172,36237,1153,1221,2371,18507,18589,37096,383,370,755,2948,2742,5689,1041,1002,2040,284,394,677,290,651,944,5317,6881,12199,1147,1074,2220,5845,5063,10911,1355,1268,2622,673,561,1234,63,44,108
Blue Mountains,12401,36916,39889,76803,2153,2067,4219,5077,4798,9879,2473,2363,4835,1916,1816,3729,3470,3696,7163,4628,5122,9754,5151,5792,10938,5455,6155,11608,4243,4793,9035,1817,2225,4040,544,1059,1605,401,524,926,35609,38340,73950,1312,1542,2855,853,901,1753,16,15,31,16,17,36,885,930,1816,28733,30763,59500,6097,6805,12901,32813,35211,68019,2210,2564,4782,33024,35626,68656,572,588,1165,4736,4486,9227,1928,1808,3737,698,768,1460,1092,1963,3054,15807,18261,34068,1950,1985,3942,7327,7683,15007,1701,1883,3582,769,802,1574,79,66,138
Blue Mountains - South,12402,11,0,8,0,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,3,6,0,6,0,0,0,6,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penrith,12403,68630,71369,139994,5492,5102,10593,9918,9599,19509,4900,4439,9342,4762,4816,9576,10457,11164,21622,9760,10204,19968,8362,8966,17329,7264,8019,15285,5085,5386,10475,2020,2526,4547,602,1143,1748,288,438,729,67538,70076,137614,1094,1292,2381,2580,2634,5214,56,49,100,23,30,52,2655,2713,5362,51521,53120,104641,13073,13991,27064,55822,57280,113107,9106,10125,19233,60093,62199,122287,1335,1244,2581,9217,8970,18194,3447,3278,6725,1288,1437,2721,1527,2797,4323,22428,25904,48334,4005,3601,7614,16349,16028,32373,4166,4108,8276,2278,2412,4687,239,280,521
Richmond - Windsor,12404,18280,18371,36652,1159,1096,2254,2394,2261,4654,1281,1238,2525,1515,1371,2892,2745,2574,5319,2386,2280,4665,2476,2579,5060,1994,2083,4074,1392,1495,2886,706,925,1633,235,456,693,49,68,115,16812,17521,34336,1468,848,2313,991,933,1923,19,13,37,5,6,9,1014,951,1971,14697,14638,29333,2415,2530,4943,15241,15721,30957,1231,1335,2567,15626,16128,31752,278,265,550,2209,2062,4275,797,857,1657,298,408,703,348,674,1026,4861,5787,10648,1080,1051,2134,4803,4673,9482,1281,1280,2560,791,744,1537,69,51,121
St Marys,12405,26722,27195,53918,1999,1918,3919,3728,3521,7253,1835,1833,3667,2188,2116,4296,4006,4184,8192,3536,3548,7086,3410,3570,6979,3268,3438,6709,1910,1848,3758,663,858,1517,182,355,536,95,149,244,26593,27048,53642,126,147,271,1008,992,2000,24,25,47,18,14,36,1047,1026,2077,17755,17943,35698,7158,7289,14447,18727,18757,37486,6343,6672,13016,22453,22863,45321,431,400,832,3354,3198,6554,1253,1294,2549,550,595,1144,523,979,1503,8463,9499,17959,1582,1490,3074,6399,5935,12332,1622,1576,3198,1061,1136,2199,153,228,378
Auburn,12501,48743,42911,91655,3275,3144,6423,4777,4530,9312,2549,2351,4903,4749,3646,8395,12506,9730,22239,7289,5804,13096,5371,5191,10558,4425,4422,8848,2330,2258,4580,1106,1197,2304,357,636,990,785,867,1646,46311,41825,88139,2432,1086,3518,378,200,581,9,20,27,9,0,10,395,217,614,15883,14289,30168,28876,24913,53792,9563,8456,18019,33907,30593,64494,28382,27851,56232,508,494,1003,4233,4020,8255,1978,1912,3890,2188,1738,3925,3000,2925,5923,24276,21767,46046,1697,1255,2960,4003,3541,7549,1346,1186,2528,2254,2129,4380,1713,1502,3214
