sa3_name16,sa3_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Banyule,20901,5444,10878,47,43,92,5535,5534,11068,28,26,54,2414,2420,4832,28,30,57,2467,2477,4945,10,19,35,2027,2857,4888,37,39,69,2071,2918,4994,0,0,0,310,416,732,0,5,5,310,420,735,240,253,493,44812,46487,91297,1395,1479,2878,46444,48223,94665,0,0,0,0,0,0,0,0,0,4,0,4,78,83,157,8587,9995,18584,635,785,1426,9301,10863,20167,318,334,655,53405,56477,109879,2034,2271,4302,55752,59086,114833,13,4,19,693,864,1558,114,86,201,814,954,1769
Moreland - North,21003,2934,6208,41,35,77,3327,2992,6323,12,11,21,1448,1486,2937,21,18,38,1481,1520,3002,11,6,24,2313,3275,5586,24,37,65,2349,3321,5671,0,0,0,500,767,1262,3,6,13,504,773,1275,113,126,237,23806,23880,47688,1275,1225,2505,25192,25236,50429,0,0,0,0,0,0,0,0,0,0,0,0,62,59,117,9623,9958,19579,780,825,1606,10458,10842,21300,173,182,354,33426,33838,67266,2059,2050,4106,35650,36077,71732,0,0,0,361,709,1072,70,79,149,430,792,1219
Sunbury,21004,2649,5733,22,21,47,3149,2711,5861,8,11,22,1079,958,2041,4,11,15,1094,985,2081,11,8,25,627,740,1367,8,10,21,648,760,1403,3,0,3,52,59,112,0,3,6,57,67,127,188,161,351,16304,16784,33092,764,769,1539,17261,17719,34977,0,0,0,0,0,0,0,0,0,0,0,0,7,22,30,958,1335,2297,72,99,172,1037,1455,2496,193,183,380,17262,18122,35390,837,866,1709,18300,19179,37477,0,0,0,66,170,237,12,27,40,84,193,274
Tullamarine - Broadmeadows,21005,7458,15923,76,63,137,8616,7603,16224,49,43,91,4191,3763,7954,36,32,69,4274,3841,8110,34,41,74,4868,5560,10423,50,63,114,4954,5657,10610,0,0,4,1388,2181,3570,15,26,45,1414,2208,3618,438,480,921,64345,64348,128692,3163,3182,6341,67948,68006,135954,0,0,0,0,3,9,0,4,3,3,7,8,48,72,116,8350,8556,16907,914,846,1758,9305,9470,18776,489,545,1036,72698,72907,145603,4080,4028,8105,77263,77487,154743,3,4,5,459,353,806,75,66,135,537,416,954
Glen Eira,20802,4501,8945,34,33,63,4488,4550,9037,4,3,7,1894,1902,3800,10,11,26,1906,1920,3831,4,6,6,1961,2695,4658,13,30,44,1984,2734,4710,0,0,0,340,457,798,8,5,15,347,462,810,70,76,142,38964,40255,79217,1242,1260,2501,40276,41583,81859,0,0,0,0,0,0,0,0,0,0,0,0,42,61,100,26299,29263,55560,1455,1600,3052,27790,30914,58712,108,132,242,65262,69516,134776,2694,2858,5546,68064,72503,140568,0,0,0,647,1150,1795,52,88,146,702,1245,1941
Knox,21101,8869,18479,76,56,127,9775,8976,18746,16,37,53,3856,3765,7617,43,30,70,3915,3826,7741,17,14,35,2360,3003,5361,28,37,64,2406,3056,5463,4,3,10,379,506,889,3,3,4,392,516,908,321,315,639,62176,63671,125850,1950,1897,3849,64450,65886,130338,0,0,0,0,0,0,0,0,0,0,0,0,39,42,80,6936,8313,15246,407,502,913,7381,8851,16236,363,352,711,69113,71985,141101,2355,2401,4755,71834,74740,146577,6,0,8,573,1079,1655,47,93,133,622,1175,1803
Manningham - East,21102,1184,2425,4,10,14,1252,1199,2454,0,0,4,552,566,1116,6,3,13,557,571,1129,3,0,5,337,440,778,3,5,12,347,448,798,0,0,0,44,71,110,0,0,0,45,71,117,31,30,57,11275,11307,22586,356,352,706,11657,11690,23349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,528,926,32,43,78,429,576,1004,31,35,61,11673,11840,23514,385,396,786,12091,12266,24355,0,0,0,106,253,353,26,51,75,131,303,430
Maroondah,21103,6102,12431,48,48,100,6432,6201,12632,16,13,35,2432,2479,4912,23,23,47,2470,2518,4991,16,9,28,1772,2207,3983,13,33,47,1805,2252,4058,0,0,0,326,404,730,7,3,9,333,403,739,235,245,482,44456,46870,91319,1327,1402,2724,46010,48510,94525,0,0,0,0,0,0,0,0,0,0,0,0,27,39,62,3815,4399,8207,350,413,765,4188,4844,9034,260,279,544,48270,51263,99533,1679,1811,3490,50204,53353,103556,0,0,0,536,944,1478,89,223,311,627,1168,1791
Whitehorse - East,21104,2728,5138,16,22,39,2436,2762,5200,4,3,10,1138,1155,2292,10,6,16,1154,1167,2313,8,9,8,955,1359,2318,14,15,31,972,1385,2363,3,0,0,239,393,638,3,3,6,246,402,643,53,56,107,21856,22860,44713,553,599,1152,22455,23517,45971,0,0,0,0,0,0,0,0,0,0,0,0,18,23,39,5158,6005,11168,227,272,500,5399,6299,11704,68,72,140,27015,28861,55876,780,880,1656,27862,29814,57675,0,0,0,204,420,621,56,104,159,254,525,782
Yarra Ranges,21105,9500,21232,107,88,197,11962,9705,21667,46,46,88,4750,3878,8625,55,34,90,4850,3952,8805,37,36,70,2525,2588,5114,43,44,89,2608,2663,5277,3,0,3,243,223,468,3,3,11,253,226,480,583,600,1184,63172,64306,127473,2718,2803,5524,66473,67708,134181,0,0,0,16,30,49,0,6,6,19,35,55,31,41,68,2195,2864,5052,198,208,405,2427,3109,5532,612,644,1254,65381,67193,132576,2925,3011,5934,68917,70848,139767,0,46,46,470,584,1057,114,183,297,580,815,1390
Cardinia,21201,6284,13894,61,57,118,7728,6385,14113,40,16,60,3023,2498,5516,43,31,72,3100,2545,5644,15,21,36,1695,1654,3352,22,32,50,1734,1705,3440,0,0,0,120,145,271,4,3,6,123,151,282,349,358,706,39327,40222,79556,2152,2211,4359,41830,42793,84620,0,0,0,9,0,13,0,0,0,9,0,13,15,18,32,2217,2647,4866,149,187,328,2379,2847,5229,365,383,741,41558,42870,84430,2296,2392,4692,44212,45646,89858,0,0,0,175,307,485,14,20,38,193,328,522
Casey - North,21202,7096,14986,65,59,124,8001,7186,15185,10,24,34,3209,3044,6249,28,38,68,3241,3105,6349,21,20,40,2630,3169,5805,39,44,77,2686,3227,5917,4,0,7,760,920,1679,14,3,14,776,927,1702,235,270,506,54960,54991,109954,2172,2180,4355,57375,57433,114806,0,0,0,0,0,0,0,0,0,0,0,0,35,38,70,4847,5442,10291,268,291,559,5145,5775,10915,272,304,576,59802,60431,120239,2443,2471,4906,62511,63207,125723,0,0,0,424,692,1113,31,38,69,456,727,1184
Casey - South,21203,9157,20024,79,67,147,11034,9307,20344,52,39,90,4248,3860,8111,32,36,66,4332,3933,8264,38,14,53,2917,3206,6125,25,31,60,2984,3255,6233,6,3,7,1017,1235,2249,4,8,11,1024,1244,2269,447,459,905,71244,71076,142321,3624,3586,7209,75313,75124,150430,0,0,0,9,3,8,0,0,0,10,3,12,22,30,58,5419,5954,11367,362,397,758,5800,6382,12186,471,486,960,76672,77030,153701,3980,3988,7968,81118,81507,162628,0,0,0,127,328,462,51,84,136,182,419,596
Dandenong,21204,8095,17143,77,83,157,9172,8217,17388,25,28,51,4006,4027,8035,30,39,72,4063,4095,8156,16,18,36,6072,7569,13640,74,83,154,6160,7676,13832,3,0,3,3301,3823,7122,22,24,49,3324,3849,7174,195,197,393,66379,64233,130610,2918,2612,5532,69494,67040,136538,0,0,0,8,14,24,0,0,0,9,14,21,67,86,152,19506,18968,38473,1561,1478,3030,21133,20523,41657,267,282,549,85895,83208,169100,4479,4084,8570,90633,87583,178220,4,9,16,1012,1193,2206,225,177,398,1246,1375,2618
Monash,21205,6233,12156,43,45,88,5983,6302,12290,10,8,23,2725,2889,5605,19,19,38,2754,2917,5672,6,14,18,3014,4184,7198,36,66,100,3058,4257,7317,5,0,5,659,996,1659,9,5,14,675,1007,1686,143,141,285,59472,60117,119595,2118,2114,4229,61738,62380,124110,0,0,0,0,4,3,0,0,3,0,3,4,26,43,69,18144,19739,37884,925,1004,1927,19094,20778,39875,174,189,357,77620,79861,157482,3039,3114,6154,80829,83161,163991,10,14,23,1810,2356,4165,235,297,532,2049,2671,4722
Brimbank,21301,8217,17112,95,95,187,9042,8382,17420,23,25,43,4048,3972,8023,50,40,87,4119,4039,8156,25,27,47,6374,8143,14518,79,91,168,6479,8255,14737,0,3,5,2101,2902,5003,32,37,72,2135,2949,5077,314,314,631,71070,70865,141938,4038,3892,7934,75417,75076,150498,0,0,0,3,0,3,0,0,0,3,0,3,58,51,114,12864,12835,25700,1123,1077,2202,14049,13961,28006,374,366,740,83930,83705,167635,5164,4971,10135,89473,89039,178508,0,3,3,377,711,1094,105,120,222,484,834,1319
Hobsons Bay,21302,3791,8107,38,37,71,4390,3860,8251,12,12,22,1692,1667,3365,23,20,38,1722,1702,3422,13,10,26,1944,2644,4593,24,34,61,1981,2690,4676,3,0,3,382,563,945,3,6,9,385,566,954,147,145,289,25932,26889,52824,1128,1173,2306,27208,28207,55420,0,0,0,7,5,10,0,0,0,8,5,10,50,57,116,10956,11805,22765,750,790,1537,11759,12656,24416,200,208,402,36896,38702,75591,1882,1960,3845,38975,40870,79843,0,0,0,259,431,691,65,58,119,322,487,807
Maribyrnong,21303,2350,5071,23,23,47,2771,2402,5174,12,9,27,1139,1166,2300,16,5,21,1165,1183,2351,16,3,20,1567,2185,3755,21,22,45,1609,2213,3819,3,0,3,565,799,1364,6,8,16,581,809,1385,140,120,257,20856,20926,41787,1067,1073,2141,22065,22117,44184,0,0,0,0,0,0,0,0,0,0,0,0,74,73,151,15779,15339,31115,1285,1272,2557,17146,16680,33827,221,193,407,36636,36262,72900,2354,2345,4699,39209,38802,78014,6,0,6,394,343,739,155,127,283,551,474,1025
Melton - Bacchus Marsh,21304,8492,18252,69,80,147,9949,8689,18638,55,61,111,4014,3547,7563,42,37,81,4111,3640,7751,43,31,76,2781,3134,5921,30,53,77,2853,3216,6071,3,0,3,501,663,1166,3,8,14,509,674,1187,585,623,1212,61573,63095,124667,3254,3348,6607,65417,67068,132486,0,0,3,3,3,8,0,3,5,3,4,12,56,81,141,6201,7024,13224,539,589,1134,6800,7699,14494,645,711,1348,67779,70122,137903,3798,3943,7738,72217,74776,146990,72,40,111,892,659,1555,14,22,39,975,733,1704
Wyndham,21305,10131,21509,93,71,160,11577,10341,21916,46,62,114,4482,4275,8757,39,27,67,4566,4364,8930,41,20,63,3328,4076,7399,24,32,52,3386,4129,7518,10,3,9,777,1144,1922,5,10,21,790,1157,1951,680,739,1420,87087,86841,173927,4277,4222,8495,92049,91803,183848,0,0,0,3,3,6,0,0,0,3,3,6,90,75,166,13705,14256,27960,720,762,1488,14511,15091,29606,773,814,1586,100795,101095,201887,4995,4983,9981,106562,106898,213456,131,3,129,1171,385,1556,113,135,242,1412,519,1934
Frankston,21401,9212,19369,86,100,189,10370,9412,19783,40,59,98,3967,3684,7656,40,43,89,4052,3787,7843,33,25,58,2213,2600,4811,30,47,78,2279,2672,4952,8,6,11,217,231,447,6,0,7,226,243,467,547,536,1086,50053,51342,101393,2642,2770,5413,53247,54646,107890,0,0,0,3,3,4,0,0,0,3,3,4,85,88,170,7759,9432,17191,819,925,1743,8661,10449,19110,628,625,1256,57816,60771,118586,3463,3693,7152,61908,65097,127001,4,5,13,416,728,1151,86,138,221,510,873,1377
Mornington Peninsula,21402,11030,22681,127,103,234,11886,11232,23115,52,44,94,4508,4399,8908,53,64,116,4610,4515,9124,30,26,54,2719,3308,6028,34,55,90,2787,3393,6178,7,3,10,245,206,452,0,5,5,247,221,468,534,523,1059,58045,61011,119053,2910,3045,5953,61489,64582,126071,0,0,0,18,11,31,3,3,5,17,15,29,47,70,116,6195,8170,14365,373,545,914,6612,8782,15400,580,596,1177,64254,69198,133450,3283,3591,6878,68123,73377,141503,38,16,51,1193,1325,2511,76,153,230,1304,1490,2796
Grampians,21501,4274,9100,68,63,128,4939,4392,9326,37,39,75,2380,2094,4471,28,23,50,2445,2153,4595,36,34,73,2138,1892,4031,27,37,66,2205,1957,4160,7,0,7,160,114,277,0,3,3,166,118,284,346,345,684,23287,23323,46610,1335,1367,2703,24969,25034,49996,0,0,0,16,4,20,3,0,3,17,9,24,14,17,36,1068,1349,2417,137,152,290,1219,1521,2744,360,366,720,24371,24680,49048,1473,1522,2997,26206,26561,52767,57,0,61,1003,623,1623,49,70,122,1108,696,1801
Mildura,21502,4049,8621,60,50,109,4803,4309,9109,109,99,200,1980,1849,3831,31,25,59,2122,1975,4098,63,66,127,1727,1737,3457,27,31,62,1814,1834,3647,7,4,6,243,218,462,3,0,5,251,223,470,783,889,1677,19548,20184,39733,1457,1446,2901,21791,22511,44303,3,3,4,8,0,8,3,3,10,9,7,21,120,145,262,2060,2336,4394,355,325,676,2529,2801,5332,906,1036,1942,21613,22520,44129,1815,1770,3584,24328,25320,49656,0,3,6,246,398,638,93,111,202,341,506,845
Murray River - Swan Hill,21503,2668,5917,52,44,91,3378,2790,6171,41,48,89,1646,1246,2892,26,28,59,1714,1324,3031,46,39,77,1358,1186,2544,22,31,61,1428,1256,2682,8,3,13,150,116,267,6,4,14,162,126,294,471,491,964,14201,14127,28330,1440,1405,2841,16116,16019,32137,0,0,0,16,8,25,4,8,13,22,13,35,29,42,70,774,740,1513,195,167,361,996,949,1945,505,534,1036,14996,14869,29868,1639,1579,3219,17137,16977,34119,0,3,7,188,326,512,55,52,105,238,385,620
Campaspe,21601,2965,6503,50,33,86,3656,3073,6725,51,40,87,1687,1357,3044,25,22,45,1756,1423,3180,32,24,65,1256,1111,2367,23,23,44,1313,1155,2470,6,3,6,55,31,84,0,0,0,58,38,98,370,359,724,14471,14653,29126,949,997,1945,15779,16011,31797,0,0,0,3,4,5,0,0,3,5,4,12,45,43,91,822,1006,1825,109,121,233,980,1167,2147,414,403,817,15300,15661,30957,1057,1123,2181,16764,17184,33954,4,0,4,230,374,605,53,65,115,288,442,724
Moira,21602,2461,5252,34,26,65,2867,2531,5395,26,12,34,1348,1049,2395,12,10,30,1392,1068,2464,18,26,38,1074,856,1928,23,17,39,1113,895,2006,0,0,0,57,53,110,0,0,0,57,51,109,221,207,425,11347,11392,22737,799,778,1583,12372,12378,24745,0,0,0,3,5,11,0,0,0,3,5,11,18,21,37,632,672,1303,66,74,140,714,771,1479,239,231,465,11985,12067,24057,872,852,1720,13091,13150,26234,0,0,0,168,234,407,30,30,56,200,266,461
Shepparton,21603,4344,9066,38,53,95,4925,4570,9489,109,106,210,2308,1922,4224,26,31,53,2439,2050,4493,85,68,151,1964,1875,3833,34,41,73,2083,1979,4059,7,7,10,394,366,756,7,3,9,405,372,776,888,929,1812,23983,24452,48436,1697,1746,3444,26567,27132,53697,0,0,0,9,5,14,0,0,3,14,8,19,72,93,168,2060,2024,4083,353,311,660,2490,2423,4917,958,1022,1983,26060,26481,52540,2054,2056,4110,29071,29561,58631,39,12,52,494,440,937,86,146,233,617,596,1213
Glenelg - Southern Grampians,21701,2714,5938,36,32,71,3304,2810,6114,23,25,54,1550,1224,2779,15,20,37,1593,1271,2861,25,27,54,1229,1090,2322,22,14,36,1274,1128,2406,5,3,9,46,30,80,0,0,3,51,37,93,307,327,636,14014,14275,28292,904,919,1816,15219,15521,30742,0,0,0,5,4,9,3,3,7,11,4,16,14,15,32,521,597,1118,75,77,150,610,690,1297,320,348,671,14539,14872,29414,977,992,1972,15837,16219,32054,0,12,11,236,375,615,22,37,63,262,423,690
Colac - Corangamite,21703,2560,5693,51,32,88,3215,2615,5838,17,18,32,1588,1231,2818,18,18,40,1630,1266,2891,12,15,28,1256,1083,2336,28,18,49,1294,1114,2408,0,0,0,98,71,168,3,0,11,102,80,178,187,175,356,14911,14705,29621,1012,962,1976,16111,15842,31951,0,0,0,0,3,3,6,10,15,9,14,21,7,14,18,598,681,1280,120,117,232,724,814,1533,191,181,381,15514,15391,30909,1139,1089,2227,16843,16662,33513,0,0,0,228,341,574,35,36,68,262,378,638
Warrnambool,21704,3211,6917,34,36,71,3801,3303,7101,38,31,62,1782,1455,3230,24,24,44,1836,1507,3346,26,21,50,1288,1271,2560,15,21,39,1329,1316,2645,5,5,9,64,49,113,3,0,3,76,58,125,333,310,645,19045,19825,38870,1200,1210,2417,20582,21343,41923,0,0,0,4,4,5,4,0,4,11,5,12,17,27,47,1559,1990,3550,230,288,517,1811,2305,4117,353,337,690,20612,21816,42431,1434,1500,2933,22400,23649,46052,7,0,7,187,358,549,46,62,110,244,419,666
Capalaba,30101,7391,14336,40,46,88,7132,7597,14731,40,40,76,1329,1263,2593,10,9,17,1380,1309,2691,23,19,41,1117,1211,2328,11,16,30,1151,1247,2398,9,0,9,70,88,150,0,0,0,73,85,162,647,665,1312,29197,29255,58450,762,770,1531,30602,30694,61300,0,0,0,0,6,7,0,0,0,0,6,7,70,101,173,2589,3391,5981,164,203,368,2820,3700,6521,716,772,1487,31789,32652,64439,925,980,1898,33430,34399,67825,0,3,3,108,248,354,89,191,281,197,447,644
Cleveland - Stradbroke,30102,9109,17523,56,65,122,8662,9388,18055,65,51,114,1624,1583,3208,19,14,36,1710,1650,3359,50,46,94,1373,1479,2857,19,13,35,1446,1539,2987,8,4,8,67,50,115,0,0,0,79,55,129,802,852,1658,32514,33310,65823,1222,1246,2465,34543,35409,69946,0,4,4,9,9,14,0,0,3,9,14,21,74,80,150,2789,4004,6790,170,228,397,3027,4314,7345,876,936,1815,35314,37315,72633,1388,1475,2863,37577,39732,77312,3,3,10,243,430,670,118,183,300,363,615,978
Wynnum - Manly,30103,5844,11322,28,45,72,5623,6040,11666,48,41,92,1046,1046,2095,12,13,19,1104,1105,2209,29,35,64,1016,1346,2364,13,18,28,1062,1400,2466,3,3,9,77,69,139,0,0,0,79,72,153,594,653,1242,25655,26574,52226,787,845,1631,27027,28071,55099,0,0,0,0,0,0,0,0,0,0,0,0,115,148,259,3884,4697,8580,333,357,686,4328,5201,9530,709,803,1506,29531,31270,60810,1122,1197,2317,31357,33275,64634,3,6,7,183,358,542,12,19,27,201,385,581
Bald Hills - Everton Park,30201,3412,6117,17,19,36,2773,3482,6259,11,10,21,479,528,1002,0,0,3,492,538,1029,8,5,18,486,710,1197,7,12,20,497,733,1228,0,3,3,47,64,119,0,0,0,48,72,117,235,218,451,15583,16561,32143,412,452,865,16231,17232,33460,0,0,0,3,3,6,0,0,0,3,3,6,56,68,119,2159,2603,4760,101,112,214,2314,2785,5095,285,288,575,17744,19166,36916,517,563,1077,18550,20020,38567,0,0,0,109,296,398,23,69,91,131,362,486
Chermside,30202,5184,9438,39,33,71,4395,5336,9732,32,42,80,819,826,1651,3,10,11,861,882,1737,29,31,55,942,1477,2421,14,17,32,983,1525,2506,4,0,3,120,160,283,0,3,3,122,167,288,478,539,1016,23887,25125,49012,700,740,1437,25061,26399,51464,0,0,0,0,0,0,0,0,0,0,0,0,121,133,255,5760,6897,12660,484,530,1009,6364,7557,13925,596,677,1270,29652,32020,61672,1184,1264,2451,31422,33959,65386,8,5,9,152,265,410,39,65,100,196,326,518
Nundah,30203,2693,5291,24,23,51,2696,2774,5478,17,21,42,497,388,881,4,5,7,520,416,930,14,14,31,597,708,1307,12,3,14,620,726,1350,3,0,0,76,89,164,0,3,3,83,93,174,264,261,522,11838,11946,23784,448,434,884,12553,12640,25195,0,0,0,3,0,3,0,0,0,3,0,3,106,113,226,4904,5124,10030,333,324,653,5343,5563,10904,374,371,751,16743,17070,33813,780,761,1538,17900,18202,36102,31,0,31,254,320,573,10,19,33,300,337,637
Sandgate,30204,5021,9521,24,30,57,4650,5199,9858,41,44,88,941,907,1852,9,7,20,993,956,1952,35,18,56,1047,1423,2472,17,16,29,1092,1462,2554,4,9,13,131,136,270,0,6,5,140,153,285,581,596,1180,20437,21284,41719,734,737,1470,21753,22613,44367,0,0,0,0,0,0,0,0,0,0,0,0,109,148,255,4302,5062,9361,292,360,654,4706,5566,10266,687,742,1435,24737,26340,51080,1028,1096,2122,26451,28178,54637,4,0,4,306,395,706,24,24,49,337,423,756
Carindale,30301,3261,5923,19,37,51,2716,3340,6059,11,14,19,509,555,1066,9,4,8,528,577,1103,9,10,25,612,931,1541,4,14,23,625,957,1583,0,0,0,64,87,153,0,0,0,64,88,150,220,251,470,18038,18894,36931,589,615,1205,18841,19762,38603,0,0,0,0,0,0,0,0,0,0,0,0,50,56,111,3712,4556,8271,267,344,616,4036,4962,9000,275,306,582,21750,23448,45204,854,966,1818,22878,24721,47601,0,0,0,91,255,346,3,6,11,91,262,355
Holland Park - Yeronga,30302,3285,6327,23,22,40,3129,3364,6495,17,16,27,598,573,1175,3,4,4,614,589,1210,21,20,39,688,934,1622,10,14,25,715,967,1682,4,3,6,121,159,281,0,5,5,125,169,291,227,232,455,19025,19281,38304,754,747,1509,20007,20262,40272,0,0,0,0,0,0,0,0,0,0,0,0,166,163,335,11439,12147,23584,1054,1042,2099,12663,13355,26015,391,394,791,30469,31425,61890,1809,1795,3607,32669,33619,66286,11,4,15,382,489,872,105,74,186,499,569,1069
Mt Gravatt,30303,4490,8206,21,33,55,3809,4597,8406,25,18,41,813,809,1626,8,7,15,844,839,1678,13,25,39,948,1321,2263,8,23,29,970,1361,2332,0,0,0,184,273,453,0,4,4,184,279,460,335,343,679,25708,26962,52667,785,846,1624,26821,28149,54969,0,0,0,0,0,3,0,0,3,3,4,6,54,64,123,5332,5991,11319,368,374,745,5753,6429,12188,393,412,800,31034,32952,63986,1152,1218,2373,32577,34584,67163,10,13,23,370,590,959,47,42,88,423,646,1066
Nathan,30304,2190,4174,16,16,31,2034,2252,4285,13,5,19,468,435,899,0,8,10,486,443,926,12,8,22,537,724,1262,3,3,11,556,735,1293,0,0,0,115,145,261,0,0,0,115,146,265,184,213,394,14408,14508,28917,639,618,1249,15227,15340,30561,0,0,0,0,0,0,0,0,0,0,0,0,43,43,79,2582,2732,5311,170,193,359,2786,2964,5757,220,260,481,16989,17241,34232,803,809,1609,18011,18307,36323,8,3,10,344,333,675,27,23,49,374,356,735
Rocklea - Acacia Ridge,30305,3499,6849,20,21,43,3435,3604,7040,20,30,52,737,722,1456,10,0,7,763,753,1517,30,10,44,754,993,1748,9,4,12,789,1012,1806,3,0,4,263,352,614,0,9,11,266,362,632,363,357,714,23152,23588,46742,842,799,1645,24353,24748,49101,0,0,0,0,3,5,0,0,0,3,3,7,40,42,80,3533,3655,7188,230,222,456,3798,3920,7724,402,403,798,26681,27252,53934,1073,1019,2095,28155,28670,56831,0,3,3,212,355,566,11,18,27,219,374,597
Mudgeeraba - Tallebudgera,30905,2966,5935,18,16,32,3042,3035,6072,11,19,32,617,577,1192,0,0,6,628,599,1228,8,3,15,319,274,600,0,4,3,332,287,616,0,0,0,22,16,38,0,0,0,26,19,43,214,219,430,12982,13454,26433,591,616,1207,13784,14284,28071,0,0,0,8,7,15,0,0,0,8,7,15,43,40,82,1539,1922,3459,122,153,275,1702,2111,3812,253,258,510,14525,15381,29907,717,768,1482,15494,16402,31896,0,0,0,32,86,120,3,4,3,36,84,124
Nerang,30906,6418,12666,34,49,82,6412,6612,13020,45,41,85,1504,1318,2820,17,17,33,1564,1373,2937,10,14,27,813,806,1627,7,7,18,837,832,1672,4,5,8,66,80,149,0,0,3,72,85,161,458,485,946,23439,23996,47433,1100,1138,2239,24999,25613,50615,0,0,0,3,10,11,0,0,0,3,10,11,115,149,267,5587,6515,12099,511,564,1071,6210,7226,13437,571,635,1211,29029,30517,59542,1611,1696,3305,31214,32853,64060,0,0,0,83,137,219,42,90,137,125,233,354
