sa3_name16,sa3_code16,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Barossa,40501,3,0,5,246,194,442,0,0,3,259,201,451,34,28,63,1818,1631,3446,20,28,43,1870,1678,3548,10,30,40,1040,995,2037,15,13,29,1067,1041,2106,0,0,0,28,35,67,0,0,0,30,39,65,0,3,3,13,55,71,0,0,0,13,64,71,0,0,0,99,63,168,0,0,0,100,63,166,0,0,0,92,168,260,0,0,3,98,172,266,0,0,0,3,4,4,0,0,0,3,4,4,0,4,11,238,334,570,3,0,3,239,344,581,0,3,3,116,242,359,0,4,4,116,243,365,0,0,0,37,85,121,0,0,0,41,86,127,0,0,0,7,23,38,0,0,0,15,23,37,0,0,0,67,147,223,0,0,0,67,154,223,0,0,0,0,3,4,0,0,0,0,3,4,0,9,5,242,500,739,3,4,8,241,507,751,0,4,5,56,114,167,0,0,0,59,115,172,16,11,23,339,368,709,800,750
Lower North,40502,7,4,15,139,132,269,3,3,3,148,138,288,35,36,65,931,922,1851,15,12,27,981,969,1952,20,19,40,613,615,1230,9,11,22,640,649,1290,0,0,0,21,18,36,0,0,0,19,18,33,0,0,0,7,23,28,0,0,0,7,23,28,0,0,0,43,40,82,0,0,0,42,41,83,0,3,3,55,106,159,0,0,4,60,111,170,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,118,186,307,0,0,4,125,195,321,0,0,3,23,49,76,0,0,0,25,50,75,0,0,0,9,35,40,0,0,0,9,39,47,0,0,0,7,3,10,0,0,0,7,3,10,0,5,3,29,69,98,0,0,0,30,75,99,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,67,163,224,0,0,0,67,164,235,0,0,0,26,67,95,0,0,0,26,68,99,9,6,17,253,286,537,614,582
Mid North,40503,13,18,35,141,109,251,0,3,3,160,129,291,88,102,192,1056,1020,2075,12,7,18,1154,1129,2283,42,50,95,741,722,1462,4,4,11,792,774,1570,0,3,7,17,31,48,0,0,0,16,37,55,0,7,7,12,56,73,0,0,0,12,64,76,4,6,8,62,51,112,0,0,0,63,53,116,0,5,5,75,97,167,0,0,0,75,104,174,0,0,0,0,0,0,0,0,0,3,0,3,4,20,27,165,233,402,0,0,3,171,256,430,0,0,0,31,65,95,0,0,0,29,65,94,0,3,3,11,33,49,0,0,0,11,36,51,0,0,0,5,18,24,0,0,0,5,18,24,0,0,0,33,82,118,0,0,4,36,82,117,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,76,206,283,3,0,3,82,209,289,3,7,7,31,64,92,0,0,0,29,68,101,36,11,49,308,310,615,680,690
Yorke Peninsula,40504,12,11,25,114,92,204,0,3,3,127,107,232,56,54,109,903,786,1689,22,27,49,981,871,1847,28,29,60,624,534,1155,17,5,18,666,571,1234,3,4,3,8,13,27,0,0,0,10,18,30,0,0,0,7,27,40,0,0,0,11,27,35,0,3,4,38,28,68,0,0,0,37,34,67,0,3,3,27,72,96,0,0,0,28,74,99,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,81,142,223,3,0,3,90,148,237,0,3,3,13,38,50,0,0,0,13,35,51,0,0,0,12,23,41,0,0,0,12,24,39,0,0,0,4,8,9,0,0,0,4,8,9,0,4,4,14,58,76,0,0,0,14,59,75,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,43,126,168,0,3,3,43,135,178,4,0,0,29,76,107,0,0,0,31,77,110,20,27,48,388,405,793,623,571
Eyre Peninsula and South West,40601,42,54,102,337,294,628,5,5,8,387,357,739,247,229,475,2440,2290,4729,28,38,66,2715,2557,5273,141,123,268,1414,1399,2816,20,32,44,1576,1552,3129,3,14,13,31,68,100,0,0,0,38,79,115,7,16,19,51,90,136,0,3,3,54,108,158,8,16,17,91,95,186,0,3,3,95,116,211,0,13,17,119,285,404,0,3,3,118,303,426,0,0,0,4,3,11,0,0,0,10,8,12,17,59,76,294,545,838,3,5,8,318,612,926,0,7,7,37,120,157,0,0,0,39,125,166,0,9,9,39,136,177,0,0,0,39,141,187,0,3,3,19,54,68,0,0,0,18,58,70,7,12,21,89,219,304,0,0,0,92,233,322,0,0,0,3,3,3,0,0,0,3,3,7,8,31,36,187,526,706,0,3,3,193,555,749,7,13,15,78,157,232,3,0,3,88,167,251,251,225,478,799,705,1507,1658,1580
Outback - North and East,40602,64,81,142,112,105,223,0,0,0,183,186,367,345,338,680,816,718,1532,10,24,37,1170,1073,2250,174,180,358,382,410,786,10,8,20,568,599,1169,9,7,13,11,14,20,0,0,0,20,15,33,8,9,15,5,22,31,0,0,0,13,31,40,17,14,30,41,33,78,0,0,0,52,49,105,17,22,42,86,96,184,3,0,3,102,118,225,0,0,0,3,3,7,0,0,0,3,3,7,54,49,96,141,172,310,3,0,3,190,222,413,3,3,9,9,34,43,0,0,0,13,36,47,0,6,6,14,29,44,0,0,0,14,33,45,0,3,4,7,15,20,0,0,0,11,16,22,3,10,8,64,116,177,0,0,0,66,126,189,0,0,0,0,0,0,0,0,0,0,0,0,4,19,27,89,194,285,3,0,3,100,212,310,12,21,27,17,54,79,0,0,0,29,77,105,423,282,710,591,242,834,1135,871
Fleurieu - Kangaroo Island,40701,7,8,18,214,223,442,6,4,7,227,239,468,60,61,124,1790,1691,3479,32,32,56,1879,1776,3659,34,40,66,1143,1206,2344,16,22,42,1188,1259,2450,0,0,3,27,52,83,0,0,0,30,52,80,0,3,8,22,86,103,0,3,3,19,94,114,0,4,4,79,71,149,3,0,3,82,76,158,0,3,3,97,191,289,0,0,4,103,196,298,0,0,0,4,5,8,0,0,0,4,5,8,4,15,19,237,401,637,7,3,8,239,418,661,0,6,6,84,148,234,0,3,4,89,160,247,3,0,3,60,90,149,0,0,0,59,94,152,0,0,3,14,29,45,0,0,0,19,30,47,0,7,5,64,218,280,0,0,0,62,223,284,0,0,0,0,3,3,0,0,0,0,3,3,4,10,14,221,485,713,0,4,6,230,503,733,4,3,5,66,125,187,0,0,0,68,126,193,18,14,38,512,658,1175,1318,1252
Limestone Coast,40702,19,20,41,376,330,711,12,6,21,413,361,772,124,101,225,3138,2843,5979,42,46,87,3307,2987,6289,61,58,123,1788,1771,3557,23,18,42,1874,1846,3716,0,0,7,55,70,119,0,0,0,58,73,128,0,4,4,44,110,154,0,0,0,44,114,160,3,0,6,176,149,322,0,3,3,178,160,332,0,7,12,128,294,421,0,6,6,131,302,434,0,0,0,6,6,12,0,0,0,6,6,12,11,14,23,403,630,1030,0,6,13,417,654,1067,0,3,7,94,183,277,0,0,0,93,190,284,3,3,4,31,115,149,0,0,0,34,119,157,0,0,0,28,41,68,0,0,0,28,41,68,0,7,7,90,246,334,0,4,3,91,253,345,0,0,0,0,0,0,0,0,0,0,0,0,4,15,21,240,592,828,0,6,6,243,609,855,3,0,3,115,206,324,5,0,4,125,210,333,69,30,95,1232,884,2113,1504,1439
Murray and Mallee,40703,52,40,89,313,307,624,4,3,11,369,352,722,244,216,456,2736,2534,5265,71,42,112,3048,2781,5830,127,123,251,1720,1747,3468,48,23,72,1897,1886,3784,3,8,7,64,61,123,0,0,0,64,65,131,3,5,10,35,92,129,0,0,0,41,96,136,0,3,4,127,123,253,3,0,3,136,127,261,7,16,19,143,284,422,0,0,0,147,294,448,0,0,0,4,5,6,0,0,0,6,3,9,13,36,46,376,563,940,3,0,6,394,595,989,0,11,11,107,213,322,0,0,0,110,217,328,0,3,4,48,92,138,0,0,0,46,93,142,0,0,0,13,30,47,0,0,0,13,36,48,0,8,7,76,200,269,0,3,3,74,209,281,0,0,0,0,5,6,0,0,0,4,6,6,4,23,23,243,539,778,0,3,3,245,563,812,10,16,22,122,203,318,0,3,9,134,217,349,147,72,226,1358,938,2289,1824,1756
Augusta - Margaret River - Busselton,50101,10,11,18,302,292,598,4,3,10,325,308,629,76,70,150,2350,2174,4524,28,32,56,2452,2273,4733,53,54,103,1679,1620,3298,24,18,41,1754,1693,3446,0,4,4,47,80,132,0,0,0,47,84,129,0,0,0,34,86,122,0,0,0,34,86,122,3,3,3,139,80,213,0,0,0,143,81,217,3,3,4,113,265,381,0,0,0,115,270,384,0,0,0,3,4,6,0,0,0,3,4,6,9,5,18,340,516,854,0,0,0,347,521,871,0,0,0,57,109,165,0,0,0,59,106,167,0,3,3,47,124,170,0,0,0,47,131,177,0,0,0,10,32,42,0,0,0,10,32,42,3,0,5,82,270,349,0,4,4,90,273,356,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,193,527,722,0,4,4,200,544,736,4,0,3,89,163,252,0,0,4,96,164,260,14,19,35,502,602,1101,1606,1474
Bunbury,50102,39,35,76,649,561,1210,5,5,14,697,605,1299,235,228,459,4461,4251,8710,46,54,102,4747,4526,9275,156,170,322,3493,3457,6951,34,38,71,3678,3662,7341,12,8,17,148,183,334,3,0,3,165,190,355,0,3,8,75,185,257,0,3,0,77,195,265,10,6,18,312,168,478,3,0,3,330,172,505,8,10,19,185,469,652,0,3,5,189,481,670,0,0,0,8,9,17,0,0,0,8,9,17,30,29,59,731,1009,1736,9,3,15,770,1043,1808,3,3,9,118,324,447,0,0,0,123,327,455,6,10,12,93,276,361,0,0,0,92,283,382,0,0,0,46,103,146,0,0,0,46,103,146,3,14,23,175,498,672,0,0,3,181,516,694,0,0,0,0,10,10,0,0,0,0,7,7,9,32,42,435,1202,1633,3,5,8,446,1239,1683,6,14,21,179,337,516,4,0,4,183,355,537,139,79,215,1171,1052,2216,3202,3011
Manjimup,50103,10,9,13,122,101,217,0,0,0,129,104,233,40,43,82,842,869,1709,12,11,22,896,928,1819,36,29,61,721,682,1400,5,9,15,762,717,1481,3,0,4,17,20,38,0,0,0,23,21,42,0,0,0,4,17,22,0,0,0,4,17,22,3,0,7,48,35,79,0,0,0,50,37,89,0,0,0,35,86,119,0,6,4,36,91,122,0,0,0,3,0,3,0,0,0,6,0,5,10,5,10,105,155,260,3,4,9,112,167,274,0,0,0,17,24,41,0,0,0,17,26,40,0,0,0,10,30,41,0,0,3,14,30,45,0,0,0,3,8,13,0,0,0,3,8,13,0,0,0,22,88,110,0,0,0,22,88,114,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,54,150,198,0,0,3,53,152,207,0,3,4,25,55,77,0,0,0,26,57,82,9,11,23,228,270,504,828,847
Mandurah,50201,32,19,54,511,480,991,4,7,7,547,503,1052,177,176,354,3835,3735,7566,36,25,62,4045,3933,7984,110,113,215,2805,2798,5604,14,27,43,2932,2935,5861,10,10,12,168,203,369,4,0,0,173,207,381,0,6,11,64,187,250,0,3,4,67,197,264,7,5,13,263,165,426,3,0,7,274,167,445,0,12,13,165,308,475,0,0,0,168,320,487,0,0,0,4,4,5,0,0,0,3,6,10,18,30,46,665,865,1526,9,5,9,689,899,1588,11,15,23,386,605,989,3,3,5,397,617,1017,0,5,9,104,314,420,3,3,7,105,323,434,0,3,3,63,117,180,0,0,0,63,123,188,0,6,5,155,431,583,0,7,7,156,439,600,0,0,0,3,0,4,0,0,0,0,0,6,14,30,43,717,1466,2187,5,14,16,736,1511,2244,8,15,21,182,436,624,0,3,3,190,454,647,50,42,92,892,1052,1945,2777,2444
Cottesloe - Claremont,50301,0,0,5,426,377,811,3,0,4,432,385,818,11,13,24,3057,2934,5987,10,23,29,3081,2966,6052,41,51,89,2946,2894,5843,11,18,27,2998,2959,5958,3,0,3,77,50,129,3,0,3,80,51,132,0,0,0,45,59,105,0,0,0,45,59,105,0,0,0,68,38,114,0,0,0,69,44,111,0,0,0,82,154,237,0,0,0,82,154,237,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,272,311,583,3,0,3,276,313,589,36,36,72,2437,2371,4808,9,14,21,2485,2414,4896,5,9,12,740,657,1390,3,0,7,744,671,1412,0,0,3,181,163,341,0,0,3,185,167,347,0,3,5,369,529,893,3,0,4,367,533,904,0,0,0,10,22,26,0,0,0,10,22,26,43,51,94,3728,3731,7460,18,15,28,3788,3799,7584,0,0,0,128,217,342,0,0,3,130,213,351,14,6,20,443,483,923,1606,1563
Perth City,50302,3,7,8,532,473,1009,0,6,9,538,479,1022,15,18,35,2957,2748,5710,18,22,35,2990,2788,5778,14,46,62,1920,2039,3960,12,16,27,1950,2097,4044,3,3,9,213,227,439,0,0,0,219,233,452,0,5,3,386,524,914,5,0,4,394,525,925,0,0,3,98,97,193,0,0,0,96,97,196,4,0,7,307,450,758,3,0,5,319,454,769,0,0,0,3,7,9,0,0,0,3,7,9,12,11,18,1014,1299,2315,14,4,18,1037,1314,2347,8,10,19,1581,1792,3377,6,10,21,1595,1822,3417,4,8,11,1021,975,1999,0,3,8,1025,987,2015,0,0,3,165,239,409,0,0,0,168,242,408,4,11,15,849,1043,1892,0,3,4,856,1058,1913,0,0,0,16,12,29,0,0,0,16,12,29,17,31,46,3640,4071,7704,15,18,27,3664,4120,7784,0,8,3,512,810,1318,7,3,7,516,820,1332,16,10,27,603,668,1274,4481,4111
Bayswater - Bassendean,50401,5,14,15,435,401,833,4,4,4,447,415,861,84,78,162,2866,2630,5493,22,16,44,2974,2723,5697,54,65,118,1970,1935,3906,16,12,33,2048,2011,4059,8,6,13,210,155,363,3,0,3,217,159,380,3,0,8,221,261,474,0,0,0,220,259,486,3,6,6,164,100,267,0,4,4,173,106,275,4,0,6,245,370,610,0,3,0,249,374,617,0,0,0,7,11,14,0,0,0,11,8,22,16,17,31,844,890,1734,6,3,7,866,904,1773,10,13,21,915,958,1875,0,8,9,930,977,1904,4,3,10,384,430,814,0,0,0,385,436,818,0,4,3,126,156,284,0,0,0,129,158,288,0,8,9,398,605,1003,0,0,0,398,611,1012,0,0,0,10,9,17,0,0,5,12,12,26,18,28,41,1834,2160,3994,4,12,12,1855,2196,4050,9,4,10,312,388,699,0,4,4,319,392,719,40,41,80,752,868,1620,1945,1842
Mundaring,50402,11,8,17,238,212,455,0,0,3,253,218,469,85,63,155,1660,1574,3242,18,18,37,1769,1661,3425,48,65,118,1405,1325,2728,13,15,31,1465,1411,2875,3,4,4,69,51,127,0,3,3,78,56,137,0,0,3,30,68,93,0,0,0,30,71,100,6,0,4,130,56,185,0,0,0,136,56,191,0,3,5,63,158,216,0,0,0,65,162,221,0,0,0,0,0,0,0,0,0,3,0,3,13,5,16,293,336,622,0,3,5,306,344,649,0,6,6,230,327,557,3,3,4,228,336,567,0,3,4,60,106,165,0,0,0,60,107,173,0,3,4,56,63,122,0,0,0,63,67,125,4,0,6,118,248,370,0,0,0,120,250,370,0,0,0,11,3,9,0,0,0,9,3,9,3,16,21,472,747,1221,3,0,9,481,763,1246,3,4,7,80,150,226,0,0,0,81,157,239,567,17,591,1618,394,2008,996,845
Swan,50403,31,46,71,808,795,1600,13,12,25,848,851,1695,278,284,560,5920,5398,11320,57,50,111,6258,5735,11993,235,195,424,4565,4225,8790,46,34,73,4840,4447,9291,10,8,16,317,280,600,0,4,4,322,291,620,3,8,14,172,256,427,0,0,0,180,263,439,9,3,16,328,217,550,0,0,0,343,219,564,0,4,8,335,583,919,3,4,5,338,595,934,0,0,0,13,15,30,0,0,0,13,18,31,20,30,51,1170,1350,2526,5,7,13,1200,1390,2589,12,23,31,929,1310,2243,5,9,11,944,1336,2283,4,3,10,292,489,785,0,0,0,299,499,798,0,4,3,161,237,390,3,0,3,159,240,405,0,12,12,404,696,1096,0,0,4,408,706,1109,0,0,0,6,16,21,0,0,0,6,16,21,16,42,58,1794,2746,4540,3,14,21,1818,2797,4613,19,17,32,373,671,1047,3,0,3,393,689,1085,77,267,342,1263,1631,2894,3307,3069
Joondalup,50501,3,6,10,997,863,1864,7,4,9,1008,876,1889,83,89,169,7195,6892,14085,55,42,99,7333,7026,14360,36,61,96,5812,5522,11333,46,34,78,5883,5613,11497,7,3,5,296,287,587,3,4,11,303,293,601,0,0,0,121,225,344,0,0,3,117,226,346,7,3,11,480,190,669,7,0,7,489,193,684,8,3,7,347,518,868,0,0,0,357,521,880,0,0,0,6,9,18,0,0,0,6,12,16,11,7,21,1256,1226,2483,10,4,20,1280,1245,2520,7,8,16,2171,2414,4578,8,8,18,2188,2428,4614,10,9,19,529,682,1205,0,3,7,532,699,1233,0,3,7,269,378,649,3,3,7,269,384,657,6,4,15,590,1050,1635,3,0,3,594,1057,1650,0,0,0,7,21,29,0,0,0,7,17,28,19,27,49,3561,4539,8104,16,13,35,3596,4586,8180,0,6,7,329,539,863,4,3,7,333,548,880,23,20,37,838,981,1816,2633,2210
Stirling,50502,18,17,34,1100,1045,2142,6,12,16,1119,1075,2196,118,117,233,6961,6732,13689,53,49,101,7131,6899,14027,128,109,236,5297,5169,10464,41,37,72,5459,5316,10778,3,5,10,451,382,833,3,3,7,460,391,846,3,4,13,505,643,1150,0,4,4,514,651,1166,4,3,10,350,176,531,0,3,3,352,189,543,0,11,12,612,849,1460,0,4,3,609,863,1474,0,0,0,21,16,41,3,0,4,26,18,41,14,23,39,1938,2063,4005,6,14,23,1963,2102,4066,11,11,26,2382,2637,5020,12,11,21,2405,2665,5068,10,13,27,1000,1151,2150,3,3,7,1010,1171,2178,4,0,4,331,385,712,0,4,9,336,389,727,7,10,16,938,1352,2288,4,6,8,951,1366,2311,0,0,0,21,32,56,0,0,0,21,32,56,30,43,72,4665,5555,10217,25,25,46,4719,5616,10336,7,9,18,744,1066,1815,3,4,4,756,1082,1834,67,57,119,1709,2211,3922,4847,4745
Wanneroo,50503,37,30,67,1339,1271,2612,20,10,28,1391,1312,2701,260,225,488,9500,8933,18434,80,83,162,9843,9236,19081,151,148,299,6947,6692,13638,36,53,90,7133,6891,14031,7,7,9,474,467,947,3,0,5,488,482,966,6,3,6,238,453,690,4,3,7,244,461,703,9,3,14,574,290,870,0,0,0,590,292,884,8,5,11,472,771,1245,3,5,8,482,778,1263,0,0,0,29,15,38,0,0,0,25,15,41,30,16,45,1786,2002,3785,12,10,21,1826,2025,3849,13,16,29,1653,2076,3730,5,6,16,1676,2098,3774,3,13,12,456,784,1241,5,4,6,467,798,1259,0,0,4,250,370,616,4,0,3,254,375,626,5,18,24,560,969,1530,0,3,9,565,992,1554,0,0,0,10,21,35,0,0,0,15,21,37,22,45,67,2931,4219,7156,12,18,30,2966,4288,7249,10,24,36,564,992,1557,4,0,4,573,1015,1589,79,81,153,1687,2010,3691,4447,4147
Armadale,50601,30,36,68,601,574,1169,6,4,5,633,612,1244,151,186,335,3577,3362,6940,18,27,47,3751,3569,7323,71,100,178,2336,2312,4646,18,14,32,2421,2427,4854,3,13,14,182,208,391,0,0,0,188,220,406,0,11,7,118,207,328,0,3,3,122,220,340,4,4,15,207,135,342,0,0,0,209,145,352,0,6,10,216,358,572,0,0,0,216,364,583,0,0,3,7,3,8,0,0,0,9,6,12,10,36,48,724,912,1643,0,7,7,743,952,1694,3,7,8,487,674,1159,3,0,3,494,677,1174,3,6,12,202,324,526,0,0,0,201,333,537,0,0,0,73,127,201,0,0,0,76,128,205,3,10,9,286,463,745,0,3,3,285,470,754,0,0,0,6,13,17,0,0,0,6,13,17,8,24,34,1051,1594,2647,4,3,5,1068,1621,2686,8,8,18,236,410,650,0,0,0,245,425,665,59,54,116,716,860,1573,2018,1784
Belmont - Victoria Park,50602,10,16,24,333,306,633,0,3,0,341,322,661,100,68,166,2075,2005,4073,15,14,29,2184,2091,4274,61,58,119,1319,1289,2609,10,5,16,1391,1352,2743,3,0,3,268,169,444,0,0,0,270,173,445,0,6,6,277,354,625,0,0,0,277,358,629,0,3,3,142,90,235,0,0,0,147,100,243,0,3,3,242,319,564,0,4,4,241,328,565,0,0,0,3,3,7,0,0,0,3,3,5,7,12,19,930,939,1866,0,3,6,941,956,1890,7,12,21,1114,1055,2168,3,4,11,1124,1074,2197,8,13,16,591,613,1202,0,0,0,596,623,1220,0,5,5,97,162,261,0,0,0,97,161,265,3,4,13,395,504,899,0,4,3,400,511,912,0,0,0,5,6,18,0,0,0,5,6,18,19,30,53,2203,2341,4545,6,12,15,2229,2388,4616,4,8,11,409,463,866,0,0,0,413,465,879,55,66,117,724,678,1401,2982,2621
Canning,50603,6,8,17,492,449,941,4,3,7,501,463,969,59,71,133,3710,3431,7140,17,17,40,3791,3516,7311,47,43,87,3150,3043,6187,23,21,47,3219,3102,6322,11,10,20,395,281,677,0,0,3,408,295,699,0,0,4,353,391,736,0,0,0,355,387,739,8,0,9,226,101,322,0,3,3,234,101,335,0,4,6,270,404,675,3,0,3,272,408,677,0,0,0,4,7,13,0,0,0,5,10,12,18,19,36,1247,1171,2426,4,3,7,1274,1195,2473,8,21,23,2669,2571,5241,4,12,15,2674,2601,5277,3,3,7,1097,879,1977,3,3,5,1103,891,1990,3,3,3,214,208,424,0,0,0,215,211,429,5,3,5,396,510,913,0,0,0,401,517,922,0,0,0,17,11,31,0,0,0,20,16,30,14,27,39,4387,4194,8578,16,16,29,4412,4231,8651,3,0,3,456,477,931,0,4,5,458,481,936,24,34,59,718,960,1678,1927,1687
Gosnells,50604,26,31,62,773,780,1555,5,3,5,811,817,1624,194,217,407,5341,4899,10236,34,25,61,5571,5137,10706,132,131,258,4036,3786,7827,21,29,50,4194,3947,8140,9,15,19,359,321,680,0,4,3,364,336,701,0,12,10,260,375,633,0,0,0,262,380,648,11,8,17,303,210,510,0,0,3,308,216,526,3,9,11,325,564,889,3,9,7,330,577,906,0,0,0,15,9,25,0,0,0,15,9,25,16,39,58,1257,1475,2732,7,12,13,1284,1526,2808,9,16,24,1212,1377,2583,6,3,5,1225,1392,2614,5,6,12,424,553,980,0,0,3,430,563,996,5,3,5,143,176,322,0,0,0,148,186,335,0,10,13,326,544,871,0,0,0,324,553,880,0,0,0,5,17,24,0,0,0,5,17,24,20,37,56,2115,2665,4782,5,5,14,2136,2711,4845,13,15,25,446,615,1068,0,0,0,460,632,1092,348,73,426,1843,1196,3038,2460,2144
