sa3_name16,sa3_code16,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Albany,50901,9,245,254,4,167,170,37,433,470,46,690,740,52,1769,1819,59,1083,1144,60,1905,1965,61,1513,1576,72,1918,1991,61,1573,1633,90,2375,2457,63,1830,1896,37,1101,1136,52,1820,1871,70,1710,1780,36,586,624,812,20724,21536
Wheat Belt - North,50902,13,338,354,16,233,246,37,438,475,35,605,644,72,1666,1737,54,881,936,76,1659,1732,66,1342,1410,84,1558,1643,50,1351,1401,87,2084,2169,59,1827,1891,34,1031,1066,65,1932,1992,123,1928,2047,46,566,606,913,19434,20350
Wheat Belt - South,50903,0,106,108,5,73,76,18,165,182,24,252,270,34,549,581,18,306,327,39,587,620,36,520,557,28,597,627,17,492,514,37,795,834,25,713,738,9,362,371,11,735,747,47,618,662,32,222,252,376,7076,7458
Kimberley,51001,31,78,116,50,28,73,220,96,312,185,133,320,295,165,461,234,151,381,291,224,515,349,270,617,287,380,672,225,400,622,294,822,1118,234,914,1148,135,564,702,204,1309,1516,460,640,1091,206,155,362,3708,6330,10031
East Pilbara,51002,17,30,44,9,20,29,37,26,65,46,32,77,64,43,108,29,35,67,59,73,131,58,87,149,71,145,218,56,182,233,99,523,620,139,720,859,59,380,435,235,1842,2085,137,387,529,82,87,170,1205,4609,5815
West Pilbara,51003,28,30,60,15,17,31,42,26,74,38,41,78,57,64,120,41,46,87,60,79,135,45,143,193,59,227,281,45,248,289,90,665,753,144,1225,1369,62,597,664,220,2781,3004,135,620,759,61,116,182,1148,6942,8084
Esperance,51101,0,64,69,3,43,46,10,92,103,3,169,170,10,413,425,10,235,250,21,372,390,15,315,331,15,417,424,20,397,414,30,580,606,12,519,536,7,349,358,24,587,609,30,504,530,21,150,165,232,5207,5436
Gascoyne,51102,8,73,81,3,37,37,22,57,76,14,101,124,36,176,206,27,106,138,28,200,233,28,148,177,37,204,232,26,190,217,45,323,374,39,297,338,12,165,179,16,341,357,55,261,317,39,117,161,436,2803,3242
Goldfields,51103,14,136,141,26,53,78,58,167,225,50,222,269,80,440,523,82,250,329,91,429,522,92,398,490,93,590,681,58,628,690,109,1393,1498,106,1619,1729,55,922,974,113,2511,2626,165,1013,1182,141,282,428,1336,11052,12381
Mid West,51104,33,295,334,30,140,168,94,408,505,79,584,664,105,1225,1332,116,797,909,163,1349,1510,112,1046,1160,121,1338,1460,124,1193,1312,171,1871,2043,128,1726,1858,66,983,1052,98,1977,2070,222,1845,2067,97,474,571,1763,17246,19010
Brighton,60101,3,50,53,9,32,36,12,128,140,30,238,265,56,415,471,48,294,343,70,509,583,67,455,527,65,512,576,64,446,515,89,638,724,54,528,585,22,249,272,23,311,333,58,359,416,27,161,190,707,5313,6028
Hobart - North East,60102,4,151,162,12,82,94,25,362,384,33,598,631,59,1423,1481,61,1027,1087,64,1526,1593,68,1506,1573,84,1770,1851,89,1501,1593,112,2344,2460,81,1971,2047,33,1274,1308,78,2016,2091,63,1340,1406,18,455,477,891,19343,20229
Hobart - North West,60103,12,177,189,9,124,134,43,515,556,62,938,1004,100,2143,2237,74,1356,1426,136,1977,2107,122,1767,1892,131,1925,2053,120,1639,1760,135,2234,2371,96,1632,1733,49,848,894,47,883,936,106,1139,1245,48,591,635,1284,19894,21178
Hobart - South and West,60104,5,89,96,0,66,66,9,185,195,11,293,305,37,768,804,35,595,627,45,817,870,33,849,883,40,1047,1083,55,888,941,81,1430,1510,83,1294,1373,42,781,817,61,1385,1446,35,870,902,5,187,200,573,11545,12116
Hobart Inner,60105,5,311,316,6,163,168,11,494,505,14,573,588,23,1173,1194,22,1004,1024,25,1151,1171,23,1247,1270,42,1655,1699,28,1415,1444,47,2251,2293,34,1927,1962,19,1162,1186,58,3186,3247,45,1495,1534,9,307,311,416,19503,19923
Sorell - Dodges Ferry,60106,4,39,41,0,30,30,12,140,150,16,199,210,19,519,539,17,324,342,19,541,559,29,508,540,30,525,560,26,507,537,51,701,760,30,550,583,16,280,292,11,378,392,23,425,449,4,153,157,316,5831,6149
Launceston,60201,13,343,355,21,191,211,62,953,1018,65,1217,1280,115,2845,2957,110,1887,1998,158,2847,3008,110,2435,2545,126,2772,2898,107,2320,2427,144,3340,3477,103,2550,2659,49,1438,1487,62,2206,2264,98,1906,1999,46,762,802,1386,29993,31383
Meander Valley - West Tamar,60202,3,96,95,3,66,67,8,244,255,13,333,344,20,858,879,16,520,538,36,961,1003,37,744,783,36,789,825,26,602,630,28,855,889,23,610,630,8,356,365,12,442,454,36,591,624,13,236,249,325,8299,8620
North East,60203,7,200,202,4,126,130,27,442,464,33,620,653,62,1639,1701,48,873,925,74,1619,1697,80,1156,1243,82,1256,1331,47,1009,1061,47,1365,1416,40,938,985,11,559,570,29,646,669,63,1045,1101,23,419,440,677,13909,14580
Central Highlands (Tas.),60301,0,41,37,3,41,45,6,120,132,10,172,185,21,452,469,14,209,224,41,408,446,23,333,362,31,360,395,31,315,347,30,461,489,20,295,316,3,147,152,12,191,207,25,325,342,13,104,117,280,3971,4258
Huon - Bruny Island,60302,7,72,78,4,75,78,12,196,214,18,286,306,66,738,802,36,392,432,73,725,799,70,561,632,70,630,705,62,528,595,107,700,807,74,519,588,30,243,272,33,342,374,63,477,533,21,185,206,745,6670,7412
South East Coast,60303,0,35,35,0,24,24,3,99,105,3,115,125,8,327,335,17,184,194,27,332,355,13,268,286,18,223,239,20,174,186,13,225,234,7,152,156,3,53,57,0,90,91,24,199,218,7,93,101,159,2587,2746
Marion,40302,9,469,486,10,325,332,24,903,925,17,1336,1351,40,2698,2734,28,1812,1840,35,2658,2697,52,2735,2785,44,3060,3104,41,2715,2757,68,4281,4347,58,3772,3835,30,2306,2335,31,3244,3274,33,2335,2372,22,703,724,545,35360,35901
Burnie - Ulverstone,60401,11,168,185,11,133,142,52,509,559,63,806,872,156,2011,2164,122,1065,1196,159,1954,2106,148,1463,1612,148,1548,1697,133,1288,1419,187,1772,1962,134,1264,1399,74,704,777,94,919,1009,140,1132,1269,60,549,610,1705,17277,18982
Devonport,60402,15,160,177,4,118,126,36,426,465,48,661,713,102,1767,1866,90,1020,1111,134,1724,1855,109,1370,1477,114,1616,1729,114,1249,1366,162,1651,1814,102,1177,1278,52,634,683,68,868,934,93,1106,1199,40,476,515,1283,16028,17309
West Coast,60403,10,75,78,4,54,54,25,191,210,30,239,276,61,625,680,61,322,384,84,559,644,73,467,537,65,489,552,93,455,539,116,634,747,98,500,592,33,256,293,39,317,356,84,415,500,28,186,212,888,5776,6665
Darwin City,70101,9,76,76,6,18,24,15,63,73,18,127,146,30,179,200,17,122,135,26,197,226,21,258,282,31,449,484,31,494,521,49,1046,1098,46,1263,1303,29,646,677,119,2843,2962,51,806,861,16,124,140,509,8697,9213
Darwin Suburbs,70102,14,147,165,12,68,80,37,149,184,68,289,356,74,443,516,73,361,428,76,507,586,86,635,721,119,905,1020,86,987,1070,159,1836,1992,188,1968,2158,122,1369,1493,350,3766,4118,199,1521,1723,69,288,359,1739,15227,16963
Litchfield,70103,7,67,74,0,21,21,8,64,71,4,92,96,11,165,175,6,108,113,20,181,194,32,230,264,28,309,337,35,333,367,67,548,608,72,689,756,61,465,524,184,1526,1707,71,564,633,16,139,157,608,5495,6109
East Arnhem,70204,0,5,6,7,3,9,26,9,34,15,3,12,52,11,63,36,10,42,49,23,80,90,36,121,98,54,152,93,70,162,129,171,296,87,213,297,45,134,183,58,381,440,135,107,240,312,62,372,1223,1286,2510
Katherine,70205,22,34,61,28,21,47,82,29,113,44,67,112,138,76,213,77,53,134,132,100,228,146,124,271,138,145,279,139,181,321,137,350,489,95,359,452,75,250,328,89,391,483,286,257,543,69,103,173,1700,2541,4241
Belconnen,80101,5,376,380,3,176,179,25,464,488,25,680,706,41,1230,1272,38,1017,1053,36,1469,1501,44,1652,1689,49,2381,2434,68,2453,2518,95,4317,4418,100,4355,4456,87,3058,3139,159,7486,7640,54,2371,2425,13,402,414,832,33888,34722
Canberra East,80103,0,8,8,0,3,3,0,17,22,3,34,42,3,56,61,0,21,21,3,33,33,4,43,44,0,33,33,0,35,35,0,46,49,0,31,31,3,20,20,0,48,54,0,26,24,0,16,16,13,487,503
Holdfast Bay,40301,0,158,161,3,97,103,3,305,309,7,390,395,6,1009,1014,7,776,780,10,977,990,4,1031,1036,18,1208,1221,8,953,961,19,1483,1495,15,1319,1333,9,838,851,13,2214,2230,14,960,976,5,302,302,138,14023,14168
Palmerston,70104,23,62,81,18,17,36,35,70,112,54,145,204,61,217,277,58,169,223,58,260,321,74,316,387,97,476,574,72,544,616,155,1161,1314,163,1332,1494,120,919,1046,305,2517,2821,145,862,1007,60,173,236,1501,9261,10762
Barkly,70202,3,11,13,17,6,20,38,4,42,24,9,32,53,19,71,47,24,67,47,21,70,68,45,111,59,65,120,62,46,105,83,111,196,43,93,134,32,51,81,40,84,127,70,51,125,29,23,55,714,658,1368
Daly - Tiwi - West Arnhem,70203,21,38,58,60,18,75,127,47,174,59,66,122,136,101,244,126,46,172,179,82,265,179,74,255,185,125,309,147,122,268,179,216,391,95,211,305,47,96,145,65,207,269,210,136,346,83,88,174,1912,1662,3569
Alice Springs,70201,19,77,99,48,22,68,146,49,203,80,126,214,215,172,385,143,178,320,240,282,518,236,368,607,246,515,756,219,541,763,268,1021,1287,212,1071,1279,96,687,780,212,1474,1684,337,746,1082,131,144,276,2848,7468,10322
Gungahlin,80104,3,200,204,3,91,94,9,168,182,17,212,227,16,421,431,10,466,484,16,661,674,18,896,913,32,1354,1384,22,1534,1549,73,2956,3031,53,3408,3457,55,2315,2377,125,6629,6754,38,1686,1719,8,187,195,484,23180,23668
North Canberra,80105,3,316,323,3,135,138,13,379,392,16,488,503,22,733,749,4,550,559,19,669,685,21,788,809,16,1187,1198,28,1214,1246,42,2201,2242,42,2380,2422,18,1299,1319,72,4888,4961,32,1456,1492,7,264,275,353,18960,19319
South Canberra,80106,3,84,87,4,48,48,5,144,155,15,198,210,16,321,335,7,214,218,12,265,279,8,319,327,13,483,496,5,599,606,12,1193,1209,16,1417,1436,17,686,702,29,3720,3749,15,841,856,3,133,135,178,10662,10835
Tuggeranong,80107,14,208,223,8,113,119,21,306,333,19,522,538,37,1060,1094,36,804,838,40,1190,1235,52,1404,1461,48,1886,1939,67,1944,2016,109,3443,3557,114,3845,3959,88,2707,2797,215,7170,7383,96,2218,2311,19,351,367,984,29177,30166
Weston Creek,80108,0,57,57,7,27,31,4,102,109,4,168,177,4,320,325,10,269,278,3,392,397,8,420,425,3,499,505,10,504,513,10,889,895,18,982,1000,17,645,662,48,2271,2317,15,588,602,3,121,120,161,8256,8419
Woden Valley,80109,0,128,126,0,74,74,10,140,152,6,256,259,11,480,487,8,360,370,6,536,544,12,632,647,20,867,888,7,817,823,25,1492,1517,21,1569,1597,13,865,874,54,3617,3667,15,934,945,13,174,185,222,12934,13158
Molonglo,80110,0,6,6,0,10,10,0,7,7,0,11,11,0,15,15,0,25,25,0,28,28,0,44,44,0,102,102,4,138,140,4,238,243,0,261,263,6,193,196,9,495,505,0,103,107,0,11,11,21,1689,1710
Urriarra - Namadgi,80111,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,3,3,0,3,3,0,4,4,0,4,4,0,22,23,0,20,20,0,13,13,3,65,64,0,14,14,0,4,4,5,160,166
Christmas Island,90101,0,0,0,0,5,5,0,3,3,0,3,3,0,14,14,0,4,4,0,8,8,0,15,15,0,23,23,0,27,26,0,56,56,0,74,74,0,40,40,0,88,89,0,33,33,0,3,3,3,394,399
Cocos (Keeling) Islands,90102,0,0,0,0,3,3,0,0,0,0,0,0,0,9,9,0,0,0,0,5,5,0,8,8,0,12,12,0,7,7,0,16,16,0,15,15,0,17,17,0,18,19,0,18,19,0,0,0,3,130,131
Jervis Bay,90103,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,5,0,6,6,0,11,5,3,5,4,10,12,3,4,10,0,7,6,5,4,9,13,0,14,58,36,86
Norfolk Island,90104,0,8,8,0,12,12,0,21,21,0,30,30,0,60,60,0,55,52,0,67,67,0,74,70,0,80,80,0,65,70,0,88,86,0,52,52,0,17,17,0,26,25,0,55,55,0,29,29,9,738,743
