ogc_fid,objectid_1,playarea_id,iams_id,parent_playground_name,parent_playground_iams_id,division_name,upgrade_year,equipment_replacement_cost,surface_type,surface_location,surface_area,other_surface_type,other_surface_location,other_surface_area,edging_type,fencing_type,access_description,all_access,age_range_0_to_3,age_range_4_to_7,age_range_8_to_12,age_range_13_plus,balance,bridge,bar,climber,cubby,combination_unit,flying_fox,fort,goal,panal,rocker,rotation,sculpture,slide,sound,swing,track_glide,sand_element,exercise_element,vehicle,total_structures,comments,feature_type,operational,area,perimeter,latitude,longitude,feature_type_code,create_date,feature_instance_metadata_id,objectid,natural_element,shape_length,shape_area
492,220,443,PLAR28,GILRUTH STREET,PLGR17,HACKETT,1985.0,20000.0,TANBARK,EAST SIDE OF LARGE SLIDE LADDER,240.0,NONE,UNDERNEATH WEST FLAT SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"CONTAINS LARGE SLIDE, SMALL SLIDE, SWING AND ROCKER.",PLAY AREA,,239.167198427393,64.53442234100001,,,20,,,220,0,64.5333993999707,239.167560502849
493,255,458,PLAR39,WHITE CRESCENT (WEST),PLGR27,CAMPBELL,1985.0,20000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,140.0,NONE,UNDERNEATH CENTRE OF OVERHEAD CLIMBER,,TIMBER (SLEEPER),NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT,PLAY AREA,,157.557626749157,54.512823661700004,,,20,,,255,0,54.5118080556719,157.55717751049
494,261,459,PLAR40,COBBY STREET,PLGR28,CAMPBELL,1990.0,22000.0,TANBARK,SOUTH EAST SUPPORT POST AT SLIDE LADDER,220.0,NONE,UNDERNEATH EAST FLAT SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,5,"CONTAINS SLIDE, SWING, CAROUSEL AND ROCKERS",PLAY AREA,,241.79183345486598,62.914248513100006,,,20,,,261,0,62.9130060528902,241.791637108748
495,269,450,PLAR30,VON GUERARD CRESCENT,PLGR19,LYNEHAM,1990.0,40000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,150.0,NONE,UNDERNEATH TYRE SWING SEAT CENTRE,,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT,PLAY AREA,,158.765752810635,45.7741210877,,,20,,,269,0,45.7727795746232,158.765940801831
496,274,457,PLAR37,GLOSSOP STREET,PLGR26,CAMPBELL,2002.0,32000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,200.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS",PLAY AREA,,172.028071284656,54.6472596488,,,20,,,228,0,54.646135785383606,172.02739167522802
497,291,452,PLAR32,GOODCHILD STREET,PLGR21,LYNEHAM,1990.0,20000.0,TANBARK,NORTH WEST SUPPORT POST AT STRAIGHT SLIDE,150.0,NONE,UNDER FLAT SWING SEAT CENTRE,,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT,PLAY AREA,,135.107804321283,44.5373330703,,,20,,,283,0,44.5359655526186,135.107801949582
498,306,256,PLAR44,ANGAS STREET,PLGR32,AINSLIE,1995.0,64000.0,TANBARK,NORTH SUPPORT POST AT SPIRAL SLIDE,210.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,CONTAINS COMBINATION UNIT AND ROCKERS,PLAY AREA,,201.29180078825803,54.872417009799996,,,20,,,298,0,54.8710497907036,201.292118322209
499,311,460,PLAR42,LOWANNA STREET,PLGR30,BRADDON,1985.0,22000.0,TANBARK,SOUTH EAST SUPPORT POST AT SLIDE,350.0,NONE,UNDERNEATH CENTRE OF STRAP SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER,PLAY AREA,,303.962372896151,77.8222513612,,,20,,,303,0,77.82017500002621,303.962093266916
500,317,454,PLAR34,DE BURGH STREET,PLGR23,LYNEHAM,1990.0,53000.0,TANBARK,SOUTH EAST SUPPORT POST AT BANISTER RAILS,210.0,NONE,UNDERNEATH EAST FLAT SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SLIDE AND SWING",PLAY AREA,,211.51768094924702,63.0774751856,,,20,,,309,0,63.075777655966704,211.517629653923
501,336,456,PLAR36,GARSIA STREET,PLGR25,CAMPBELL,1985.0,13000.0,TANBARK,SOUTH SUPPORT POST AT SLIDE LADDER,170.0,NONE,UNDERNEATH CRADLE SWING SEAT CENTRE,,NONE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,CONTAINS SWING AND SLIDE,PLAY AREA,,177.606582302421,51.7223761132,,,20,,,328,0,51.7212648053607,177.60630317155602
502,340,455,PLAR35,ELLIOTT PLACE,PLGR24,CAMPBELL,1985.0,47000.0,TANBARK,SOUTH SUPPORT POST AT SLIDE,270.0,NONE,UNDERNEATH FLAT SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,"CONTAINS COMBINATION UNIT, CAROUSEL AND ROCKER",PLAY AREA,,258.703082891167,66.2905263905,,,20,,,332,0,66.2892877074761,258.703359180086
503,350,6,PLAR621,BLACK MOUNTAIN PENINSULA DISTRICT PARK,PLGR492,ACTON,2005.0,8000.0,RUBBER,,35.0,NONE,,,CONCRETE,FULL WITH CHILDPROOF GATE,GRAVEL PATH,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS LIBERTY SWING,PLAY AREA,,47.0721425068787,29.634900019299998,,,20,,,350,0,29.6337211824162,47.072248585397794
504,436,532,PLAR602,WAKEFIELD GARDENS,PLGR489,AINSLIE,2004.0,60000.0,TANBARK,SOUTH WEST SUPPORT POST OF CLIMBER,200.0,RUBBER (WET POUR),YELLOW TOPPED SPINNING POLE DEPRESSION WEST SIDE,30.0,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,"CONTAINS GALAXY CLIMBER, SPINNING POLES.",PLAY AREA,,188.19873136386397,55.2529243607,,,20,,,429,0,55.2517544380484,188.19852848815103
505,437,533,PLAR603,HACKETT GARDENS,PLGR490,TURNER,2000.0,30000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,220.0,NONE,UNDERNEATH CRADLE SWING SEAT CENTRE,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER",PLAY AREA,,167.83564205220898,50.113891771700004,,,20,,,430,0,50.112268271075294,167.835647470286
506,438,534,PLAR604,DIRRAWAN GARDENS,PLGR491,REID,2000.0,32000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,180.0,NONE,UNDERNEATH CRADLE SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKER",PLAY AREA,,175.77868815452302,55.1884972025,,,20,,,431,0,55.1871115428459,175.778331779962
507,456,279,PLAR522,WESTON PARK DISTRICT PARK (EAST),PLGR211,YARRALUMLA,1995.0,2000.0,TANBARK,AT EAST SCULPTURE,100.0,NONE,ON SOUTH SIDE OF EAST SCULPTURE,,NONE,NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,CONTAINS SCULPTURES.,PLAY AREA,,88.5783739813617,33.5120698136,,,20,,,449,0,33.510466598417004,88.57796427683571
508,486,4,PLAR636,COSSINGTON SMITH CRESCENT,PLGR20,LYNEHAM,1995.0,17000.0,TANBARK,WEST SUPPORT POST OF SWING FRAME,80.0,RUBBER (WET POUR),UNDERNEATH CENTRE OF TYRE SWING SEAT,70.0,CONCRETE,NONE,WHEELCHAIR ACCESSIBLE,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,"CONTAINS TYRE SWING, CAROUSEL AND ROCKER.",PLAY AREA,,46.28979625692511,28.6382129475,,,20,,,493,0,28.637231052753602,46.2897016954331
509,525,43,PLAR725,COCKLE STREET,PLGR177,O'CONNOR,2010.0,3000.0,TANBARK,MAIN AREA,,,,,CONCRETE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2009/2010 UPGRADE PROGRAM,PLAY AREA,,21.145916772544602,16.440274149300002,,,20,,,522,0,16.4396432930725,21.145764194723
510,528,552,PLAR629,WESTON PARK DISTRICT PARK (EAST),PLGR211,YARRALUMLA,2007.0,16000.0,TANBARK,SUPPORT POST ARE IN RUBBER,120.0,RUBBER (WET POUR),1.5M SOUTH AT EAST SWING,30.0,CONCRETE,NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,CONTAINS SWINGS,PLAY AREA,,166.713885444145,47.2145720363,,,20,,,488,0,47.2124300568257,166.713913584772
511,529,9,PLAR630,HANNAH PLACE,PLGR514,DEAKIN,2006.0,70000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,330.0,NONE,UNDERNEATH CRADLE SWING SEAT CENTRE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, CLIMBER COMBINATION, SWING AND ROCKER.",PLAY AREA,,344.603193364451,77.3123695631,,,20,,,489,0,77.30923073837221,344.602387594129
512,533,428,PLAR9,TARDENT STREET,PLGR5,DOWNER,1995.0,30000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,310.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER",PLAY AREA,,281.18041094738896,71.8431947728,,,20,,,583,0,71.8414776054058,281.180208686661
513,550,427,PLAR8,AGNEW STREET,PLGR4,AINSLIE,1998.0,30000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,215.0,NONE,UNDERNEATH EAST FLAT SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER",PLAY AREA,,197.273350860668,57.3874420337,,,20,,,540,0,57.3864475216537,197.273581255323
514,558,618,PLAR703,MELBA STREET,PLGR587,DOWNER,2009.0,62000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,325.0,RUBBER (WET POUR),1M WEST OF CLIMBING WALL,40.0,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,5,"CONTAINS COMBINATION UNIT, CRAWL TUNNEL, SWING, SPINNING PLATFORM AND ROCKER",PLAY AREA,,494.001151444339,91.5971113545,,,20,,,548,0,91.59495966893499,494.00151801854304
523,614,561,PLAR851,CAMPBELL SEC 5 PLAYGROUND,PLGR666,CAMPBELL,2016.0,,RUBBER,,,,,,CONCRETE,NIL,,YES,,,,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,CAMPBELL SEC 5 PLAYGROUND 3,PLAY AREA,,29.9421227354491,33.0694555766,,,20,,,634,0,33.0686657567655,29.9418644103098
515,587,426,PLAR7,RUTHERFORD CRESCENT,PLGR3,AINSLIE,1990.0,50000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,300.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,CONCRETE,NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER",PLAY AREA,,280.66196344560103,59.7098122872,,,20,,,577,0,59.7085220135236,280.661536336866
516,589,425,PLAR5,CORROBOREE PARK,PLGR1,AINSLIE,2014.0,8000.0,TANBARK,NE SUPPORT POST,60.0,NONE,UNDERNEATH NORTH SWING,,TIMBER (SLEEPER),NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS THE SWINGS.,PLAY AREA,,72.2208335662677,31.0817732579,,,20,,,579,0,31.0809686949243,72.2206701070254
517,590,424,PLAR4,CORROBOREE PARK,PLGR1,AINSLIE,2014.0,40000.0,TANBARK,BASE OF FIREPOLE,110.0,NONE,1M FROM BASE OF SCRAMBLE NET,,CONCRETE,NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,DUO ROCKER & SMALL COMBINATION UNIT.,PLAY AREA,,81.9328129254024,32.2951970762,,,20,,,580,0,32.294409298241895,81.9327204336497
518,591,423,PLAR2,CORROBOREE PARK,PLGR1,AINSLIE,2014.0,5000.0,TANBARK,BASE WEST SIDE AT LADDER,45.0,RUBBER,CENTRE OF CLIMBING NET,2.0,TIMBER (SLEEPER),NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,CONATIANS RODEO BOARD & SPINNING NET,PLAY AREA,,86.54724056166219,35.58495922,,,20,,,581,0,35.5841460909307,86.54767402568459
519,592,394,PLAR197,LAMPARD CIRCUIT,PLGR170,BRUCE,2003.0,22000.0,TANBARK,SOUTH SUPPORT POST AT SLIDE,115.0,NONE,1M EAST OF CORKSCREW CLIMBER,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,129.92073770389,41.6398418777,,,20,,,582,0,41.6380456594025,129.920568221388
520,602,420,PLAR204,COCKLE STREET,PLGR177,O'CONNOR,1990.0,28000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,340.0,NONE,UNDERNEATH WEST FLAT SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,CONTAINS COMBINATION UNIT AND SWING.,PLAY AREA,,244.871401551643,79.9337010934,,,20,,,610,0,79.9309079357148,244.87126755414602
521,605,605,PLAR829,LINKE CRESCENT NEIGHBOURHOOD PLAYGROUND,PLGR650,BRUCE,,,TANBARK,SOUTH OF LINK CRESCENT,,,,,CONCRETE,,MULTIPLE PATHWAYS,,YES,YES,YES,YES,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,CLIMBER SMALL COMBINATION UNIT SPRING ANIMAL SWINGS AND SEE-SAW,PLAY AREA,,282.896112367352,68.9913447588,,,20,,,613,0,68.9884991694499,282.896176076433
525,632,416,PLAR199,CONDAMINE STREET,PLGR172,TURNER,1995.0,34000.0,TANBARK,NORTHEAST SUPPORT POST AT MONKEY BARS,250.0,NONE,UNDERNEATH CENTRE OF MONKEY BARS,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,"CONTAINS AN OLD COMBINATION UNIT, SWINGS, 2 ROCKERS AND A SEESAW.",PLAY AREA,,331.179229124716,83.21466236260001,,,20,,,631,0,83.21220282817549,331.178957570745
526,644,418,PLAR202,BORONIA DRIVE,PLGR175,O'CONNOR,2000.0,30000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,170.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,173.349093836773,50.78190776140001,,,20,,,644,0,50.780421365169,173.35031036290502
527,653,422,PLAR206,DAVID STREET,PLGR179,O'CONNOR,1998.0,37000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,400.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,TIMBER (SLEEPER),PARTIAL,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,5,"CONTAINS COMBINATION UNIT, TRACKGLIDE, SWING AND ROCKERS.",PLAY AREA,,286.736976590023,76.4297930516,,,20,,,653,0,76.42724807267541,286.73630409357
528,5,345,PLAR125,WARREGO CIRCUIT,PLGR110,KALEEN,1995.0,52000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,230.0,NONE,ONE METRE NORTH WEST OF SCRAMBLE NET CENTRE,,TIMBER (SLEEPER),NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,317.709382102059,78.8774636865,,,20,,,14,0,78.87477507673091,317.709247998749
529,6,518,PLAR652,TANAMI STREET (NW),PLGR526,HARRISON,2005.0,62000.0,TANBARK,SOUTH SUPPORT POST AT OVERHEAD SPINNER,300.0,NONE,UNDERNEATH CENTRE OF OVERHEAD CLIMBER,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,"CONTAINS COMBINATION UNIT, MONKEY BARS, SPINNING POLES AND SPINNING DISC.",PLAY AREA,,342.398435728604,79.2754376081,,,20,,,15,0,79.2740812569865,342.398207579146
530,8,639,PLAR785,NEIDJIE CLOSE NEIGHBOURHOOD PARK,PLGR624,BONNER,,,TANBARK,SOUTH OF PATH,,,,,CONCRETE,,PATHWAY,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CONTAINS SWING, HOME RESCUE & TRUCK",PLAY AREA,,165.166842093283,45.573505251499995,,,20,,,34,0,45.572669174464,165.167034266304
531,9,640,PLAR786,MEDHURST CRESCENT NEIGHBOURHOOD PARK,PLGR622,CRACE,,71348.0,RUBBER,NORTH OF MEDHURST STREET,,BARK SOFTFALL,EAST END OF PLAYGROUND,,CONCRETE,,FOOTPATHS,,,,,,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,,PLAY AREA,,206.65569000272498,55.265567850299995,,,20,,,35,0,55.2634410716801,206.655509613363
532,10,628,PLAR788,CRACE CRIP COMMUNITY PLAYGROUND,PLGR626,CRACE,,,TANBARK,NORTHWEST CORNER,,,,,CONCRETE,CONCRETE,PATHWAY,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1 X ROCKER & 1 X SPINNING,PLAY AREA,,54.239877055915,31.840040281,,,20,,,36,0,31.838773695627697,54.2399406598403
540,38,292,PLAR63,RIGEL PLACE,PLGR53,GIRALANG,1990.0,20000.0,TANBARK,SOUTH EAST SUPPORT POST AT TUNNEL SLIDE,80.0,NONE,UNDERNEATH CENTRE OF FLAT SWING SEAT,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,135.098773731008,44.617643852700006,,,20,,,8,0,44.6156218724565,135.098097272699
541,39,515,PLAR648,GUNGAHLIN CENTRAL LINEAR PARK,PLGR525,GUNGAHLIN,2007.0,25000.0,RUBBER,,115.0,NONE,,,NONE,PARTIAL,SEALED PATH,,YES,YES,YES,YES,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,"CONTAINS SPACEBALL CLIMBER, BALANCE BALL AND ROCKERS.",PLAY AREA,,117.511114322983,46.3565361209,,,20,,,9,0,46.3554260724045,117.511569563333
547,60,655,PLAR720,NEIL HARRIS CRESCENT,PLGR594,FORDE,2007.0,127000.0,RUBBER,,400.0,NONE,,,CONCRETE,NONE,WHEELCHAIR ACCESSIBLE,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,1,0,7,"EAST SIDE OF PLAYGROUND. CONTAINS 2 SPIRAL SLIDES, SMALL COMBINATION UNIT,  ROCKER, SPINNING BOWL, SPINNING POLE AND SOME PLAY POLES.",PLAY AREA,,408.76525594364,112.3927592033,,,20,,,52,0,112.39060662764099,408.764767425552
533,11,629,PLAR789,CRACE CRIP COMMUNITY PLAYGROUND,PLGR626,CRACE,,,RUBBER,NORTH CENTRE AREA,,,,,CONCRETE,,PATHWAY,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS LARGE COMBINATION UNIT,PLAY AREA,,180.92401614855098,67.9983822305,,,20,,,37,0,67.99582194079329,180.92432224406798
534,12,630,PLAR790,CRACE CRIP COMMUNITY PLAYGROUND,PLGR626,CRACE,,,RUBBER,NORTH EASTERN CNR,,,,,CONCRETE,POOL STYLE,PATHWAY,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS CLIMBING COMBINATION UNIT,PLAY AREA,,189.614996738181,55.2999814604,,,20,,,38,0,55.29797916593739,189.61620126238998
535,13,631,PLAR791,CRACE CRIP COMMUNITY PLAYGROUND,PLGR626,CRACE,,,TANBARK,SOUTH EASTERN CNR,,,,,CONCRETE,POOL STYLE,PATHWAY,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS CLIMBING NET,PLAY AREA,,176.397374666131,53.1985324059,,,20,,,39,0,53.1964936185695,176.39739148879397
536,32,399,PLAR558,VIOLETS PARK,PLGR448,NGUNNAWAL,1990.0,42000.0,TANBARK,SOUTHWEST SUPPORT POST AT CURVED SLIDE,110.0,NONE,ONE METRE TO NORTH FROM CORKSCREW CLIMBER,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,137.866320395359,44.2140871054,,,20,,,2,0,44.2124449256384,137.86595207513
537,33,268,PLAR588,ANNE CLARK AVENUE - PEDESTRIAN PARKLAND,PLGR477,NICHOLLS,1990.0,42000.0,TANBARK,EAST SUPPORT POST AT SLIDE,240.0,NONE,ONE METRE NORTH AT ENTRANCE TO TRAIN UNIT,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,"CONTAINS 2 COMBINATION UNITS, SWING AND ROCKERS.",PLAY AREA,,229.43604870556098,60.7244679791,,,20,,,3,0,60.7221273804726,229.43573234057598
538,36,265,PLAR585,PROSERPINE CIRCUIT,PLGR474,AMAROO,2000.0,30000.0,TANBARK,SOUTH SUPPORT POST AT SLIDE EAST SIDE,300.0,NONE,ONE METRE TO THE NORTH OF FIREPOLE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,266.121314018437,61.4627421115,,,20,,,6,0,61.4611155974055,266.121391607048
539,37,531,PLAR601,WAKOOL CIRCUIT,PLGR488,KALEEN,2000.0,30000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,200.0,NONE,ONE METRE NORTH SIDE OF CLATTER BRIDGE CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,212.35282639276699,60.612072848400004,,,20,,,7,0,60.6097520532448,212.352515486578
542,47,12,PLAR801,THADOONA STREET NEIGHBOURHOOD PARK (LOWER),PLGR636,CRACE,2013.0,,RUBBER,,,,,,ROCK,STEEL,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,4,,PLAY AREA,,125.897530823135,44.5319019758,,,20,,,90,0,44.530334436027495,125.89734903095899
543,48,632,PLAR792,CRACE CRIP COMMUNITY PLAYGROUND,PLGR626,CRACE,,,TANBARK,SOUTH WESTERN CNR,,,,,CONCRETE,POOL STYLE,PATHWAY,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,CONATIANS 2 X DOUBLE SWINGS,PLAY AREA,,107.70222579378,41.5473797074,,,20,,,40,0,41.5457172863782,107.70189755925301
544,49,633,PLAR793,ALBATROSS CRESCENT NEIGHBOURHOOD PARK,PLGR627,HARRISON,,95261.0,TANBARK,UNDER SWING AND KOMPAN THE EDGE,,,,,CONCRETE,,CONCRETE PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,5,,PLAY AREA,,232.392221402643,62.2381459904,,,20,,,41,0,62.237124111448004,232.392014260497
545,57,15,PLAR799,CARMODY STREET PEDESTRIAN PARKLAND PLAYGROUND,PLGR633,CASEY,2013.0,,TANBARK,,,,,,ROCK,,,,,,,,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,6,,PLAY AREA,,206.19689928648202,54.8396819894,,,20,,,49,0,54.8373076603792,206.197153960148
548,63,514,PLAR737,JOHN CRAWFORD AVENUE,PLGR599,CASEY,2011.0,35000.0,TANBARK,,296.0,,,,CONCRETE,NONE,WHEELCHAIR ACCESSIBLE,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,NORTH AREA WITH PROLUDIC AND KOMPAN ITEMS,PLAY AREA,,291.159460636733,68.9975130279,,,20,,,55,0,68.9945821332169,291.159308758103
