LGA_MAIN11,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total,LGA_NAME11
58680,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,47,6,0,3,0,5,0,0,0,0,61,Wandering (S)
58760,3260,1094,1238,1533,1075,824,466,817,19801,69,9,35,6,10,9,8,28,3,41,218,25674,5323,8983,3513,4040,4102,2843,2206,1351,2421,60456,Wanneroo (C)
58820,3,3,9,6,3,7,0,17,142,0,0,0,0,0,0,0,0,0,3,3,455,26,18,14,15,6,6,7,5,39,591,Waroona (S)
58890,0,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,61,8,3,0,0,4,7,0,0,0,83,West Arthur (S)
59030,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,29,4,5,0,0,0,0,3,6,0,47,Westonia (S)
59100,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,37,0,6,6,6,3,0,0,0,6,64,Wickepin (S)
59170,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,58,0,9,0,5,0,4,0,3,0,79,Williams (S)
59250,14,8,9,8,3,3,0,7,86,0,0,0,0,0,0,0,0,0,0,0,98,30,37,18,18,20,12,13,5,23,274,Wiluna (S)
59310,3,7,3,0,8,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,78,9,16,10,9,5,12,4,6,4,153,Wongan-Ballidu (S)
59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,4,44,Woodanilling (S)
59330,0,3,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,48,0,6,3,3,0,0,3,0,4,67,Wyalkatchem (S)
59340,23,21,17,27,31,46,22,51,327,3,0,0,0,0,0,0,0,0,0,3,426,58,65,40,47,48,57,82,45,79,947,Wyndham-East Kimberley (S)
59350,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,31,6,7,3,3,3,3,3,3,3,65,Yalgoo (S)
59360,8,6,7,10,0,3,6,0,52,0,0,0,0,0,0,0,0,0,0,0,101,20,23,19,18,18,11,16,25,15,266,Yilgarn (S)
59370,3,0,3,3,4,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,456,37,38,3,6,6,12,6,3,39,606,York (S)
59399,6,0,0,0,4,0,0,9,30,0,0,0,0,0,0,0,0,0,0,0,43,17,21,3,0,8,4,3,0,16,115,
59499,45,22,26,35,27,83,171,149,674,0,0,0,0,0,0,0,0,0,0,0,826,107,129,52,62,77,96,217,495,225,2286,
60210,0,9,8,6,3,0,0,6,95,0,0,0,0,0,0,0,0,0,0,0,631,27,26,13,11,6,9,3,5,29,760,Break O'Day (M)
60410,11,3,3,3,9,12,0,15,171,0,0,0,0,0,0,0,0,3,0,3,561,19,51,12,6,6,17,16,6,54,748,Brighton (M)
60610,60,27,22,33,28,27,18,20,391,0,0,0,0,0,0,0,0,0,0,0,1047,78,105,32,53,60,46,63,40,65,1589,Burnie (C)
60810,28,4,6,3,6,6,0,12,239,3,0,3,0,0,0,0,0,0,0,6,1476,65,99,21,21,21,19,17,3,82,1824,Central Coast (M)
