lga_code_2016,p_85_yrs_ov_no_care_prov,p_85_yrs_ov_unpaid_care_notstated,p_85_yrs_ov_total,p_tot_care_own_child_only,p_tot_care_oth_child_only,p_tot_care_own_and_oth_child,p_tot_care_total,p_tot_no_care_prov,p_tot_unpaid_care_notstated,p_tot_total,lga_name_2016
17420,1746,215,2000,30788,9992,826,41609,76947,5069,123621,The Hills Shire (A)
17550,2716,835,3581,13249,5588,557,19390,49123,7532,76052,Tweed (A)
17620,264,83,352,2274,790,78,3147,6815,1244,11207,Upper Hunter Shire (A)
17640,155,25,184,1079,529,44,1654,4038,658,6346,Upper Lachlan Shire (A)
17650,105,13,118,951,367,37,1346,3093,453,4888,Uralla (A)
17750,1156,210,1372,10060,3924,406,14393,31412,3886,49690,Wagga Wagga (C)
17850,52,38,96,448,158,17,622,1584,354,2556,Walcha (A)
17900,63,11,77,684,243,23,953,3178,751,4885,Walgett (A)
17950,46,12,60,365,157,14,534,1331,287,2153,Warren (A)
18020,242,63,305,1149,534,38,1724,4913,1067,7699,Warrumbungle Shire (A)
18050,1139,331,1513,10364,2910,313,13584,35775,6748,56111,Waverley (A)
18100,116,28,148,489,232,11,738,1957,354,3051,Weddin (A)
18200,119,16,135,932,452,24,1414,3385,720,5519,Wentworth (A)
18230,887,176,1081,7734,3108,371,11208,23879,4613,39702,Western Plains Regional (A)
