lga_name_2016,lga_code_2016,p_othserv_0,p_othserv_1_15,p_othserv_16_24,p_othserv_25_34,p_othserv_35_39,p_othserv_40,p_othserv_41_48,p_othserv_49over,p_othserv_hours_ns,p_othserv_tot,p_id_ns_0,p_id_ns_1_15,p_id_ns_16_24,p_id_ns_25_34,p_id_ns_35_39,p_id_ns_40,p_id_ns_41_48,p_id_ns_49over,p_id_ns_hours_ns,p_id_ns_tot,p_tot_0,p_tot_1_15,p_tot_16_24,p_tot_25_34,p_tot_35_39,p_tot_40,p_tot_41_48,p_tot_49over,p_tot_hours_ns,p_tot_tot
Latrobe (M) (Tas.),63810,9,22,20,19,35,31,8,21,5,158,13,18,15,17,28,22,10,25,32,175,232,527,474,571,833,743,371,654,78,4487
Launceston (C),64010,29,144,124,114,214,187,104,106,14,1036,42,90,75,83,174,115,52,98,202,936,1121,3737,3105,3741,5755,4158,2322,3152,446,27538
Meander Valley (M),64210,9,31,38,31,57,51,28,40,5,283,9,31,25,25,35,35,18,33,75,287,367,1061,933,1127,1485,1298,750,1257,172,8464
Wongan-Ballidu (S),59310,0,3,4,3,3,6,0,3,0,20,0,3,3,0,3,4,3,10,7,32,24,76,51,68,49,123,89,166,18,672
Woodanilling (S),59320,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,8,17,13,15,19,19,26,11,72,0,207
Wyalkatchem (S),59330,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,8,26,16,21,12,29,16,69,3,191
Wyndham-East Kimberley (S),59340,0,8,5,18,17,35,18,26,3,142,8,10,5,8,33,18,14,33,37,168,159,199,163,276,552,603,379,827,76,3231
Yalgoo (S),59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,19,20,6,5,8,13,13,110,7,194
Northern Midlands (M),64610,7,36,23,38,38,37,19,24,0,223,17,30,13,17,37,38,5,28,41,232,231,659,586,720,1091,872,454,784,96,5496
Yilgarn (S),59360,3,0,0,0,0,4,0,9,0,13,0,0,0,4,0,0,0,3,4,22,35,38,40,45,44,51,32,300,20,605
York (S),59370,0,7,8,6,5,3,9,19,0,51,7,13,6,3,8,12,10,12,9,68,69,198,132,186,157,189,135,314,17,1401
No usual address (WA),59499,0,6,3,3,8,6,7,5,0,44,17,9,8,8,6,7,10,27,33,126,140,151,146,136,200,222,136,587,60,1773
Migratory - Offshore - Shipping (WA),59799,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,50,0,60,16,12,11,0,4,14,11,274,4,334
Break O'Day (M),60210,0,13,7,6,6,9,3,4,0,50,3,7,10,13,4,6,3,8,9,66,106,353,268,283,254,249,142,250,42,1933
Brighton (M),60410,6,31,27,38,95,58,31,27,0,309,4,15,22,28,48,47,12,16,58,255,291,748,714,853,1553,1104,603,664,116,6636
Burnie (C),60610,11,43,32,46,71,59,26,34,0,325,13,36,17,19,38,40,16,32,47,255,335,1045,822,1005,1544,1104,673,1013,134,7664
Central Coast (M) (Tas.),60810,13,51,35,40,80,64,32,47,3,370,12,43,21,21,61,51,17,32,64,322,440,1163,1006,1155,1563,1341,849,1165,155,8839
Central Highlands (M) (Tas.),61010,0,3,0,4,6,3,0,0,0,14,0,3,0,3,9,3,0,8,10,29,36,98,90,88,111,155,53,158,29,823
Circular Head (M),61210,0,20,18,19,17,20,7,19,0,122,11,16,13,16,22,15,8,15,25,147,186,407,380,406,590,534,332,679,68,3595
Clarence (C),61410,32,134,115,144,192,163,83,92,8,966,40,68,46,56,106,90,42,70,133,658,1044,3057,2681,3280,5251,4133,2128,2660,337,24581
Derwent Valley (M),61510,3,14,18,17,28,31,9,14,0,126,5,13,10,19,26,35,10,16,49,184,181,425,410,569,805,593,327,444,111,3864
Devonport (C),61610,9,65,38,52,95,73,44,54,8,439,12,46,28,38,49,47,27,34,80,367,432,1353,1092,1316,1771,1447,909,1164,171,9650
Dorset (M),61810,0,9,11,16,8,12,5,15,3,75,3,18,10,8,12,17,7,5,35,116,129,370,250,295,360,310,208,575,68,2561
Barkly (R),70420,5,8,11,15,27,18,6,11,4,103,3,6,3,12,20,22,3,22,27,126,84,105,92,191,481,292,128,466,59,1897
Belyuen (S),70540,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,12
Central Desert (R),70620,4,3,5,11,14,10,7,3,0,59,0,0,0,3,9,3,0,11,13,34,56,44,61,111,192,114,47,150,20,792
Coomalie (S),70700,0,0,3,0,5,0,0,4,0,13,0,3,0,8,3,0,0,12,3,37,27,37,35,40,78,78,27,121,11,455
Darwin (C),71000,30,121,91,107,303,267,131,226,20,1304,59,111,102,102,270,310,108,312,402,1778,1678,2942,2876,3441,9130,8070,4345,8682,920,42081
East Arnhem (R),71300,4,21,33,39,55,44,0,16,6,210,3,3,4,3,5,0,0,7,88,118,34,108,178,240,320,272,57,151,121,1480
Katherine (T),72200,12,17,10,15,30,35,15,34,7,167,11,13,10,5,17,22,3,25,33,137,197,245,198,292,942,780,452,930,80,4120
MacDonnell (R),72330,3,15,21,13,35,10,3,8,16,123,6,3,0,0,12,3,4,4,20,57,56,100,130,125,291,153,77,163,57,1144
