lga_name_2016,lga_code_2016,f_grdi_grcer_grdi_mng,f_grdi_grcer_grdi_pro,f_grdi_grcer_grdi_ttw,f_grdi_grcer_grdi_cps,f_grdi_grcer_grdi_ca,f_grdi_grcer_grdi_sal,f_grdi_grcer_grdi_mod,f_grdi_grcer_grdi_lab,f_grdi_grcer_grdi_idns,f_grdi_grcer_grdi_tot,f_grdi_grcer_gradcer_mng,f_grdi_grcer_gradcer_pro,f_grdi_grcer_gradcer_ttw,f_grdi_grcer_gradcer_cps,f_grdi_grcer_gradcer_ca,f_grdi_grcer_gradcer_sal,f_grdi_grcer_gradcer_mod,f_grdi_grcer_gradcer_lab,f_grdi_grcer_gradcer_idns,f_grdi_grcer_gradcer_tot,f_bade_bade_mng,f_bade_bade_pro,f_bade_bade_ttw,f_bade_bade_cps,f_bade_bade_ca,f_bade_bade_sal,f_bade_bade_mod,f_bade_bade_lab,f_bade_bade_idns,f_bade_bade_tot,f_advdi_di_advdi_di_nfd_mng,f_advdi_di_advdi_di_nfd_pro,f_advdi_di_advdi_di_nfd_ttw,f_advdi_di_advdi_di_nfd_cps,f_advdi_di_advdi_di_nfd_ca,f_advdi_di_advdi_di_nfd_sal,f_advdi_di_advdi_di_nfd_mod,f_advdi_di_advdi_di_nfd_lab,f_advdi_di_advdi_di_nfd_idns,f_advdi_di_advdi_di_nfd_tot,f_advdi_di_advdi_asde_mng,f_advdi_di_advdi_asde_pro,f_advdi_di_advdi_asde_ttw,f_advdi_di_advdi_asde_cps,f_advdi_di_advdi_asde_ca,f_advdi_di_advdi_asde_sal,f_advdi_di_advdi_asde_mod,f_advdi_di_advdi_asde_lab,f_advdi_di_advdi_asde_idns,f_advdi_di_advdi_asde_tot,f_advdi_di_dip_mng,f_advdi_di_dip_pro,f_advdi_di_dip_ttw,f_advdi_di_dip_cps,f_advdi_di_dip_ca,f_advdi_di_dip_sal,f_advdi_di_dip_mod,f_advdi_di_dip_lab,f_advdi_di_dip_idns,f_advdi_di_dip_tot,f_cert_certiii_iv_mng,f_cert_certiii_iv_pro,f_cert_certiii_iv_ttw,f_cert_certiii_iv_cps,f_cert_certiii_iv_ca,f_cert_certiii_iv_sal,f_cert_certiii_iv_mod,f_cert_certiii_iv_lab,f_cert_certiii_iv_idns,f_cert_certiii_iv_tot,f_cert_certi_ii_mng,f_cert_certi_ii_pro,f_cert_certi_ii_ttw,f_cert_certi_ii_cps,f_cert_certi_ii_ca,f_cert_certi_ii_sal,f_cert_certi_ii_mod,f_cert_certi_ii_lab,f_cert_certi_ii_idns,f_cert_certi_ii_tot,f_cert_cert_nfd_mng,f_cert_cert_nfd_pro,f_cert_cert_nfd_ttw,f_cert_cert_nfd_cps,f_cert_cert_nfd_ca,f_cert_cert_nfd_sal,f_cert_cert_nfd_mod,f_cert_cert_nfd_lab,f_cert_cert_nfd_idns,f_cert_cert_nfd_tot,f_le_id_mng,f_le_id_pro,f_le_id_ttw,f_le_id_cps,f_le_id_ca,f_le_id_sal,f_le_id_mod,f_le_id_lab,f_le_id_idns,f_le_id_tot,f_le_ns_mng,f_le_ns_pro,f_le_ns_ttw,f_le_ns_cps,f_le_ns_ca,f_le_ns_sal,f_le_ns_mod,f_le_ns_lab,f_le_ns_idns,f_le_ns_tot,f_tot_mng,f_tot_pro,f_tot_ttw,f_tot_cps,f_tot_ca,f_tot_sal,f_tot_mod,f_tot_lab,f_tot_idns,f_tot_tot,p_pode_pode_nfd_mng,p_pode_pode_nfd_pro,p_pode_pode_nfd_ttw,p_pode_pode_nfd_cps,p_pode_pode_nfd_ca,p_pode_pode_nfd_sal,p_pode_pode_nfd_mod,p_pode_pode_nfd_lab,p_pode_pode_nfd_idns,p_pode_pode_nfd_tot,p_pode_doctde_mng,p_pode_doctde_pro,p_pode_doctde_ttw,p_pode_doctde_cps,p_pode_doctde_ca,p_pode_doctde_sal,p_pode_doctde_mod,p_pode_doctde_lab,p_pode_doctde_idns,p_pode_doctde_tot,p_pode_masde_mng,p_pode_masde_pro,p_pode_masde_ttw,p_pode_masde_cps,p_pode_masde_ca,p_pode_masde_sal,p_pode_masde_mod,p_pode_masde_lab,p_pode_masde_idns,p_pode_masde_tot,p_grdigrcer_grdigrcernfd_mng,p_grdigrcer_grdigrcernfd_pro,p_grdigrcer_grdigrcernfd_ttw,p_grdigrcer_grdigrcernfd_cps,p_grdigrcer_grdigrcernfd_ca,p_grdigrcer_grdigrcernfd_sal,p_grdigrcer_grdigrcernfd_mod,p_grdigrcer_grdigrcernfd_lab,p_grdigrcer_grdigrcernfd_idns,p_grdigrcer_grdigrcernfd_tot,p_grdi_grcer_grdi_mng,p_grdi_grcer_grdi_pro,p_grdi_grcer_grdi_ttw,p_grdi_grcer_grdi_cps,p_grdi_grcer_grdi_ca,p_grdi_grcer_grdi_sal,p_grdi_grcer_grdi_mod,p_grdi_grcer_grdi_lab,p_grdi_grcer_grdi_idns,p_grdi_grcer_grdi_tot,p_grdi_grcer_gradcer_mng,p_grdi_grcer_gradcer_pro,p_grdi_grcer_gradcer_ttw,p_grdi_grcer_gradcer_cps,p_grdi_grcer_gradcer_ca,p_grdi_grcer_gradcer_sal,p_grdi_grcer_gradcer_mod,p_grdi_grcer_gradcer_lab,p_grdi_grcer_gradcer_idns,p_grdi_grcer_gradcer_tot,p_bade_bade_mng,p_bade_bade_pro,p_bade_bade_ttw,p_bade_bade_cps,p_bade_bade_ca,p_bade_bade_sal,p_bade_bade_mod,p_bade_bade_lab,p_bade_bade_idns,p_bade_bade_tot,p_advdi_di_advdi_di_nfd_mng,p_advdi_di_advdi_di_nfd_pro,p_advdi_di_advdi_di_nfd_ttw,p_advdi_di_advdi_di_nfd_cps,p_advdi_di_advdi_di_nfd_ca,p_advdi_di_advdi_di_nfd_sal,p_advdi_di_advdi_di_nfd_mod,p_advdi_di_advdi_di_nfd_lab,p_advdi_di_advdi_di_nfd_idns,p_advdi_di_advdi_di_nfd_tot
Indigo (S),23350,26,89,0,23,9,0,0,0,0,156,3,27,0,3,0,0,0,0,0,38,96,447,12,62,83,20,0,17,4,740,0,0,0,5,0,0,0,0,0,3,32,79,10,46,45,14,0,5,0,219,47,53,14,89,68,16,3,12,4,301,40,41,90,161,123,60,15,47,3,590,10,0,6,13,19,11,0,4,0,66,13,4,3,19,30,8,3,8,0,84,9,3,0,0,8,0,0,3,0,25,12,22,4,15,27,9,7,20,8,116,332,900,148,438,410,150,23,121,22,2549,0,6,0,0,0,0,0,0,0,6,14,43,0,0,0,0,0,0,0,59,68,133,5,7,3,5,0,0,0,234,3,10,0,0,0,0,0,0,0,21,47,144,8,29,12,0,5,0,3,244,10,31,5,3,0,0,0,0,0,54,194,643,30,84,101,39,3,33,15,1139,0,0,0,3,3,0,0,0,0,8
Kingston (C) (Vic.),23430,141,820,11,136,112,25,3,8,7,1268,40,195,4,19,34,3,0,0,3,298,1093,5073,220,770,1492,568,46,147,79,9488,4,6,3,16,11,3,0,4,0,45,261,513,89,333,561,165,20,63,24,2031,366,521,179,764,820,312,17,71,26,3079,282,261,512,1022,914,363,49,160,53,3623,27,26,16,62,122,81,7,30,3,381,61,74,37,180,289,96,22,43,4,807,36,82,19,47,78,40,0,14,7,321,46,101,35,112,156,87,11,54,59,650,2783,9358,1167,3630,4925,1828,185,633,306,24818,24,80,0,0,15,0,0,0,0,120,90,555,10,20,21,0,0,3,15,716,905,2354,137,206,464,191,52,98,53,4461,57,140,13,8,24,9,0,6,0,261,293,1212,37,178,163,48,16,21,17,1973,84,246,11,27,43,5,3,6,6,424,2767,8681,793,1145,2126,1014,264,412,154,17353,13,14,8,21,15,6,0,6,3,77
Knox (C),23670,92,628,12,164,104,23,3,14,9,1043,29,153,5,6,22,5,0,0,3,232,774,4420,247,753,1378,535,41,157,77,8383,0,7,0,22,14,4,0,0,0,56,224,499,79,381,526,168,15,63,20,1982,333,428,172,934,909,317,31,102,36,3259,317,260,582,1373,1154,483,106,249,58,4593,21,19,18,86,161,78,14,33,10,434,51,69,30,235,280,112,21,64,4,870,33,69,23,44,95,31,7,15,10,324,45,85,24,114,146,74,11,58,58,628,2189,8023,1241,4239,5119,1932,259,781,302,24092,17,67,0,7,8,3,0,0,0,102,71,516,17,15,30,4,4,7,5,658,702,2057,154,155,510,188,39,67,45,3909,29,116,0,5,11,13,0,4,0,181,214,968,36,193,151,30,12,29,12,1648,63,197,15,17,32,14,0,3,3,342,2204,7712,843,1041,2034,961,251,422,145,15619,8,7,4,21,10,10,3,4,0,75
Latrobe (C) (Vic.),23810,20,253,3,55,21,10,0,0,0,374,10,64,0,10,7,0,0,0,0,91,164,1465,46,193,237,62,3,30,13,2209,3,5,4,8,3,3,0,0,0,25,61,174,20,116,124,32,6,19,7,558,105,215,53,433,305,84,3,22,17,1240,139,135,336,819,699,289,20,186,25,2643,20,17,17,57,87,56,7,28,4,288,21,12,17,129,101,45,4,25,3,360,8,16,3,13,19,5,0,7,0,75,27,59,11,110,67,40,5,57,30,411,627,2693,513,1984,1674,636,49,371,113,8654,4,12,0,0,0,0,0,0,0,24,11,109,3,3,3,0,0,0,0,127,100,331,12,41,33,14,4,4,0,537,7,23,0,3,0,0,0,0,0,34,48,342,7,71,26,12,3,3,3,525,18,93,3,8,9,0,0,0,0,138,405,2171,153,262,315,97,26,65,24,3520,6,9,7,9,4,4,0,0,0,38
Loddon (S),23940,13,28,0,10,0,0,0,0,0,52,3,5,0,0,0,0,0,0,0,5,50,106,4,13,14,4,0,11,0,196,0,0,0,0,0,0,0,0,0,3,19,20,3,13,11,3,0,0,0,80,22,7,0,23,22,4,0,5,3,87,27,14,14,63,45,10,4,19,4,204,6,4,0,7,5,3,0,9,0,32,7,0,0,9,4,3,0,3,0,35,0,0,0,0,3,0,0,0,0,3,15,7,0,9,6,3,0,4,4,56,166,213,29,141,110,35,8,52,18,780,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,10,11,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,15,33,0,10,3,0,0,0,0,62,3,5,0,0,0,0,0,0,0,5,90,144,14,18,10,4,6,16,3,302,0,0,0,0,0,0,0,0,0,3
Macedon Ranges (S),24130,67,323,12,49,42,0,0,0,4,502,13,62,0,6,8,0,0,0,0,86,307,1314,68,235,292,90,3,31,24,2362,3,3,0,3,0,0,0,0,0,16,95,178,29,127,115,39,3,22,4,604,97,139,47,236,212,54,5,30,12,824,80,85,191,388,294,140,12,90,10,1296,14,14,9,36,52,31,0,18,0,175,30,12,18,80,72,35,0,25,3,273,3,19,5,6,19,5,0,8,0,74,15,43,12,61,53,31,0,16,13,244,838,2615,395,1251,1195,422,35,255,76,7086,3,18,0,3,3,0,0,0,0,31,31,183,8,7,4,3,0,3,3,239,228,517,17,26,42,11,3,11,8,864,10,45,0,0,4,0,0,0,3,69,132,451,17,70,59,11,4,7,4,756,27,79,4,17,9,4,0,0,0,147,749,2147,157,341,389,152,30,84,36,4084,4,10,0,4,3,3,0,0,0,20
Manningham (C),24210,110,542,12,83,122,16,0,4,5,893,29,115,3,6,18,4,0,0,0,178,985,3899,208,590,1346,572,22,95,105,7825,0,4,4,8,4,7,0,3,0,25,135,371,62,230,367,144,10,36,12,1368,214,247,88,379,444,196,9,49,12,1644,157,138,271,493,407,209,10,78,19,1793,17,5,8,43,75,38,3,19,3,204,61,34,29,114,192,75,7,29,5,533,33,60,11,33,62,29,0,9,0,240,49,109,10,82,105,66,5,21,49,499,2160,7113,756,2168,3469,1466,67,361,256,17821,22,58,0,3,13,3,0,4,0,100,95,750,15,6,36,5,3,3,5,921,989,2426,134,144,495,209,33,55,77,4570,38,144,8,6,23,9,0,3,0,232,256,849,32,108,151,47,7,13,16,1475,61,147,8,16,32,12,0,0,0,267,2896,7426,692,876,1965,1083,174,302,225,15634,7,7,11,8,4,7,0,4,0,44
Mansfield (S),24250,5,40,0,7,8,3,0,0,0,66,3,0,0,3,0,0,0,0,0,4,50,192,13,31,32,5,0,20,0,343,0,0,0,0,3,0,0,0,0,3,18,36,4,25,25,6,0,11,3,122,26,28,7,49,33,7,3,12,3,166,21,9,37,84,58,34,4,32,0,281,3,0,4,3,7,6,0,7,0,37,5,6,3,14,10,9,0,9,0,54,0,0,0,0,7,0,0,0,0,10,6,7,7,10,13,14,0,12,3,78,156,354,73,222,193,88,12,108,19,1225,0,0,0,0,0,0,0,0,0,6,3,7,0,0,3,0,0,0,0,14,20,45,3,13,3,3,0,3,0,89,4,3,0,0,0,0,0,0,0,9,12,55,0,18,8,3,0,0,0,99,3,7,0,3,0,0,0,0,0,10,102,285,19,45,40,10,4,28,4,537,0,0,0,0,3,0,0,0,0,4
Maribyrnong (C),24330,139,608,12,68,81,26,0,0,7,938,44,137,3,17,27,6,0,3,0,228,934,3186,176,588,974,408,30,216,63,6576,0,4,0,10,4,4,0,3,3,32,133,176,63,147,154,74,12,33,9,803,171,211,118,399,302,146,14,64,17,1443,139,123,183,388,315,158,35,95,24,1459,18,10,4,38,38,31,8,18,0,164,25,38,16,92,78,42,0,32,5,317,21,33,9,29,35,13,0,6,4,152,16,45,18,45,27,27,4,28,31,241,1996,5978,644,1922,2292,1017,111,561,205,14720,9,47,0,3,7,0,0,0,0,73,68,480,14,5,12,3,0,7,5,581,635,1982,143,206,439,214,82,216,61,3977,49,112,7,7,9,6,8,3,3,206,220,939,28,90,119,36,6,13,5,1459,67,188,8,23,30,7,0,5,0,326,2054,5914,609,957,1534,804,252,598,157,12887,0,11,6,11,5,11,4,4,3,43
Maroondah (C),24410,103,635,15,118,91,22,0,6,3,987,25,153,0,13,31,0,0,3,0,223,662,3571,153,572,975,345,23,102,39,6450,3,6,0,11,9,9,0,3,0,33,185,422,74,316,376,113,10,45,14,1563,240,378,124,634,564,196,19,51,25,2236,214,243,438,1008,870,341,44,165,33,3354,21,12,11,66,102,58,6,22,3,308,43,44,29,169,197,80,3,26,6,602,13,46,7,26,49,14,0,10,3,174,35,75,18,89,98,50,4,46,42,452,1771,6737,898,3099,3622,1292,115,495,175,18207,22,45,0,3,12,0,0,0,0,83,68,356,7,5,17,0,0,3,7,462,536,1660,83,109,352,108,25,35,42,2951,29,102,5,3,8,7,0,0,4,164,204,982,50,146,115,34,3,16,7,1559,70,203,12,28,48,3,4,3,0,369,1730,6116,521,822,1412,598,128,249,100,11682,3,10,8,18,10,13,0,3,0,61
Melbourne (C),24600,177,676,16,84,122,32,0,8,9,1118,38,168,0,10,29,12,0,0,5,268,1567,5945,399,1406,1668,934,37,435,152,12533,0,3,6,16,5,0,0,3,0,36,173,237,72,174,213,120,3,36,12,1043,236,277,165,441,302,189,6,67,29,1716,121,109,209,345,278,195,6,52,24,1338,15,21,11,53,42,22,0,14,0,181,43,49,24,77,83,32,4,19,3,343,44,93,16,50,39,25,0,24,5,303,30,70,16,71,52,28,0,30,46,344,3296,11380,1043,2962,3532,1873,74,779,358,25296,21,103,3,0,14,3,0,0,0,148,209,1739,19,13,52,12,0,3,22,2061,1559,5478,283,382,1000,444,49,199,130,9524,60,200,6,13,25,11,5,6,4,339,326,1116,29,111,199,43,7,24,14,1875,73,259,0,13,50,14,0,3,3,415,3631,12923,1105,2152,2710,1598,209,1025,342,25698,7,7,12,20,8,5,0,5,0,69
Melton (C),24650,58,368,7,124,52,18,4,6,4,638,9,76,0,6,20,0,0,0,0,124,464,2701,175,520,1056,331,51,120,53,5473,3,4,0,20,6,8,3,0,0,44,177,217,61,285,352,120,23,49,15,1291,258,312,140,840,668,207,24,67,32,2550,255,205,440,1213,1016,458,109,254,52,4008,24,19,21,79,131,85,12,39,0,411,61,43,32,214,209,91,20,55,10,740,18,48,11,26,44,19,3,10,0,190,44,72,27,124,113,73,13,60,48,578,1503,4707,936,3553,3855,1479,268,686,244,17228,3,36,3,3,5,3,0,0,0,57,19,157,4,10,11,0,0,0,4,206,358,1028,69,126,289,102,79,39,37,2134,14,67,3,11,18,4,3,3,3,116,110,521,14,139,82,32,13,17,5,928,24,100,0,13,30,0,3,0,0,176,1205,4375,534,733,1508,548,352,303,117,9660,7,12,7,20,6,6,3,6,0,67
Mildura (RC),24780,22,209,3,42,20,3,0,0,0,300,11,32,0,6,4,0,0,0,0,51,147,1220,35,130,144,37,4,49,7,1763,0,0,3,4,3,3,0,0,0,14,63,158,13,110,70,30,3,26,6,471,92,139,43,302,199,61,0,32,15,876,118,116,210,556,453,225,20,147,23,1855,18,7,4,47,61,71,8,18,5,236,25,15,10,83,68,49,4,23,3,283,5,12,7,7,11,4,0,14,3,60,21,52,13,63,54,68,5,40,28,348,555,2142,337,1366,1087,536,52,358,89,6517,0,11,0,0,0,0,0,0,0,9,14,44,0,0,0,0,0,0,0,62,67,233,3,19,11,4,0,11,0,347,3,25,0,0,0,0,0,0,0,35,40,275,5,52,20,3,0,4,0,411,17,42,3,6,6,0,0,0,0,70,358,1786,69,189,186,61,22,89,16,2776,3,0,4,8,3,4,0,3,0,24
Mitchell (S),24850,25,131,4,32,6,0,0,3,0,211,8,41,0,3,9,0,0,0,0,61,129,664,32,123,155,43,3,26,7,1187,0,0,3,5,3,3,0,0,0,20,43,97,22,88,108,29,5,4,3,402,76,120,43,297,201,55,12,34,8,848,83,88,190,421,337,151,24,111,12,1424,19,10,14,25,54,27,0,32,0,183,13,11,15,73,65,28,7,24,4,241,8,11,3,4,12,9,0,8,0,57,20,30,19,44,57,23,4,20,14,226,462,1349,345,1141,1034,378,57,267,56,5087,0,5,0,0,0,0,0,0,0,8,9,36,0,3,4,0,0,3,0,58,96,156,7,12,32,5,4,12,9,336,5,23,0,4,0,0,0,0,0,36,37,191,9,40,13,3,0,3,0,297,7,61,0,8,9,0,0,0,0,84,287,966,75,165,193,77,30,52,10,1856,0,0,3,5,3,3,0,6,0,21
Moira (S),24900,12,89,0,20,10,0,0,0,0,138,3,22,0,0,0,0,0,0,0,34,87,486,16,49,72,17,0,31,9,762,0,0,0,9,0,0,0,0,3,15,57,78,6,56,44,10,3,25,0,277,58,81,15,152,91,21,3,28,3,448,89,65,124,286,186,101,17,116,17,997,12,6,0,30,32,12,0,20,0,120,21,4,3,54,31,17,0,14,0,148,3,6,3,3,8,3,0,4,0,31,28,21,8,41,20,29,3,45,8,190,390,936,190,706,493,211,27,283,38,3281,0,3,0,0,0,0,0,0,0,7,10,15,0,4,0,0,0,0,0,24,21,85,4,4,4,4,0,8,0,130,0,6,0,0,0,0,0,0,0,8,27,120,3,23,11,0,0,3,0,189,5,26,0,0,0,0,0,0,0,41,202,678,49,75,81,29,3,51,12,1179,0,0,3,9,0,3,0,0,3,19
Monash (C),24970,163,785,31,140,146,30,4,12,4,1307,36,132,5,14,39,6,0,0,0,236,1264,6065,356,1005,2100,839,53,272,154,12112,4,8,0,13,10,4,3,3,0,40,256,467,112,331,488,158,17,91,18,1929,305,396,162,664,703,285,16,98,23,2656,172,180,389,762,566,262,43,141,25,2535,21,22,14,70,89,60,0,38,0,324,45,50,22,134,216,88,9,43,6,617,40,104,14,39,84,39,3,20,4,354,42,116,29,86,115,56,17,52,69,572,2975,11287,1243,3498,5316,2050,175,844,369,27759,30,95,3,0,12,4,0,3,3,154,193,1577,31,20,60,13,4,7,13,1927,1648,4626,349,350,1140,470,103,202,119,9002,71,216,8,16,42,17,4,7,5,388,299,1291,71,166,220,54,17,23,17,2164,82,194,14,17,52,7,3,0,5,379,3629,11914,1274,1481,3182,1625,384,846,342,24675,9,13,14,18,9,6,7,6,0,84
Strathfield (A),17100,23,95,7,12,21,7,0,0,3,166,5,26,0,0,0,0,0,0,0,35,295,1583,75,259,556,196,8,82,40,3090,0,0,0,3,0,0,0,0,0,7,43,79,24,54,124,45,0,25,8,410,58,78,33,112,136,56,0,24,11,503,35,44,69,138,100,45,5,26,15,471,3,11,9,12,36,10,3,9,0,86,11,19,4,37,58,17,5,6,6,168,10,37,9,12,22,21,0,13,3,132,8,13,5,26,27,10,6,15,19,131,607,2662,268,734,1280,493,36,229,124,6437,4,24,0,4,7,0,0,0,3,35,18,231,0,3,7,3,3,0,3,269,363,1369,105,110,353,182,53,79,48,2654,14,46,0,3,20,3,0,3,4,100,53,154,15,15,30,7,8,6,5,285,10,35,0,3,3,4,0,3,0,54,803,3354,337,406,834,427,156,282,105,6709,3,0,0,4,3,0,0,0,0,12
Sutherland Shire (A),17150,141,905,12,126,128,18,0,6,12,1343,53,208,7,17,27,6,0,0,0,325,1706,7827,229,988,1786,604,37,113,133,13421,8,14,3,16,19,9,0,0,0,75,501,1104,115,569,1052,277,19,57,27,3717,657,789,195,1135,1595,396,16,68,53,4901,525,510,788,1454,1908,668,61,163,65,6157,69,59,39,119,355,121,12,27,7,811,169,161,76,307,868,246,9,62,25,1936,57,127,26,82,307,76,11,28,8,713,76,179,35,154,298,117,11,35,100,1014,4553,14344,1557,5100,8671,2632,170,584,481,38095,29,84,0,3,11,3,3,0,0,131,106,679,15,10,29,3,0,5,7,852,1476,3506,130,191,483,164,37,44,80,6113,37,139,3,18,21,3,0,5,8,231,292,1283,36,162,184,42,10,6,18,2035,126,272,11,29,51,10,6,4,5,520,4263,12897,745,1617,2570,1080,210,316,272,23973,15,23,15,25,23,20,0,3,0,115
Sydney (C),17200,236,827,18,71,147,38,0,5,12,1346,69,212,3,16,49,6,0,0,3,359,3559,10321,598,2114,2697,1498,45,683,265,21786,5,8,7,15,5,10,0,6,0,53,410,587,137,396,430,271,16,102,38,2398,488,565,245,783,600,419,12,203,49,3372,304,274,460,534,501,274,26,95,47,2521,42,40,9,78,101,53,3,11,0,339,121,102,41,140,204,97,4,41,17,759,66,137,35,72,112,49,0,41,13,520,88,127,48,124,81,62,7,61,111,715,7136,18961,1769,4770,6058,3168,139,1348,667,44010,44,152,0,9,17,12,0,0,0,238,292,2393,24,25,68,13,0,4,25,2837,3549,9248,413,620,1727,717,89,210,235,16806,83,272,6,12,45,12,0,7,6,443,513,1538,57,110,233,63,9,21,21,2564,155,364,19,29,70,15,0,5,6,666,7901,22079,1824,3300,4412,2690,352,1566,588,44704,14,21,20,20,14,12,0,12,0,114
Tamworth Regional (A),17310,26,182,3,31,17,3,0,0,0,264,11,65,3,3,3,0,0,0,0,80,222,1536,34,139,173,47,3,58,13,2225,0,6,0,4,11,3,0,0,0,24,87,237,15,113,121,31,3,15,9,631,108,170,31,330,223,70,3,38,13,985,160,192,276,649,634,252,37,170,21,2394,34,16,10,51,115,60,9,38,0,323,44,30,18,96,158,54,5,48,0,452,8,19,6,11,35,12,0,25,0,114,37,44,10,63,81,47,3,52,27,353,784,2772,418,1508,1579,584,62,443,92,8249,0,12,0,0,0,0,0,0,0,15,8,88,0,0,5,0,0,0,0,99,100,378,14,15,28,12,0,14,6,574,3,16,0,0,0,0,0,0,0,20,41,259,13,37,17,4,3,3,0,375,15,83,4,3,7,0,0,3,0,114,474,2233,96,221,232,74,28,128,25,3506,3,6,3,9,11,3,0,0,0,33
Temora (A),17350,3,19,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,29,126,0,15,21,4,0,3,0,198,0,0,0,0,0,0,0,0,0,0,9,16,0,16,10,0,0,5,0,58,10,14,0,26,22,7,0,0,0,75,20,16,31,53,42,24,0,10,3,201,0,0,0,5,17,11,0,4,0,35,11,5,0,11,12,8,0,0,0,44,0,0,0,0,0,0,0,0,0,6,6,3,3,6,6,4,0,4,3,41,97,213,37,135,134,54,3,33,5,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,6,21,0,0,3,0,0,0,0,36,0,0,0,0,3,0,0,0,0,8,52,191,7,21,22,6,3,3,0,307,0,0,0,0,0,0,0,0,0,0
Tenterfield (A),17400,0,18,0,3,3,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,40,97,3,7,17,5,0,7,0,178,0,0,0,0,0,0,0,0,0,0,20,15,0,14,11,0,0,0,0,65,16,8,8,21,14,0,0,3,0,71,22,16,24,65,47,15,3,25,5,219,4,3,0,6,14,3,0,4,0,29,6,0,0,14,7,5,0,3,0,43,3,0,0,0,0,0,0,0,0,8,4,0,0,10,3,3,0,12,6,45,124,170,36,142,117,34,9,53,12,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,21,0,3,3,0,0,3,0,34,0,3,0,0,0,0,0,0,0,0,73,127,4,14,18,5,3,15,5,262,0,0,0,0,0,0,0,0,0,0
Glen Eira (C),22310,233,1018,18,113,180,41,0,3,13,1629,62,172,4,7,26,5,0,0,0,283,1584,6272,277,960,1741,722,29,205,124,11906,4,15,0,5,6,8,0,0,0,38,272,547,84,287,464,160,16,30,16,1875,262,428,137,507,594,228,13,55,20,2245,165,168,333,595,531,238,26,86,23,2160,15,26,13,58,75,31,0,17,4,241,67,73,21,132,185,66,0,15,8,563,38,93,25,42,69,41,5,21,5,331,41,145,27,54,117,62,6,23,70,548,3455,11820,997,2977,4531,1752,99,509,339,26480,37,100,4,4,7,9,0,0,0,159,182,1173,16,14,27,8,3,8,8,1439,1550,4131,203,278,815,331,65,147,112,7643,81,216,7,21,51,15,0,4,3,400,446,1565,46,152,248,64,14,12,22,2578,113,232,11,17,34,12,3,0,7,427,4381,12021,892,1410,2600,1436,216,513,308,23784,9,20,3,7,16,8,0,3,0,58
Glenelg (S),22410,17,62,0,23,3,0,0,0,0,110,0,15,0,4,0,0,0,0,0,21,65,372,11,32,41,12,3,12,0,537,0,0,0,5,0,0,0,0,0,6,30,69,5,33,28,3,0,3,0,179,36,62,8,112,60,21,3,8,0,312,50,39,84,250,148,68,5,92,10,750,8,3,10,25,26,17,5,13,0,99,4,8,3,36,14,12,0,8,0,92,0,4,3,4,0,3,0,3,0,15,10,10,6,18,15,15,3,15,12,101,238,701,137,543,335,143,22,156,18,2300,0,6,0,0,0,0,0,0,0,9,4,14,0,0,0,0,0,0,0,22,33,48,3,4,4,3,0,3,3,96,0,5,0,0,0,0,0,0,0,8,22,87,0,29,3,0,0,5,0,150,3,15,3,7,4,0,0,0,0,26,124,532,31,49,50,14,10,19,3,822,0,0,0,5,0,0,0,3,0,9
Golden Plains (S),22490,22,106,0,27,14,4,0,0,0,169,3,25,0,3,3,0,0,0,3,42,75,515,26,74,98,21,0,14,5,820,3,0,0,0,3,0,0,0,0,11,43,42,19,57,58,15,5,5,3,251,50,62,15,149,107,29,4,16,9,430,51,39,114,238,220,89,13,74,10,846,7,0,9,14,37,18,0,16,0,102,12,3,13,38,29,21,0,16,0,127,5,6,3,6,8,3,0,0,0,35,19,20,11,23,22,13,0,13,9,127,299,930,210,649,607,219,22,163,37,3124,0,3,0,0,0,0,0,0,0,7,12,30,0,0,4,0,0,0,0,50,37,130,3,11,16,0,0,5,0,207,3,9,0,0,4,0,0,0,0,15,40,144,7,28,14,7,3,3,0,246,9,33,0,9,3,0,0,0,5,63,186,763,52,98,114,39,13,18,4,1289,3,0,6,0,3,0,0,0,0,13
