lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Narrandera (A),15800,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,806,699,1506,57,50,104,32,0,32,8,3,7,8,0,5,25,7,27,64,98,162,1001,858,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,17,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,118,96,215,77,120,195,16,19,36,1233,1096,2325
Narromine (A),15850,0,0,0,5,0,9,0,0,0,0,0,0,0,6,3,846,798,1645,60,46,106,50,3,52,9,3,11,6,0,13,25,4,36,87,70,161,1099,935,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,17,7,3,17,0,0,0,0,0,0,0,0,0,0,0,0,172,125,300,85,111,198,18,20,45,1391,1199,2592
Newcastle (C),15900,249,173,428,750,910,1663,34,38,67,3,8,6,55,56,113,25942,23395,49343,1484,1954,3438,374,10,389,509,99,608,1009,344,1350,215,102,310,1364,1501,2858,31993,28590,60582,53,41,87,0,0,0,3,0,4,66,41,106,9,14,24,34,9,43,166,101,265,12,9,24,0,0,0,36,65,102,40,58,100,15,23,36,106,159,269,353,204,563,622,464,1092,42,19,64,14,23,40,19,9,31,84,50,137,1054,1497,2555,3021,5099,8116,293,263,559,37065,35973,73034
North Sydney (A),15950,3358,3365,6730,2917,3417,6337,344,272,612,0,8,4,119,97,217,6511,5682,12194,291,688,982,36,5,35,336,40,382,368,73,438,149,117,264,2142,2285,4426,16577,16043,32614,594,707,1301,101,110,212,10,6,17,51,36,90,24,56,77,57,32,88,838,942,1779,55,60,113,0,0,0,35,31,66,13,28,42,33,45,81,137,166,300,98,75,173,1078,1188,2259,153,137,291,14,16,30,13,8,16,184,161,345,1141,1257,2400,860,1721,2584,113,129,241,19948,20497,40445
Northern Beaches (A),15990,164,130,298,7135,7399,14540,1557,1161,2719,8,7,20,156,90,248,38106,32601,70703,1776,2685,4463,952,13,966,1425,183,1610,1045,264,1311,452,250,700,2058,2318,4378,54846,47119,101958,728,669,1394,326,344,675,0,0,0,222,124,340,27,56,76,10,5,12,1311,1187,2500,347,271,614,0,0,0,398,366,764,152,249,399,84,63,145,984,947,1928,869,396,1272,3167,2532,5699,417,340,764,108,81,184,41,16,51,563,437,996,3903,5349,9255,3822,6880,10704,538,527,1068,66843,62839,129685
Oberon (A),16100,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,821,667,1493,44,48,89,48,5,54,7,3,8,4,0,4,15,5,18,52,47,95,1002,778,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,11,5,11,0,0,0,0,0,0,0,0,0,0,0,0,113,97,206,83,126,210,21,18,39,1227,1017,2241
Orange (C),16150,5,8,18,35,35,70,9,0,9,3,0,3,16,37,54,6648,6201,12842,528,576,1107,147,4,154,64,5,72,76,12,95,56,20,68,308,268,572,7900,7165,15058,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,3,10,59,34,93,67,37,107,0,3,3,3,0,3,3,0,10,6,9,13,272,406,679,704,1077,1781,84,80,163,9033,8772,17805
Parkes (A),16200,0,0,0,13,5,18,0,0,0,0,0,0,12,5,24,1977,1790,3771,201,157,354,82,0,83,27,4,29,13,6,21,32,19,47,188,148,329,2540,2130,4665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,27,11,34,35,11,44,0,0,0,0,0,0,0,0,0,0,0,0,251,215,468,256,342,595,44,27,71,3125,2715,5840
Parramatta (C),16260,8379,6433,14814,2592,2913,5512,82,56,136,14,11,30,121,45,166,32257,22517,54771,1288,2613,3900,600,8,606,508,49,549,360,91,452,331,153,486,1832,1930,3761,48370,36823,85192,2393,2270,4661,21,9,30,53,41,98,971,626,1592,192,398,595,128,53,181,3758,3397,7155,5,11,15,0,3,3,233,185,422,79,135,216,24,14,38,348,351,695,307,193,496,4405,3935,8342,498,474,974,21,8,34,11,0,11,531,486,1021,1550,2103,3651,2953,4614,7567,489,331,820,58301,48289,106593
Carrathool (A),11600,0,0,0,8,7,17,0,0,0,0,0,0,0,0,0,457,325,777,55,31,80,21,0,16,3,0,3,4,4,6,17,7,23,54,56,110,620,431,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16,9,7,12,0,0,0,0,0,0,0,0,0,0,0,0,105,80,181,32,64,99,21,16,35,798,593,1384
Central Coast (C) (NSW),11650,3141,2208,5346,611,824,1437,31,8,39,6,6,12,46,47,95,48232,42845,91077,3195,3192,6388,1478,33,1506,535,37,567,310,81,390,424,223,650,1162,1171,2326,59164,50681,109846,765,516,1278,14,6,19,9,12,19,1500,954,2451,172,251,426,142,38,181,2605,1780,4378,9,6,7,0,0,0,28,21,43,46,87,127,5,4,11,81,117,200,619,249,867,3308,2141,5450,465,284,743,14,14,30,27,9,37,507,303,814,2861,4254,7113,5512,9404,14916,729,728,1456,72088,67514,139593
Central Darling (A),11700,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,130,99,228,16,16,34,8,0,8,10,3,10,3,0,3,10,4,18,66,52,111,230,179,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,3,8,0,0,0,0,0,0,0,3,6,0,3,6,60,37,96,9,18,24,9,4,21,325,241,564
Cessnock (C),11720,11,13,22,51,38,84,6,0,7,0,0,0,10,12,21,8321,7115,15434,594,495,1089,261,5,269,76,9,87,30,3,30,55,25,87,194,194,387,9605,7913,17521,8,0,14,0,0,0,0,0,0,20,10,36,3,5,3,0,0,0,37,18,51,0,0,0,0,0,0,0,0,4,8,4,11,3,0,3,9,6,19,116,32,156,162,60,218,8,4,13,0,0,0,5,0,5,15,4,20,307,493,797,1158,1635,2787,148,133,282,11389,10236,21626
Burwood (A),11300,2415,2406,4827,221,320,547,3,0,3,9,3,16,15,8,21,3907,2560,6466,170,363,529,119,0,119,71,3,77,62,7,70,47,24,74,341,487,829,7385,6190,13572,461,520,976,9,4,6,19,10,28,91,51,141,26,59,81,17,16,31,620,657,1276,0,0,0,0,0,0,11,11,23,5,4,15,0,7,6,17,21,43,38,34,73,676,711,1389,64,64,121,0,3,5,0,0,0,61,68,130,231,351,583,479,800,1283,124,88,218,8962,8212,17174
Byron (A),11350,5,3,14,40,32,73,0,3,3,0,0,3,12,9,19,4089,3955,8048,218,257,471,120,7,129,86,11,95,198,135,334,79,50,135,283,289,572,5136,4757,9893,4,0,4,0,0,0,0,0,0,3,3,3,0,0,0,3,0,4,5,7,9,0,0,0,0,0,0,0,0,3,3,3,6,3,0,3,5,4,14,34,39,73,49,45,95,0,4,5,0,0,3,4,4,12,9,13,20,824,997,1819,582,909,1498,133,106,235,6731,6826,13557
Cabonne (A),11400,0,3,3,3,7,13,3,0,3,0,0,0,0,3,3,2132,1808,3938,117,123,239,112,7,117,24,0,26,5,0,5,34,17,47,166,102,264,2599,2065,4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,17,18,3,22,0,0,0,3,0,3,0,5,5,3,4,10,347,302,647,218,372,591,48,54,103,3231,2794,6032
Camden (A),11450,581,530,1117,108,147,257,0,0,0,0,3,4,13,5,21,15390,12748,28135,723,837,1562,561,7,562,124,6,133,49,10,65,108,54,159,192,185,375,17849,14534,32382,160,128,284,0,0,3,0,0,0,646,518,1166,49,94,144,12,0,10,867,741,1609,0,0,0,0,0,0,7,10,15,5,24,37,3,0,3,12,40,52,142,63,209,1029,848,1873,89,79,174,4,7,10,7,0,5,103,85,187,531,1004,1532,1291,2356,3647,207,182,387,20999,19015,40014
Campbelltown (C) (NSW),11500,3953,3666,7621,256,405,665,4,0,4,3,4,7,75,27,102,24153,18111,42269,1632,1918,3547,744,11,757,257,14,270,84,20,98,159,82,238,375,428,811,31706,24691,56392,736,752,1488,5,3,11,18,12,26,812,704,1517,173,317,492,72,27,99,1814,1817,3634,0,0,0,0,0,0,5,20,23,34,51,91,3,4,8,50,80,129,217,122,339,2080,2020,4100,276,285,557,7,5,8,10,3,10,284,288,578,551,1000,1550,2183,3283,5459,435,319,760,37245,31594,68841
Canada Bay (A),11520,2993,2885,5878,1477,2002,3478,480,452,928,20,28,54,66,40,102,12238,9542,21778,437,973,1406,245,6,250,299,39,339,326,79,402,176,103,274,621,702,1329,19371,16856,36227,562,616,1182,36,28,66,10,14,26,181,140,325,34,94,128,45,8,55,876,906,1776,58,49,110,11,10,17,71,104,175,15,60,73,21,18,37,176,242,417,189,143,332,1241,1288,2527,133,109,236,25,28,47,14,3,18,168,135,303,878,1145,2024,1123,2156,3278,181,160,347,22958,21738,44699
Canterbury-Bankstown (A),11570,10007,9501,19504,983,1774,2753,11,3,20,35,58,91,330,63,400,48414,30702,79112,2646,3811,6453,1537,17,1555,477,51,528,345,57,406,560,245,806,1298,1490,2787,66637,47778,114415,1671,1915,3582,23,11,39,78,81,162,1127,970,2093,242,485,729,129,65,191,3276,3521,6797,0,0,0,6,15,18,73,76,149,38,122,162,17,18,33,137,228,364,541,285,820,3953,4028,7977,401,430,831,20,13,31,18,5,25,437,449,883,1343,2494,3832,3816,5528,9348,1035,697,1736,77223,60974,138192
Clarence Valley (A),11730,8,4,11,35,33,69,3,0,3,0,0,0,10,8,19,6109,5597,11708,407,452,867,268,5,276,79,6,89,131,58,185,96,39,135,420,363,781,7555,6569,14123,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,4,6,11,74,37,110,83,51,127,3,0,3,0,0,3,7,0,5,11,3,11,509,589,1100,762,1214,1976,126,96,225,9043,8521,17565
Cobar (A),11750,0,0,0,9,0,9,0,0,0,0,0,0,0,3,3,704,524,1230,61,56,117,25,3,25,17,0,19,10,3,18,16,10,24,59,67,128,911,669,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,9,0,15,0,0,0,0,0,0,3,0,3,3,0,3,65,74,133,140,118,251,11,23,33,1136,875,2014
Coffs Harbour (C),11800,9,3,16,69,69,137,5,0,7,0,0,0,14,17,31,10689,10096,20784,771,1046,1811,350,13,359,178,20,203,182,54,231,103,78,182,430,426,855,12797,11825,24620,3,7,3,0,0,0,0,0,0,7,5,5,3,0,3,0,0,0,11,10,17,0,0,0,0,0,0,5,8,6,10,8,18,3,0,4,17,16,34,122,57,177,150,77,228,5,0,5,3,0,3,10,3,7,16,3,17,648,893,1543,1091,1800,2894,166,157,323,14869,14759,29620
Coolamon (A),12000,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,577,514,1093,40,41,81,33,0,33,10,0,10,0,0,0,14,6,17,52,33,84,723,597,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,108,91,194,56,112,174,17,16,28,904,821,1728
Coonamble (A),12150,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,439,400,839,32,36,65,17,0,12,8,7,10,6,0,4,16,7,24,50,54,106,577,509,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,7,0,0,0,0,0,0,0,0,3,0,0,3,121,88,210,30,70,94,18,6,31,746,673,1419
Cowra (A),12350,0,0,0,3,5,3,0,0,0,0,0,0,0,5,4,1703,1430,3133,130,143,272,94,5,97,25,3,30,15,0,15,20,9,33,133,100,236,2128,1695,3823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,19,19,8,26,0,0,0,0,0,0,0,0,0,0,0,0,211,220,427,162,295,458,39,28,71,2562,2248,4811
Cumberland (A),12380,7993,6775,14768,724,1071,1791,3,3,9,17,16,34,181,54,232,30394,16531,46924,1988,2478,4465,878,21,892,215,18,232,178,27,206,329,151,481,852,901,1754,43743,28038,71782,1482,1541,3023,10,7,22,37,29,68,684,443,1127,187,293,482,75,35,107,2474,2353,4819,0,0,0,0,0,0,49,59,111,19,71,91,10,3,18,78,135,212,342,124,464,2894,2606,5499,311,344,651,7,9,14,14,0,15,327,356,683,745,1496,2246,2357,3083,5436,736,451,1188,50803,36040,86838
Dungog (A),12700,4,4,6,8,0,8,0,0,0,0,0,0,3,4,7,1416,1183,2597,79,65,141,77,0,76,15,0,13,7,0,7,14,4,21,77,67,141,1693,1323,3018,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,24,20,7,30,0,0,3,0,0,0,0,0,0,0,0,3,168,180,346,158,272,436,25,27,57,2072,1811,3885
Edward River (A),12730,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1379,1203,2580,80,100,175,48,0,46,9,0,10,21,11,31,23,11,28,106,100,210,1668,1424,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,17,10,7,23,0,0,0,0,0,0,0,0,3,0,0,3,153,130,280,129,230,363,31,22,52,1995,1815,3812
Eurobodalla (A),12750,3,0,4,43,31,72,0,0,0,0,3,3,5,3,14,4425,4275,8700,286,360,647,206,10,217,48,6,56,60,21,80,63,25,90,238,242,478,5376,4986,10365,3,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,3,6,10,0,3,3,3,10,12,40,16,59,53,29,80,0,0,0,0,0,0,0,0,0,0,4,3,356,449,812,622,918,1538,80,98,180,6492,6481,12976
Fairfield (C),12850,2713,2808,5521,484,697,1180,9,0,8,8,8,17,47,23,78,27751,18196,45943,2022,2905,4928,1147,21,1168,145,16,157,120,17,143,242,102,347,483,717,1203,35178,25515,60687,659,782,1441,0,0,0,16,8,18,752,514,1265,141,305,446,29,13,43,1593,1626,3217,7,0,7,0,0,0,39,51,94,28,51,83,8,7,15,82,116,196,310,203,514,1993,1940,3930,226,258,485,5,5,7,3,4,5,236,266,503,560,1094,1654,1663,2484,4148,586,391,974,40212,31681,71899
Federation (A),12870,0,0,3,6,5,7,0,0,0,0,0,0,0,3,4,1848,1456,3311,115,106,220,51,0,57,11,3,14,17,9,26,30,13,40,104,114,213,2190,1702,3898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,29,17,12,29,0,0,0,0,0,0,0,0,0,0,0,0,190,181,370,218,361,588,40,47,91,2664,2300,4970
Forbes (A),12900,0,0,0,18,5,22,0,0,0,0,0,0,7,3,9,1411,1193,2602,111,90,198,61,0,64,17,0,17,4,3,14,27,12,36,106,78,178,1761,1395,3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,15,5,21,16,9,27,0,0,0,0,0,0,0,0,4,0,0,4,195,177,376,120,209,335,33,25,58,2136,1809,3944
Georges River (A),12930,7928,8119,16047,329,581,918,8,11,13,6,14,22,52,26,82,19925,13375,33303,844,1666,2506,422,6,429,214,20,234,125,23,147,192,95,288,912,1290,2199,30958,25226,56182,1131,1247,2374,13,9,23,59,58,114,610,479,1097,165,280,445,67,29,100,2046,2095,4146,0,0,0,0,0,0,25,31,56,14,35,47,0,9,7,43,77,119,152,92,243,2243,2266,4505,229,245,478,11,4,10,3,3,8,241,252,494,984,1330,2313,2062,3371,5440,346,254,596,36834,32704,69537
Gilgandra (A),12950,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,537,492,1030,39,32,73,28,0,28,13,0,13,8,0,4,18,3,21,63,62,129,700,598,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,16,0,17,0,0,0,0,0,0,0,0,5,0,0,5,149,109,262,68,102,173,15,16,27,955,830,1783
Glen Innes Severn (A),13010,3,0,4,6,0,10,0,0,3,0,0,0,8,3,8,977,935,1914,88,85,173,71,8,75,11,4,19,8,6,14,12,11,22,108,104,217,1303,1156,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,24,17,9,27,0,0,0,0,0,0,0,0,0,0,0,0,201,158,359,114,194,312,45,27,73,1673,1552,3224
Goulburn Mulwaree (A),13310,16,8,23,40,16,59,3,0,4,0,0,0,16,19,35,4760,4131,8892,394,394,790,184,9,190,56,3,59,24,8,32,44,16,66,222,187,402,5756,4794,10552,3,3,3,0,0,0,0,0,0,3,8,12,0,0,0,0,0,0,6,14,22,0,0,0,0,0,0,0,6,9,0,3,3,0,0,0,0,7,12,52,24,68,59,44,99,0,0,3,0,0,4,4,0,4,8,3,5,238,309,547,561,802,1361,89,64,152,6708,6013,12722
Greater Hume Shire (A),13340,4,0,4,9,5,18,0,0,0,0,0,0,0,0,0,1521,1363,2888,74,68,146,88,0,87,18,3,21,7,4,13,40,12,57,124,98,220,1884,1554,3441,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,24,3,26,22,9,34,0,0,0,0,0,0,0,0,0,0,0,0,335,257,594,180,301,477,31,34,65,2460,2154,4614
Griffith (C),13450,3,3,5,4,8,15,0,0,0,0,0,0,10,13,20,4709,3867,8574,438,487,927,105,0,103,46,7,49,44,5,48,53,14,64,199,132,334,5613,4540,10149,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,50,21,72,54,24,77,0,0,0,0,0,0,0,0,0,0,0,0,233,231,463,322,533,856,77,97,167,6302,5419,11713
Gundagai (A),13510,0,0,0,13,3,16,3,0,3,0,0,0,0,0,4,1531,1366,2895,145,107,251,65,3,70,27,5,31,22,3,19,30,10,45,115,122,234,1951,1628,3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,21,13,5,21,0,0,0,0,0,0,3,0,3,3,0,3,173,158,331,141,244,384,39,24,65,2318,2059,4382
Gunnedah (A),13550,3,0,4,58,20,79,0,0,0,0,0,0,9,11,16,1898,1609,3508,219,127,348,101,5,100,8,0,15,6,7,16,18,13,33,125,81,208,2446,1876,4318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,25,0,3,3,0,0,3,27,4,31,30,3,35,59,9,62,0,0,0,0,0,0,0,0,0,0,0,0,198,220,421,206,294,502,33,35,67,2949,2428,5381
Gwydir (A),13660,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,616,511,1131,27,34,59,52,7,62,12,0,16,4,3,7,26,10,41,87,73,163,838,655,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,5,4,7,0,0,0,0,0,0,0,0,3,0,0,3,223,171,387,56,110,168,10,15,27,1129,947,2083
Hawkesbury (C),13800,380,437,826,45,71,116,0,0,0,0,0,0,9,13,24,12203,10215,22422,650,626,1273,877,11,893,143,14,153,101,11,110,99,47,145,349,264,617,14861,11712,26576,52,58,109,0,0,0,0,0,0,212,237,449,42,36,76,13,0,18,328,334,658,0,0,0,0,0,0,11,16,24,0,6,8,3,0,3,17,22,36,158,64,217,492,418,917,47,47,97,0,0,0,7,4,7,52,50,104,644,1087,1729,950,1723,2676,173,157,324,17178,15154,32329
Hay (A),13850,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,440,331,766,42,31,73,22,0,28,9,0,9,8,5,8,18,6,25,50,59,104,586,432,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,49,61,105,56,69,129,17,10,27,714,578,1296
Penrith (C),16350,2655,2699,5354,286,484,770,12,0,12,6,5,12,57,35,96,34960,28131,63086,2292,2379,4666,1700,24,1721,390,41,434,155,32,185,235,135,369,646,663,1307,43389,34623,78008,689,692,1379,0,0,0,19,3,21,1008,936,1943,152,288,436,71,23,96,1930,1948,3876,0,0,0,0,0,0,24,14,46,35,57,92,12,9,20,71,84,157,381,140,525,2383,2176,4557,292,267,564,0,3,7,13,7,18,308,278,588,979,1909,2888,2890,5144,8028,423,363,787,50373,44489,94859
Port Macquarie-Hastings (A),16380,6,5,13,49,64,111,4,0,4,0,3,3,19,24,42,10632,10208,20841,663,875,1536,335,12,345,201,18,220,124,27,153,119,59,182,433,466,905,12591,11771,24365,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,3,7,3,14,0,0,0,0,0,0,3,3,4,3,9,10,0,0,0,8,9,23,136,75,216,157,92,245,5,0,5,0,0,4,10,5,10,14,4,20,737,912,1646,1186,1883,3064,156,149,308,14840,14816,29655
Port Stephens (A),16400,14,14,30,114,108,219,3,9,15,3,0,4,9,11,18,10611,8868,19479,618,636,1254,319,4,321,153,6,161,96,13,112,89,50,135,366,319,685,12393,10044,22430,3,0,0,0,0,0,3,0,3,14,7,19,3,3,6,0,0,0,22,9,34,3,3,5,0,0,0,5,8,14,3,12,16,3,3,4,16,22,38,119,105,232,156,139,297,8,5,14,6,14,15,9,3,10,19,24,43,506,820,1320,1288,1914,3197,167,144,310,14530,13072,27602
Queanbeyan-Palerang Regional (A),16490,6,5,14,127,144,268,7,3,10,3,3,8,22,25,47,11420,9828,21247,661,1061,1720,309,6,321,244,25,267,135,27,156,104,57,160,343,382,730,13376,11569,24947,0,3,3,0,0,0,0,0,0,9,3,12,0,4,4,0,0,0,9,13,14,0,0,0,0,0,0,28,40,63,9,27,36,4,3,13,43,71,118,142,93,237,188,173,370,4,3,6,6,0,8,8,0,7,20,3,18,435,649,1090,1052,1629,2680,158,136,294,15227,14164,29389
Randwick (C),16550,268,256,527,6511,8316,14825,7,0,11,6,4,8,100,99,203,16449,13030,29481,841,1605,2442,345,4,352,877,184,1059,1068,351,1418,268,154,414,1871,2451,4322,28605,26466,55073,1127,1124,2245,0,0,0,0,0,3,81,63,147,28,48,75,22,12,41,1259,1248,2504,11,13,19,30,47,77,158,205,363,60,105,168,112,69,181,378,438,815,216,130,353,1854,1812,3668,145,109,255,44,34,80,18,7,29,204,151,362,1303,1798,3101,2015,3478,5497,290,286,577,34284,33998,68276
Richmond Valley (A),16610,0,0,0,16,11,35,0,0,0,3,0,3,3,7,7,2959,2658,5614,243,213,457,128,3,134,46,0,49,45,8,57,40,12,49,182,156,339,3674,3061,6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,4,38,14,50,35,16,55,0,0,0,0,0,0,0,0,0,3,0,3,228,233,464,333,544,871,74,66,133,4347,3919,8265
Rockdale (C),16650,5962,5955,11923,478,730,1208,4,0,7,9,9,18,79,30,109,14825,9897,24727,700,1340,2038,389,7,402,257,26,281,181,33,210,194,92,288,666,820,1484,23738,18950,42693,1051,1277,2329,6,7,13,41,29,66,390,352,745,77,167,244,61,38,102,1632,1863,3499,3,0,3,0,0,0,38,27,67,12,46,54,4,3,6,57,78,135,139,75,214,1825,2017,3843,180,199,377,3,3,11,3,8,8,191,205,400,647,862,1510,1475,2340,3811,331,240,573,28205,24619,52827
