lga_name_2016,lga_code_2016,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Mackay (R),34770,48,518,562,25,281,302,71,796,865,94,1025,1119,152,2358,2516,148,1550,1699,208,2414,2619,153,2321,2474,218,2795,3008,213,2575,2786,270,4293,4561,218,4236,4459,157,2630,2784,226,4969,5194,265,4284,4553,85,1082,1167,2552,38119,40669
McKinlay (S),34800,0,10,11,0,3,3,0,6,6,0,9,6,0,24,28,0,4,4,0,12,11,0,21,24,0,26,27,0,18,18,0,21,21,0,21,21,0,12,12,3,26,27,3,31,31,0,15,13,13,258,270
Mapoon (S),34830,0,0,0,0,0,0,4,0,4,3,0,3,7,0,7,5,0,5,11,0,12,10,0,10,8,0,8,7,0,10,10,3,11,3,3,4,0,0,0,0,0,0,12,0,12,0,0,0,71,14,84
Maranoa (R),34860,9,72,79,7,33,39,21,84,106,20,124,144,21,237,257,20,161,186,36,261,295,24,273,301,39,322,360,26,309,336,36,506,546,38,420,458,24,250,268,39,437,474,38,406,439,14,139,152,403,4038,4439
Mareeba (S),34880,8,95,105,9,63,70,47,185,228,48,287,332,44,637,679,52,339,388,63,672,733,68,512,581,76,612,688,54,484,537,79,663,747,48,529,575,27,312,344,29,436,466,85,593,678,27,229,254,763,6645,7408
Moreton Bay (R),35010,55,1396,1454,37,784,825,105,2099,2201,140,3394,3540,271,9178,9444,279,6668,6941,453,11043,11497,521,10086,10602,513,12247,12768,526,11083,11615,717,17935,18649,608,15858,16464,331,9894,10231,552,16925,17475,453,10313,10764,128,3068,3192,5686,141975,147666
Mornington (S),35250,0,0,0,3,0,3,21,0,21,6,0,6,22,0,22,15,0,15,22,3,20,20,3,18,21,6,29,10,4,13,18,6,25,11,9,18,5,6,14,0,12,15,20,3,29,15,0,18,203,58,261
Mount Isa (C),35300,10,67,75,15,19,27,44,56,100,41,71,118,59,143,206,41,104,145,70,166,237,56,168,228,72,239,315,80,262,338,110,562,673,114,822,931,84,479,564,172,1290,1462,110,377,492,46,119,163,1125,4954,6078
Murweh (S),35600,3,26,30,0,8,13,7,28,38,16,58,74,18,141,167,12,64,77,17,105,123,23,104,123,15,104,121,20,92,112,15,135,147,14,145,158,7,80,86,11,118,124,19,113,130,20,70,95,223,1387,1611
Napranum (S),35670,0,0,0,7,0,7,17,0,17,10,0,10,30,0,30,21,0,21,28,0,28,24,0,23,18,3,19,23,0,24,14,0,16,15,0,18,3,0,3,10,3,12,6,0,6,0,0,0,228,9,235
Noosa (S),35740,6,277,282,0,148,149,3,444,451,3,581,584,23,1541,1562,22,1077,1099,28,1807,1841,34,1577,1614,40,1856,1898,31,1578,1614,55,2288,2342,39,1660,1702,21,948,969,27,1826,1857,47,1665,1716,6,463,469,400,19749,20143
North Burnett (R),35760,9,71,80,4,36,45,7,93,107,13,158,174,25,431,457,25,203,231,37,391,429,26,307,332,29,314,350,19,273,292,29,323,354,20,244,268,6,115,124,3,197,204,22,266,285,23,181,198,301,3610,3916
Northern Peninsula Area (R),35780,0,7,3,5,0,5,13,0,12,32,4,29,33,3,37,46,3,49,59,4,63,58,3,59,52,14,69,73,14,85,52,15,62,50,12,60,17,13,30,25,20,40,32,9,39,4,15,16,559,114,676
