lga_name_2016,lga_code_2016,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Pingelly (S),57140,29,52,50,402,507,484,675,930,886,934,1083,1074,195,140,150,1.0,0.7,0.7,3.0,2.1,2.2,11.8,1.6,2.8
Plantagenet (S),57210,27,47,46,374,539,534,959,1037,1035,1059,1235,1222,200,194,195,0.8,0.8,0.8,2.9,2.4,2.4,6.6,2.7,2.8
Port Hedland (T),57280,26,32,31,478,1501,1355,1901,2780,2563,2715,2693,2693,140,229,200,1.0,0.9,0.9,3.1,2.6,2.7,9.6,2.7,4.0
Quairading (S),57350,39,53,52,350,586,545,739,936,906,0,1001,1002,150,80,98,0.9,0.7,0.7,2.9,2.0,2.1,0.0,1.1,1.5
Ravensthorpe (S),57420,49,45,45,466,685,676,1281,1195,1196,1083,1206,1200,227,220,220,0.7,0.7,0.7,2.3,2.2,2.2,0.0,1.0,1.3
Rockingham (C),57490,20,35,34,533,685,682,1524,1556,1555,1950,1950,1950,350,350,350,0.9,0.7,0.7,3.4,2.7,2.7,6.5,1.4,1.5
Toodyay (S),58330,24,51,51,494,562,560,1625,1157,1167,1525,1600,1600,285,280,280,1.0,0.7,0.7,3.4,2.2,2.3,7.5,1.3,1.5
Trayning (S),58400,18,51,50,366,568,556,537,945,914,0,531,510,125,77,79,0.4,0.6,0.7,3.5,1.7,2.0,0.0,3.2,2.9
Upper Gascoyne (S),58470,18,35,26,304,661,419,725,1312,966,0,0,0,50,0,30,1.5,0.5,1.1,4.1,1.8,3.0,33.3,0.0,19.3
Victoria Park (T),58510,29,34,34,437,771,766,1054,1565,1554,2000,2037,2037,260,360,351,0.9,0.9,0.9,2.6,2.3,2.3,10.5,3.8,3.9
Migratory - Offshore - Shipping (Tas.),69799,0,41,41,0,1071,1089,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice Springs (T),70200,28,36,35,438,1086,1002,1314,2034,1937,1950,1950,1950,200,360,350,1.1,0.9,0.9,3.1,2.5,2.6,14.0,4.3,5.9
Glamorgan/Spring Bay (M),62410,22,57,56,454,502,498,866,853,854,1000,1083,1083,200,185,190,0.9,0.7,0.7,2.8,2.0,2.0,4.3,1.4,1.5
Glenorchy (C),62610,23,40,39,482,565,561,1020,1019,1019,1254,1300,1300,250,250,250,1.0,0.8,0.8,2.8,2.3,2.3,6.5,3.3,3.5
Hobart (C),62810,26,39,39,536,721,718,1326,1441,1439,1625,1647,1647,280,290,290,1.0,0.8,0.8,2.6,2.3,2.3,7.5,2.6,2.7
Huon Valley (M),63010,24,47,45,469,497,495,1158,968,987,1300,1281,1300,235,225,230,0.9,0.8,0.8,3.0,2.3,2.4,4.5,2.8,3.0
Victoria Plains (S),58540,26,45,45,316,719,706,762,1258,1225,961,867,867,0,100,100,0.7,0.8,0.8,2.1,2.4,2.4,0.0,2.2,2.1
Kentish (M),63210,26,48,47,461,476,475,1025,993,995,927,1083,1083,218,190,200,1.0,0.8,0.8,3.0,2.4,2.4,5.6,3.3,3.5
King Island (M),63410,45,47,47,624,710,707,1124,1203,1199,943,1000,1000,130,125,128,0.7,0.7,0.7,2.2,2.1,2.1,0.0,1.2,1.3
Kingborough (M),63610,25,42,42,613,674,672,1460,1358,1364,1586,1517,1517,300,300,300,1.0,0.8,0.8,3.1,2.5,2.5,5.4,1.8,2.0
Latrobe (M) (Tas.),63810,33,47,47,482,559,555,1125,1074,1078,1213,1300,1300,230,235,235,0.9,0.8,0.8,2.8,2.3,2.3,5.0,1.7,1.9
Launceston (C),64010,21,40,39,448,567,562,904,1049,1042,1285,1291,1291,220,225,225,0.9,0.8,0.8,2.8,2.3,2.3,5.5,2.6,2.7
Meander Valley (M),64210,24,45,45,451,539,537,1032,1046,1045,1300,1300,1300,210,210,210,0.9,0.8,0.8,2.9,2.4,2.4,4.8,1.6,1.7
Northern Midlands (M),64610,24,46,46,510,556,555,1062,1041,1042,1213,1300,1300,220,200,200,1.0,0.8,0.8,2.9,2.3,2.3,8.5,1.9,2.1
Sorell (M),64810,25,43,42,468,592,587,1254,1125,1132,1300,1300,1300,280,260,260,1.0,0.8,0.8,3.1,2.4,2.4,8.8,2.5,2.8
Vincent (C),58570,28,34,34,628,994,992,1687,2021,2019,2492,2273,2275,380,410,410,1.0,0.9,0.9,2.3,2.2,2.2,7.6,3.2,3.2
Wagin (S),58610,38,49,49,369,542,539,1124,969,970,607,1002,1000,190,168,168,0.7,0.7,0.7,2.4,2.2,2.2,0.0,1.6,1.6
Wandering (S),58680,0,47,47,0,753,748,0,1562,1542,0,1668,1668,0,32,32,0.0,0.7,0.7,0.0,2.4,2.4,0.0,0.0,0.0
Wanneroo (C),58760,19,33,33,492,711,709,1397,1701,1696,2000,2058,2058,340,380,375,1.0,0.8,0.8,3.5,2.9,2.9,7.9,2.2,2.3
Waroona (S),58820,22,45,45,368,563,558,1062,1222,1218,1824,1625,1636,200,250,250,0.9,0.8,0.8,3.1,2.5,2.5,11.6,2.9,3.1
West Arthur (S),58890,42,47,47,762,631,635,1125,1146,1143,514,845,800,157,100,100,0.6,0.7,0.7,2.4,2.3,2.3,0.0,0.0,0.0
Westonia (S),59030,0,42,42,0,1114,1099,0,1625,1562,0,1019,1019,0,85,85,0.0,0.7,0.7,0.0,2.3,2.3,0.0,0.0,0.0
Palmerston (C),72800,20,31,30,694,1085,1053,1757,2246,2197,2383,2241,2253,360,450,430,1.1,0.9,0.9,3.2,2.8,2.9,11.2,3.5,4.6
Roper Gulf (R),73600,23,43,26,241,920,279,946,1416,1049,0,1350,1278,50,0,50,2.0,1.1,1.8,5.2,1.9,4.2,62.6,7.6,48.4
Tiwi Islands (R),74050,28,41,30,217,1241,248,663,1958,780,0,0,0,57,0,50,1.4,0.9,1.4,4.1,2.0,3.8,39.4,0.0,33.8
Wickepin (S),59100,10,47,46,687,609,609,1437,1074,1091,0,774,767,138,95,100,1.5,0.7,0.7,4.0,2.3,2.2,0.0,1.6,1.9
Wagait (S),74560,35,49,48,537,903,861,1624,1461,1463,1559,1733,1733,250,250,250,1.4,1.1,1.1,1.9,2.1,2.2,22.2,6.2,7.8
West Arnhem (R),74660,25,37,28,235,1334,276,1106,2127,1467,0,2550,2550,60,29,50,2.1,0.9,1.7,5.4,2.1,4.2,63.8,4.2,42.4
West Daly (R),74680,22,35,24,220,1346,239,891,2176,1043,355,0,355,60,0,50,2.2,0.8,2.0,6.0,1.9,5.3,70.6,0.0,58.6
Williams (S),59170,31,43,43,575,834,825,899,1468,1458,0,1212,1223,216,125,126,0.0,0.8,0.8,3.0,2.5,2.5,0.0,1.5,1.7
Wiluna (S),59250,29,36,35,267,1725,1345,900,1300,1014,0,0,0,100,0,70,1.4,0.7,1.1,4.3,1.5,3.0,38.3,8.7,23.7
Migratory - Offshore - Shipping (NT),79799,0,36,36,0,700,700,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unincorporated ACT,89399,23,35,35,792,1003,1000,1886,2074,2070,2167,2058,2058,360,381,380,1.0,0.8,0.8,2.9,2.5,2.5,5.4,2.6,2.6
No usual address (ACT),89499,33,36,36,374,452,447,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unincorp. Other Territories,99399,35,43,42,390,730,715,1268,1384,1377,0,1400,1400,63,150,140,1.1,0.9,0.9,3.5,2.5,2.6,24.1,4.6,5.4
No usual address (OT),99499,0,43,42,0,350,412,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Migratory - Offshore - Shipping (OT),99799,0,39,39,0,1833,1833,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wongan-Ballidu (S),59310,20,42,41,454,743,717,900,1266,1235,1300,1083,1083,142,130,135,1.0,0.7,0.7,2.7,2.2,2.3,0.0,1.0,1.5
Woodanilling (S),59320,46,43,43,399,760,748,874,1263,1228,0,832,817,0,25,25,0.0,0.8,0.8,2.0,2.3,2.4,0.0,0.0,0.0
Wyalkatchem (S),59330,38,53,53,474,513,511,0,856,837,0,604,604,0,150,150,0.0,0.6,0.7,0.0,2.0,2.0,0.0,0.0,0.0
Wyndham-East Kimberley (S),59340,24,37,33,351,1095,864,995,2005,1704,1700,2167,2167,150,225,196,1.2,0.9,1.0,3.4,2.3,2.7,22.3,4.3,9.6
Yalgoo (S),59350,27,43,39,669,1687,1483,1375,1208,1292,0,325,325,174,25,50,0.8,0.6,0.8,2.6,1.9,2.1,0.0,0.0,0.0
Yilgarn (S),59360,32,46,45,1050,857,861,743,1245,1201,0,810,790,145,120,120,0.8,0.7,0.7,2.2,2.1,2.1,0.0,1.8,1.7
York (S),59370,28,51,51,374,547,540,979,1026,1024,1685,1500,1500,200,250,250,0.8,0.7,0.7,3.3,2.2,2.2,0.0,1.4,1.5
No usual address (WA),59499,39,42,41,266,470,434,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Migratory - Offshore - Shipping (WA),59799,32,40,40,2666,2653,2654,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Break O'Day (M),60210,21,55,54,401,440,439,833,742,746,867,930,910,200,190,195,1.0,0.8,0.8,2.9,2.0,2.1,8.3,1.7,2.0
Brighton (M),60410,21,36,34,442,583,568,1014,1123,1111,1300,1300,1300,210,220,215,1.0,0.8,0.8,3.1,2.6,2.6,8.3,2.8,3.5
Burnie (C),60610,22,42,41,450,531,523,970,996,993,1083,1083,1083,210,200,200,0.9,0.8,0.8,2.7,2.3,2.3,3.4,1.7,1.9
Central Coast (M) (Tas.),60810,25,47,46,490,531,528,1145,989,1002,1300,1200,1213,216,210,210,1.0,0.7,0.8,2.9,2.3,2.3,5.8,1.5,1.9
Central Highlands (M) (Tas.),61010,27,50,50,322,473,467,780,826,820,867,867,867,150,100,100,0.9,0.7,0.7,3.0,2.1,2.1,9.6,1.6,2.1
Circular Head (M),61210,22,44,41,496,596,581,1196,1059,1083,1192,1083,1083,173,165,170,0.9,0.7,0.8,3.0,2.3,2.4,4.2,1.9,2.3
Clarence (C),61410,25,43,43,498,679,673,1233,1311,1306,1322,1452,1452,250,270,265,0.9,0.8,0.8,3.0,2.4,2.4,6.0,1.7,1.9
Derwent Valley (M),61510,22,44,43,445,509,505,1086,992,998,1196,1148,1148,220,210,210,1.0,0.8,0.8,3.2,2.4,2.4,7.6,2.9,3.1
Devonport (C),61610,23,44,43,457,519,514,1051,941,949,1300,1200,1200,224,220,220,1.0,0.7,0.8,2.9,2.2,2.3,5.1,1.8,2.1
Dorset (M),61810,29,48,48,397,480,478,756,828,822,867,1034,1020,175,160,160,0.9,0.7,0.7,2.7,2.2,2.2,8.7,1.4,1.7
Flinders (M) (Tas.),62010,49,55,53,493,585,575,906,1080,1021,921,696,758,101,100,100,0.7,0.7,0.7,2.0,2.1,2.0,0.0,1.7,2.1
George Town (M),62210,21,47,46,372,461,457,852,854,854,1046,1083,1083,180,180,180,0.9,0.7,0.8,2.9,2.3,2.3,8.2,2.3,2.7
Barkly (R),70420,24,37,28,261,1020,375,992,1774,1323,1200,1200,1200,80,69,80,1.6,0.9,1.3,4.4,2.1,3.4,41.5,4.7,25.3
Belyuen (S),70540,29,38,30,258,1375,261,790,0,850,0,0,0,70,0,70,1.5,0.0,1.4,4.4,1.0,3.8,43.8,0.0,41.2
Central Desert (R),70620,25,42,28,268,1319,294,1052,1949,1218,0,1040,1040,65,0,53,1.7,0.7,1.5,5.0,1.8,4.2,52.7,2.4,40.3
Coomalie (S),70700,26,51,46,450,654,610,991,1156,1128,1473,1300,1348,180,130,165,1.1,1.0,1.0,2.9,2.0,2.2,18.5,5.9,9.2
Darwin (C),71000,25,34,34,569,1066,1039,1777,2191,2164,2167,2167,2167,320,425,418,1.1,0.9,1.0,3.1,2.6,2.6,12.3,5.8,6.3
East Arnhem (R),71300,24,38,25,230,1360,242,1188,1976,1342,0,0,0,60,0,60,2.1,0.8,1.9,5.9,1.9,5.2,69.7,0.0,58.3
Katherine (T),72200,25,34,33,406,1062,922,1292,1965,1819,1647,1733,1733,200,250,250,1.3,0.9,1.0,3.5,2.5,2.8,20.9,4.5,8.2
Litchfield (M),72300,29,38,37,886,1104,1092,2374,2213,2228,2383,2400,2400,350,400,400,1.3,1.0,1.1,3.6,2.8,2.9,15.4,7.0,7.9
MacDonnell (R),72330,26,38,29,237,1010,271,791,1554,982,0,0,0,50,0,50,1.6,0.9,1.5,4.5,1.9,3.8,46.9,5.1,37.2
