lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Jerramungup (S),54130,68,187,3,0,4,128,69,200,0,0,0,32,9,46,0,0,0,35,9,48,0,0,3,12,9,24,0,0,0,12,12,26,0,0,0,3,0,4,0,0,0,3,0,4,19,7,29,428,356,786,74,54,126,525,424,946,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,23,23,42,3,5,10,25,25,54,21,7,29,450,379,831,77,58,133,552,450,1002,0,0,0,3,0,4,0,0,0,3,0,4
Joondalup (C),54170,12229,24394,89,83,174,12351,12396,24751,19,26,45,2259,2325,4583,17,11,33,2299,2367,4662,11,4,18,1029,1272,2305,22,14,34,1063,1297,2356,0,3,3,116,137,251,0,0,0,115,138,254,400,448,846,64469,65980,130451,1924,1917,3846,66794,68348,135145,0,0,0,7,0,6,0,0,0,7,0,6,44,41,80,4762,5766,10522,261,326,582,5063,6125,11189,441,484,928,69236,71743,140977,2189,2242,4433,71862,74476,146337,4,3,9,370,724,1095,31,38,74,409,771,1178
Kalamunda (S),54200,5173,10752,36,38,74,5707,5317,11027,27,37,68,1133,1075,2208,12,15,30,1174,1124,2301,4,14,19,664,628,1290,12,9,16,677,644,1329,3,3,4,93,98,188,3,0,3,98,100,201,436,447,881,23945,24696,48639,1124,1104,2230,25503,26249,51756,0,0,0,15,6,19,0,0,0,15,6,19,17,19,29,755,1049,1808,58,100,159,835,1164,1999,448,467,916,24710,25758,50465,1185,1201,2392,26351,27425,53772,9,57,62,266,264,531,9,11,24,287,332,622
Cue (S),52380,16,35,0,0,0,26,22,43,0,4,4,3,3,7,0,0,0,4,4,7,0,0,0,9,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,15,29,38,30,71,12,14,26,67,57,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,6,3,7,16,15,29,38,33,73,16,14,28,71,62,138,0,0,0,8,4,9,13,4,16,20,6,29
Cunderdin (S),52450,144,327,0,3,0,187,154,340,4,3,5,30,15,49,0,0,3,34,22,58,0,0,0,29,24,55,0,0,0,29,24,55,0,0,0,0,0,0,0,0,0,0,0,0,9,12,25,544,508,1053,50,34,91,603,562,1164,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,16,27,4,3,9,17,17,31,9,12,23,554,526,1078,54,43,93,619,581,1199,0,0,0,95,22,118,5,4,15,101,28,131
Dalwallinu (S),52520,114,249,4,0,4,145,126,272,3,0,4,25,18,40,0,0,0,28,14,42,3,0,5,24,29,58,0,0,3,32,28,64,0,0,0,0,0,0,0,0,0,0,0,0,35,31,68,568,469,1041,60,40,107,672,547,1214,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,28,28,51,9,10,15,40,34,73,45,32,72,597,494,1095,71,53,118,711,580,1292,0,0,0,3,8,10,0,0,0,3,8,10
Dandaragan (S),52590,340,775,4,5,9,447,352,802,0,0,0,123,68,189,3,4,6,129,72,194,0,0,0,90,53,145,0,0,0,87,59,149,0,0,0,0,0,0,0,0,0,0,0,0,31,33,65,1235,1141,2383,91,94,191,1361,1269,2632,0,0,0,23,17,35,0,0,0,24,17,37,0,3,3,48,43,90,8,11,17,59,55,111,36,36,69,1307,1200,2507,105,106,208,1444,1335,2780,0,0,0,38,14,51,8,5,17,48,23,68
Dardanup (S),52660,1565,3289,15,11,22,1756,1606,3364,8,9,17,353,290,643,0,9,10,363,307,671,4,5,7,208,151,357,3,3,4,213,162,373,0,0,0,13,10,27,0,0,0,13,10,27,102,123,228,5578,5831,11417,315,339,656,6000,6301,12299,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,229,279,504,37,42,81,269,318,590,105,127,236,5811,6114,11923,351,377,730,6267,6620,12885,0,0,0,63,90,145,4,7,11,67,95,162
Denmark (S),52730,557,1163,4,3,11,612,572,1182,7,0,7,129,98,230,0,0,0,136,98,234,0,0,3,60,50,113,0,0,0,62,54,113,0,0,0,5,0,12,0,0,0,11,0,12,38,40,75,2219,2267,4489,206,219,427,2462,2532,4991,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,51,77,131,11,12,24,65,95,158,38,37,73,2277,2347,4625,220,234,454,2532,2622,5151,0,0,0,54,52,106,8,8,11,60,60,116
Derby-West Kimberley (S),52800,179,454,8,0,9,733,654,1384,152,125,277,69,32,92,0,0,0,217,154,373,136,105,250,36,8,48,0,0,0,174,116,295,81,79,157,5,0,5,0,0,0,83,79,164,1955,2073,4033,694,672,1369,143,138,284,2798,2889,5684,13,8,18,25,23,47,7,7,10,44,38,77,148,149,297,205,180,388,57,70,126,412,398,813,2118,2228,4345,926,878,1807,205,217,424,3252,3322,6581,189,60,254,119,84,204,49,39,89,358,184,539
Donnybrook-Balingup (S),52870,671,1435,15,11,26,791,699,1489,4,0,7,157,107,263,0,3,3,159,108,270,3,3,6,110,62,170,4,0,3,113,71,182,0,0,0,11,12,22,0,0,0,11,12,22,47,42,90,2276,2363,4640,220,229,450,2538,2635,5176,0,0,0,19,13,31,3,0,6,24,12,34,4,0,4,33,49,83,10,10,17,45,65,105,50,46,89,2329,2425,4751,231,240,474,2610,2709,5315,0,0,0,18,33,48,9,5,10,22,37,60
Lake Grace (S),54900,106,250,0,3,0,151,106,256,0,0,0,36,20,52,0,0,3,36,18,59,0,0,0,17,13,33,0,0,0,20,13,36,0,0,0,4,3,8,0,0,0,4,3,8,15,12,25,495,449,936,45,42,88,551,499,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,28,0,0,0,17,16,34,20,12,25,508,462,970,45,43,90,569,517,1086,0,0,0,11,4,8,0,0,3,13,4,14
George Town (M),62210,928,1935,16,11,20,1059,971,2032,15,11,22,260,242,501,3,5,5,274,263,539,6,0,5,175,144,317,3,4,3,179,151,328,0,0,0,10,5,11,0,0,0,10,5,11,117,145,268,2565,2606,5172,228,225,456,2913,2980,5895,0,0,0,3,0,3,0,0,6,3,0,9,14,12,23,131,132,256,18,16,33,158,160,315,133,157,287,2693,2743,5434,249,239,488,3075,3142,6216,0,0,0,28,32,60,3,0,3,27,37,64
Glamorgan/Spring Bay (M),62410,573,1234,8,9,18,682,603,1288,12,5,20,224,176,402,4,0,4,243,185,425,4,3,12,100,78,172,3,0,4,107,85,193,0,0,0,4,14,16,0,0,0,4,14,16,83,92,175,1623,1549,3172,121,126,249,1828,1763,3592,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,59,47,107,10,5,16,74,56,127,88,98,187,1680,1593,3273,134,133,262,1904,1819,3724,0,0,3,27,47,78,3,3,9,36,51,84
Dowerin (S),52940,88,164,0,0,0,76,88,165,0,0,0,18,4,28,0,0,0,24,4,27,0,0,0,12,10,20,0,0,0,8,10,18,0,0,0,0,0,0,0,0,0,0,0,0,11,12,26,284,281,572,19,23,40,320,316,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,14,0,0,0,5,3,13,11,12,26,293,290,580,20,23,38,325,320,644,0,0,0,0,0,0,0,0,0,0,0,0
Dumbleyung (S),53010,47,107,0,0,0,61,45,109,0,0,0,17,8,20,3,0,0,15,13,25,0,4,4,10,13,20,0,0,0,10,16,21,0,0,0,0,0,0,0,0,0,0,0,0,7,12,21,277,245,523,31,24,61,312,286,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,3,3,4,10,12,7,12,21,284,249,534,33,26,65,323,292,614,0,0,0,0,3,0,0,0,0,0,3,0
Dundas (S),53080,78,165,0,3,3,98,86,191,3,0,3,24,19,39,0,0,0,27,19,47,3,0,3,13,14,28,3,0,3,25,16,35,0,0,0,0,0,0,0,0,0,3,0,3,26,39,62,223,188,410,18,24,42,269,251,524,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,7,13,23,3,0,3,11,12,22,28,39,61,239,200,436,23,28,55,293,260,551,0,0,0,33,26,61,37,22,55,76,50,119
Glenorchy (C),62610,5589,10875,68,63,133,5602,5935,11534,78,78,161,1460,1623,3079,31,33,62,1568,1732,3299,45,39,86,962,1163,2131,15,25,45,1028,1234,2258,3,6,7,171,218,384,4,3,10,172,230,401,857,961,1812,16390,17358,33748,971,1009,1979,18219,19327,37541,0,0,0,0,0,0,0,0,0,0,0,0,156,149,302,2314,2640,4955,246,262,509,2723,3051,5771,1015,1105,2116,18708,19999,38707,1219,1270,2486,20940,22372,43309,0,4,6,124,187,310,76,102,183,202,293,493
East Fremantle (T),53150,369,728,0,3,3,362,374,737,0,0,4,77,90,168,0,4,6,79,97,171,0,0,0,69,86,151,0,0,0,70,87,157,0,0,0,9,7,13,0,0,0,9,7,13,9,5,13,2378,2591,4969,77,109,187,2470,2704,5172,0,0,0,0,0,0,0,0,0,0,0,0,4,10,18,700,815,1512,63,56,127,773,881,1653,19,17,36,3082,3399,6483,149,167,314,3240,3583,6823,0,0,0,42,61,102,3,0,3,46,63,104
East Pilbara (S),53220,358,1451,21,11,32,1358,556,1916,69,59,129,114,47,165,3,0,3,189,107,298,80,59,134,40,22,58,0,0,0,115,79,196,19,28,48,9,0,11,3,0,3,32,33,63,772,781,1556,1458,1403,2864,231,209,446,2462,2400,4861,0,0,0,0,0,0,0,0,0,0,0,3,28,24,58,82,72,148,37,31,68,146,128,277,802,808,1614,1540,1476,3010,272,242,517,2613,2524,5141,238,89,321,2553,443,3000,1179,221,1401,3973,758,4723
Esperance (S),53290,1255,2769,22,17,39,1584,1345,2936,30,15,44,367,274,643,3,3,3,399,291,690,8,7,20,233,174,409,8,9,14,242,190,439,3,3,9,12,5,19,0,0,0,19,12,23,203,209,412,4962,4993,9951,617,555,1170,5775,5751,11533,0,0,0,15,10,29,14,5,14,25,14,46,29,27,58,342,394,741,62,63,121,431,483,917,228,238,462,5325,5396,10717,685,619,1306,6235,6251,12492,29,44,75,93,111,204,24,26,51,147,178,331
Exmouth (S),53360,224,545,6,3,8,333,223,561,3,0,8,67,50,112,0,0,0,71,46,120,0,0,0,34,17,51,0,0,0,31,17,52,0,0,0,0,0,0,0,0,0,0,0,3,27,15,43,978,944,1923,91,86,173,1101,1047,2142,0,0,0,13,11,29,3,3,6,16,19,37,0,0,3,107,74,176,7,6,9,112,76,191,35,20,52,1101,1027,2127,95,91,191,1229,1140,2365,0,0,0,34,22,61,7,8,13,42,29,70
Fremantle (C),53430,1669,3388,14,16,35,1786,1732,3514,17,13,34,414,425,841,3,3,11,440,449,882,7,8,14,439,610,1051,9,3,10,452,629,1085,3,0,3,67,90,152,0,0,0,67,90,157,116,129,247,7960,8747,16701,425,487,913,8494,9363,17861,3,3,5,0,0,0,0,0,0,3,3,8,76,82,158,3425,3843,7273,448,484,933,3951,4414,8363,195,216,412,11387,12593,23973,875,970,1845,12455,13774,26230,13,3,17,330,271,603,92,35,126,437,316,746
Gingin (S),53570,593,1316,7,11,15,739,618,1353,5,0,3,179,109,281,0,0,0,181,105,291,0,3,4,114,68,182,0,4,4,114,71,185,0,0,0,19,10,31,0,0,0,19,10,31,42,45,85,2034,1946,3975,201,186,387,2269,2175,4444,0,0,0,13,13,24,0,0,0,13,13,24,0,0,0,53,67,120,4,0,3,60,65,124,41,45,87,2095,2022,4117,199,190,391,2339,2256,4595,0,0,0,14,9,29,3,0,3,19,13,30
Gnowangerup (S),53640,114,245,0,4,4,143,120,269,7,3,5,27,15,40,0,0,0,29,16,49,4,0,8,19,8,27,0,0,0,19,12,33,0,0,0,7,0,5,0,0,0,7,0,5,49,44,91,450,410,860,61,43,103,559,490,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,10,19,3,0,3,10,10,20,49,43,89,461,416,874,60,43,104,576,504,1078,0,0,0,14,9,22,0,0,0,17,9,22
Hobart (C),62810,2984,5700,29,28,52,2798,3067,5864,20,14,33,708,733,1445,9,4,12,732,757,1493,11,13,22,489,664,1158,3,10,13,501,690,1190,0,4,5,76,87,166,0,0,0,73,95,167,219,204,418,15719,16585,32306,685,666,1356,16628,17452,34079,0,0,0,4,0,4,0,0,0,3,0,3,96,102,197,4927,5155,10080,389,407,801,5411,5660,11076,316,302,620,20650,21739,42385,1083,1075,2160,22045,23115,45157,19,19,40,720,915,1638,128,106,230,863,1041,1904
Huon Valley (M),63010,1668,3541,26,25,55,2090,1910,4002,71,48,120,485,413,903,9,16,19,568,477,1043,55,31,80,282,232,512,5,6,9,344,264,606,3,0,3,12,15,25,0,0,0,13,14,30,676,701,1376,6156,6185,12344,428,463,889,7260,7353,14616,0,0,0,20,18,37,4,5,10,24,23,51,28,22,45,158,157,315,21,22,40,215,193,402,702,720,1424,6339,6360,12695,460,488,943,7502,7565,15071,0,3,3,42,71,113,3,9,15,47,84,128
Kentish (M),63210,814,1738,11,5,22,987,857,1841,9,12,25,292,210,500,6,5,8,304,227,529,13,4,13,162,119,282,4,6,11,176,136,311,3,0,0,13,9,15,0,0,0,13,7,23,145,144,292,2438,2382,4816,159,167,326,2744,2688,5431,0,0,0,9,6,13,0,0,0,9,6,13,3,0,3,73,64,139,3,0,6,86,68,148,150,146,294,2518,2444,4966,162,168,333,2830,2758,5595,0,0,0,47,48,93,6,7,10,54,53,109
Kalgoorlie/Boulder (C),54280,2329,5475,21,25,54,3373,2631,6012,71,51,126,620,440,1053,3,0,3,693,489,1182,54,26,79,328,250,580,8,3,9,388,281,670,6,7,12,39,25,68,0,0,0,50,34,80,730,846,1582,10250,9740,19989,916,836,1748,11894,11425,23321,0,0,0,0,0,0,0,0,0,0,0,3,159,196,358,1712,1517,3229,345,269,616,2222,1976,4202,892,1046,1939,11964,11253,23219,1263,1106,2369,14116,13405,27519,72,26,94,301,139,438,84,32,121,460,201,660
Karratha (C),54310,1019,2813,23,16,36,2091,1334,3422,72,85,154,275,170,445,5,3,8,348,255,601,69,42,112,93,74,165,5,3,6,166,119,285,11,12,17,14,6,19,0,0,0,27,18,43,976,1012,1989,6719,6200,12916,755,667,1422,8450,7878,16326,0,0,0,13,10,18,3,0,3,19,7,24,214,234,444,821,631,1458,148,136,283,1183,1003,2185,1190,1248,2436,7550,6837,14394,903,804,1714,9645,8897,18541,162,24,181,801,104,905,533,54,582,1491,177,1667
Mukinbudin (S),55950,62,136,0,0,3,83,61,141,0,3,3,12,9,24,0,0,0,15,8,24,0,3,3,10,10,18,0,0,0,10,12,26,0,0,0,0,0,0,0,0,0,0,0,0,12,17,25,228,200,432,10,14,15,250,226,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,0,0,0,11,8,18,12,17,27,236,207,451,6,13,19,258,235,497,0,0,0,0,0,0,0,0,0,4,0,4
King Island (M),63410,182,432,3,3,6,259,197,455,0,0,0,43,34,80,0,0,0,44,35,77,3,0,4,36,24,65,0,0,0,42,30,67,0,0,0,0,0,0,0,0,0,0,0,0,14,19,38,617,549,1159,28,33,64,662,601,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,48,0,3,3,19,25,48,14,24,33,639,569,1204,28,34,67,681,629,1314,0,0,0,9,14,25,10,33,40,17,47,66
Kingborough (M),63610,3364,6540,27,32,62,3386,3540,6924,48,39,85,754,747,1502,6,9,17,806,794,1606,18,22,46,418,409,824,11,11,14,445,443,887,0,0,0,20,18,37,0,0,0,25,18,41,597,587,1184,14195,15198,29392,600,613,1211,15395,16392,31784,0,0,0,3,8,10,0,0,0,3,8,10,19,25,45,661,813,1473,33,40,74,718,875,1594,616,613,1225,14862,16018,30878,634,651,1290,16112,17276,33394,0,3,3,93,185,286,14,7,19,111,199,305
Goomalling (S),53710,88,207,0,0,0,121,95,213,0,0,0,27,31,59,0,0,3,28,27,57,0,4,3,21,26,45,0,0,0,22,26,52,0,0,0,0,0,0,0,0,0,0,0,0,18,17,34,397,392,787,34,33,67,441,449,889,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,5,5,14,13,9,21,23,15,34,18,17,34,407,399,806,49,42,84,463,463,924,0,0,0,6,10,18,0,5,3,3,14,20
Gosnells (C),53780,9399,19381,52,69,124,10244,9761,20007,71,74,144,2384,2060,4440,10,14,29,2463,2146,4611,52,39,91,1731,1783,3514,20,13,32,1801,1836,3637,8,10,10,613,632,1243,3,3,6,620,644,1264,949,1144,2099,48322,47510,95835,1955,1905,3866,51228,50563,101796,0,0,0,7,7,14,0,0,0,7,7,14,90,107,192,4348,4883,9227,377,364,741,4809,5354,10160,1038,1249,2289,52677,52395,105073,2330,2273,4606,56049,55921,111967,291,0,294,842,258,1102,26,33,56,1159,294,1454
Greater Geraldton (C),53800,3471,7387,40,29,74,4269,3872,8139,104,98,210,949,722,1671,14,8,22,1067,833,1899,77,73,148,713,578,1291,9,9,19,799,656,1458,7,10,16,53,51,103,4,3,4,60,68,128,1278,1470,2748,12911,13586,26496,1026,1030,2052,15209,16085,31302,3,0,5,25,22,50,0,0,0,32,23,54,204,237,442,1377,1468,2841,192,186,379,1776,1890,3665,1492,1702,3198,14307,15078,29390,1217,1221,2433,17016,18005,35021,213,70,282,193,203,394,70,45,120,476,317,788
Halls Creek (S),53920,41,85,3,4,5,236,284,518,69,92,162,14,4,18,0,0,0,76,100,179,106,109,215,13,0,12,0,0,0,118,110,230,33,44,71,4,0,4,0,0,0,36,44,77,914,1003,1921,122,108,235,72,87,154,1110,1200,2308,14,8,23,3,4,9,0,0,0,15,13,31,79,86,161,78,78,155,26,24,54,186,189,372,1003,1103,2106,198,194,396,97,109,209,1308,1403,2705,33,14,49,49,25,77,45,22,69,129,59,188
Katanning (S),54340,325,684,6,6,14,383,364,747,11,9,23,97,77,180,3,0,3,114,90,201,14,7,21,120,101,225,3,0,3,137,112,246,0,3,3,85,61,152,0,3,3,85,67,157,119,136,255,1471,1365,2835,217,232,448,1808,1728,3533,0,0,0,0,0,0,0,0,0,0,0,0,14,16,30,98,86,177,21,20,43,128,118,246,131,151,281,1569,1445,3016,236,250,486,1936,1848,3786,0,0,0,14,29,46,3,4,7,20,32,50
Kellerberrin (S),54410,134,281,0,0,0,149,146,294,5,5,10,39,27,62,0,0,0,45,31,72,0,9,5,45,27,72,0,0,0,47,30,85,0,0,0,5,3,6,0,0,0,5,3,6,28,30,60,444,463,909,45,41,81,516,534,1050,0,0,0,0,0,0,0,0,0,3,0,3,5,7,10,19,13,32,0,0,0,23,19,43,34,34,70,463,472,937,42,41,83,540,550,1090,0,0,0,15,9,24,6,10,11,22,17,38
Mount Marshall (S),55880,40,98,0,0,0,61,46,101,0,0,0,20,4,26,0,0,0,20,4,26,0,0,0,10,6,18,0,0,0,9,6,18,0,0,0,0,0,3,0,0,0,0,0,3,4,7,5,230,201,433,20,19,38,257,219,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,0,0,0,6,3,8,4,7,5,236,202,437,20,19,38,265,224,482,0,0,0,0,0,0,0,0,0,0,0,0
Latrobe (M) (Tas.),63810,1621,3317,9,17,28,1799,1722,3520,32,27,61,471,419,894,10,8,17,511,455,968,22,22,39,214,197,408,3,3,4,232,218,453,0,0,0,8,4,16,0,0,0,10,5,20,236,216,450,4049,4215,8265,227,229,457,4513,4658,9175,0,0,0,0,0,5,0,3,3,3,4,6,16,12,26,190,245,435,23,25,45,227,272,500,250,222,474,4242,4463,8704,252,256,505,4742,4935,9678,0,0,3,43,79,119,5,0,6,43,83,129
Launceston (C),64010,7493,15006,83,87,170,7880,7867,15754,80,68,149,1939,1952,3890,30,28,53,2048,2052,4098,59,55,110,1258,1403,2660,13,28,41,1327,1485,2816,0,4,3,212,264,480,0,6,5,214,274,488,871,944,1815,22511,23941,46450,1367,1473,2835,24747,26359,51109,0,0,0,10,5,20,0,0,0,12,6,21,142,166,316,3435,3871,7305,398,444,836,3979,4479,8459,1021,1109,2128,25959,27816,53775,1761,1914,3679,28734,30849,59583,20,16,39,653,783,1437,76,115,188,748,919,1664
Kent (S),54480,34,105,0,0,0,70,40,108,0,0,0,16,5,21,0,0,0,16,5,21,0,0,0,8,4,9,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,224,185,407,42,24,67,271,213,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,24,3,0,4,12,12,27,3,3,8,240,191,432,44,27,69,282,218,506,0,0,0,0,0,0,0,0,0,0,0,0
Kojonup (S),54550,151,374,3,3,7,236,171,401,5,0,6,35,46,83,0,0,0,42,46,88,0,0,4,34,24,53,0,0,0,34,24,61,0,0,0,0,0,0,0,0,0,0,0,0,35,35,73,792,743,1538,77,61,140,901,846,1752,0,0,0,0,0,0,0,0,0,0,0,0,6,5,14,15,33,50,0,0,0,20,41,62,44,41,86,804,784,1584,77,69,146,925,889,1816,0,0,0,3,7,7,10,15,28,10,23,38
Ngaanyatjarraku (S),56620,16,25,0,0,0,77,72,154,54,68,116,5,0,7,0,0,0,57,72,132,118,162,284,0,0,3,0,0,0,123,165,285,5,0,8,0,0,0,0,0,0,5,3,8,623,640,1270,57,54,109,14,29,43,698,724,1426,0,0,0,0,0,0,0,0,0,0,0,0,9,11,21,11,8,15,4,0,11,23,26,45,633,656,1289,61,63,128,20,33,57,720,750,1469,3,6,10,0,0,4,0,0,0,10,9,14
Kondinin (S),54620,64,176,0,0,0,122,67,190,4,0,3,27,11,33,0,3,5,30,15,40,3,4,5,23,7,35,0,0,0,23,12,41,0,0,3,0,0,3,0,0,0,3,0,6,22,25,47,310,283,593,11,32,42,352,336,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,32,0,0,0,21,10,39,22,25,48,335,294,626,11,32,42,370,346,721,0,0,0,38,9,50,10,0,10,42,10,56
Koorda (S),54690,38,89,0,3,3,52,46,96,0,0,0,11,9,18,0,0,0,11,9,18,0,0,0,19,4,25,0,0,0,19,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,182,165,348,9,8,16,194,180,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,182,168,354,9,8,16,194,181,377,0,0,0,0,0,0,0,0,0,0,0,0
Kulin (S),54760,63,136,0,0,0,73,70,143,0,0,0,26,8,33,0,0,0,26,8,33,0,0,0,18,8,24,0,0,0,16,8,25,0,0,0,0,3,3,0,0,0,0,3,3,4,10,21,312,283,595,30,16,44,348,318,664,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,11,19,0,0,3,7,13,22,11,16,22,319,293,617,30,24,51,357,327,686,0,0,0,0,0,0,0,0,0,0,0,0
Kwinana (C),54830,3212,6739,26,15,41,3643,3358,6997,27,30,60,770,667,1431,6,5,9,806,703,1504,21,25,42,425,379,805,5,7,9,447,405,857,3,3,8,47,79,126,0,0,0,51,83,133,449,465,920,15157,15374,30530,968,948,1921,16575,16793,33367,0,0,0,4,3,3,0,0,0,4,3,3,49,37,82,939,1139,2078,166,165,322,1153,1334,2489,497,506,1001,16100,16515,32613,1135,1115,2249,17729,18130,35864,336,3,337,669,66,741,19,7,30,1023,77,1100
Laverton (S),54970,36,149,0,0,5,160,65,227,27,23,43,26,7,36,0,0,0,51,30,82,8,13,22,15,3,20,0,5,8,26,25,45,0,0,0,4,0,4,0,0,0,3,0,3,127,144,273,78,71,148,26,41,67,233,256,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,20,3,3,5,13,8,24,131,145,274,93,73,168,34,40,75,251,265,513,14,4,15,354,49,404,124,10,133,489,67,549
