lga_name_2016,lga_code_2016,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Kalgoorlie/Boulder (C),54280,113,4318,24,4454,96,1364,11,1469,190,3012,20,3226,61,522,3,588,50,305,8,370,6,39,0,50,90,301,1199,1592,610,9866,1271,11746,174,4628,26,4824,111,1158,7,1274,266,2197,23,2483,50,352,0,401,26,237,3,268,7,25,0,34,76,244,952,1268,706,8835,1014,10547,285,8943,45,9278,203,2522,16,2740,454,5209,46,5707,109,876,3,989,82,548,8,635,12,68,0,80,172,543,2152,2861,1318,18700,2279,22292
Karratha (C),54310,203,3360,28,3585,114,989,13,1115,245,1718,19,1984,51,232,5,291,67,77,5,151,11,14,0,27,207,181,1289,1677,896,6577,1351,8829,219,3306,20,3539,126,637,6,775,281,942,13,1232,70,121,0,192,43,68,3,111,12,6,0,18,91,109,683,880,844,5181,719,6746,419,6662,45,7119,245,1630,16,1886,528,2665,24,3216,125,355,4,489,109,150,6,266,17,19,0,43,296,285,1967,2553,1739,11765,2069,15573
Kalamunda (S),54200,94,10463,38,10594,44,2326,14,2385,82,5244,35,5362,23,870,13,901,4,624,12,641,3,93,3,98,9,480,1188,1677,261,20102,1290,21653,119,11848,49,12015,47,2224,12,2278,86,4829,33,4954,24,807,13,842,8,596,9,616,3,98,0,97,10,512,1070,1597,304,20915,1180,22399,215,22313,80,22608,85,4556,25,4671,169,10075,65,10309,49,1674,25,1748,18,1220,16,1254,4,192,3,194,19,989,2256,3267,559,41018,2474,44055
Mukinbudin (S),55950,0,71,0,72,0,24,0,30,3,75,0,79,0,15,0,14,0,10,0,10,0,0,0,0,0,11,12,23,5,210,15,230,0,79,0,81,0,21,0,21,0,58,0,61,3,9,0,8,3,10,0,12,0,0,0,0,0,8,11,19,12,184,13,204,3,153,0,152,0,50,0,50,5,134,3,142,3,23,0,24,3,18,0,26,0,0,0,0,0,17,23,41,17,396,26,432
Sorell (M),64810,49,1703,12,1761,12,510,3,529,91,1924,18,2037,20,437,10,470,14,224,5,243,3,18,0,17,7,183,304,485,202,4999,344,5545,44,2098,15,2150,22,518,0,543,77,1820,17,1915,21,399,3,432,4,197,6,206,3,9,0,8,6,181,323,514,180,5219,370,5764,97,3798,24,3916,36,1028,3,1072,173,3745,39,3951,45,840,13,900,20,423,9,452,3,21,0,25,7,361,624,993,380,10210,712,11308
Goomalling (S),53710,0,146,0,144,0,32,0,32,3,118,0,117,0,26,0,27,0,21,0,22,0,0,0,0,6,12,43,59,8,352,43,409,4,160,0,159,0,39,0,47,3,92,0,93,0,28,0,27,4,26,0,26,0,0,0,0,0,14,34,46,19,352,37,401,3,303,0,305,0,70,0,79,7,207,0,217,0,52,3,56,3,45,0,52,0,0,0,0,9,23,75,107,28,705,76,809
Gosnells (C),53780,198,22565,96,22853,95,4018,22,4136,193,9344,46,9590,52,1895,12,1961,49,1657,20,1725,8,613,3,620,325,1772,2096,4189,925,41857,2288,45065,261,23435,105,23804,125,3849,28,3999,267,8753,70,9085,60,1630,14,1710,39,1719,13,1770,10,633,3,641,47,1180,1839,3060,796,41206,2065,44070,457,46003,200,46658,214,7869,51,8134,456,18104,114,18677,120,3528,23,3670,83,3373,29,3489,10,1242,6,1262,370,2951,3927,7249,1717,83064,4353,89138
Greater Geraldton (C),53800,254,4699,31,4982,125,1668,17,1821,276,3756,40,4076,87,767,12,868,77,690,9,770,7,53,4,60,282,434,1168,1880,1110,12069,1276,14457,337,5839,36,6211,176,1729,18,1928,346,3271,25,3642,80,590,7,675,71,554,11,630,10,51,3,67,144,412,1039,1591,1167,12446,1135,14751,591,10537,58,11194,304,3401,38,3745,626,7025,67,7717,172,1357,18,1545,144,1240,19,1400,14,103,4,123,427,846,2205,3478,2276,24518,2414,29210
Halls Creek (S),53920,96,138,0,229,76,27,0,100,175,47,3,228,60,14,0,72,103,13,0,117,33,4,0,36,202,9,125,340,740,247,133,1124,111,162,0,272,103,21,0,123,232,41,4,271,93,4,0,92,108,0,0,109,44,0,0,44,166,3,129,294,845,230,131,1204,207,296,0,502,179,46,0,226,412,85,5,502,151,18,0,171,211,12,0,222,71,4,0,77,364,12,257,633,1589,479,261,2333
Katanning (S),54340,22,464,0,492,7,137,3,150,18,352,6,372,12,88,3,103,14,122,3,133,0,85,0,85,12,77,196,285,83,1333,213,1625,20,510,9,542,14,146,8,166,29,315,8,353,8,76,0,81,7,102,0,112,3,61,3,67,17,69,189,278,104,1280,208,1593,48,974,9,1030,20,284,6,317,52,667,6,725,16,162,3,186,23,223,3,240,3,152,3,157,30,149,387,565,185,2613,421,3220
Kellerberrin (S),54410,0,139,0,141,0,35,0,40,9,141,0,150,5,33,0,39,0,45,0,47,0,5,0,5,3,19,46,69,26,412,51,487,4,157,0,159,3,51,3,52,3,132,0,138,5,20,0,25,9,27,0,30,0,3,0,3,3,21,42,72,29,412,47,488,7,291,3,306,3,85,3,97,15,275,0,289,12,52,0,58,5,72,0,85,0,6,0,6,8,44,91,140,52,823,100,976
Lake Grace (S),54900,3,213,0,220,0,48,0,48,3,143,0,144,0,34,0,29,0,22,0,20,0,4,0,4,0,19,38,56,8,467,45,519,0,215,3,212,0,40,0,47,0,102,3,103,0,15,0,19,0,13,0,13,0,3,0,3,0,14,38,56,4,403,43,450,5,424,6,430,0,88,0,89,5,243,0,249,0,47,3,48,0,35,0,36,0,8,0,8,4,30,74,108,16,868,89,971
Mount Marshall (S),55880,0,94,0,97,0,16,0,16,3,56,0,56,0,20,0,20,0,10,0,9,0,0,0,0,0,10,10,17,4,203,17,217,0,98,0,98,0,16,0,17,0,40,0,46,0,5,0,5,0,6,0,6,0,0,0,0,0,4,12,17,4,174,10,183,3,189,0,194,0,32,0,35,3,94,0,97,0,25,0,25,0,18,0,18,0,3,0,3,0,13,23,35,7,372,29,407
Darwin (C),71000,554,16868,105,17523,283,2999,28,3316,396,4036,43,4471,112,786,9,911,142,859,21,1017,21,186,3,213,159,704,3487,4351,1678,26432,3696,31800,685,17301,103,18084,365,2164,27,2561,450,3119,37,3596,160,624,10,796,146,883,15,1051,20,231,8,257,178,564,2969,3714,2008,24890,3157,30060,1238,34167,205,35606,652,5166,49,5869,850,7146,72,8069,276,1415,23,1708,292,1737,34,2063,40,418,6,469,341,1274,6455,8067,3685,51320,6852,61859
Kent (S),54480,0,97,0,97,0,17,0,17,0,65,0,66,0,16,0,16,0,8,0,8,0,0,0,0,0,0,30,32,0,205,32,235,0,91,0,91,0,19,0,19,0,35,0,38,0,5,0,5,0,4,0,4,0,0,0,0,0,4,24,26,0,158,24,183,0,184,0,184,0,41,0,41,3,100,0,100,0,21,0,21,0,9,0,9,0,0,0,0,0,9,52,64,3,362,53,419
Kojonup (S),54550,4,318,4,324,0,59,0,58,7,218,3,229,5,36,0,41,0,34,0,34,0,0,0,0,3,19,65,89,21,681,71,778,4,351,0,359,6,72,0,77,12,148,3,165,0,45,0,41,0,24,0,24,0,0,0,0,3,23,71,93,29,658,76,760,13,664,5,681,6,129,0,133,21,365,7,393,6,77,0,82,4,53,0,61,0,0,0,0,5,43,134,183,52,1336,145,1537
Ngaanyatjarraku (S),56620,35,41,0,77,18,4,0,26,57,11,0,69,54,5,0,57,122,0,0,123,5,0,0,5,162,3,28,197,446,76,28,553,42,50,0,91,32,13,0,39,63,16,0,70,61,0,0,66,167,0,0,164,0,0,0,3,166,0,29,191,527,74,31,633,76,92,0,172,48,19,0,64,117,25,0,148,114,7,0,124,287,3,0,286,8,0,0,8,329,3,55,389,976,150,57,1183
East Arnhem (R),71300,522,132,0,653,303,26,0,334,512,27,0,544,335,3,0,341,517,5,0,525,61,0,0,61,375,12,37,427,2632,205,40,2884,650,155,0,804,398,17,0,416,517,22,0,539,302,5,0,308,506,0,0,507,60,0,0,60,361,4,42,409,2803,203,45,3047,1173,278,0,1455,706,42,3,752,1029,51,0,1081,637,9,0,648,1023,6,0,1032,120,0,0,120,740,14,81,836,5431,408,90,5929
Kondinin (S),54620,0,135,0,135,4,43,0,45,3,114,0,120,4,24,0,29,3,20,0,25,0,0,0,3,0,11,28,40,16,342,32,391,0,145,3,152,0,32,0,30,5,65,0,72,0,13,3,14,4,7,0,12,0,0,0,0,0,9,18,22,17,269,23,308,0,275,3,284,3,69,0,75,10,174,0,184,3,35,5,44,5,27,0,35,3,3,0,6,3,18,43,68,29,609,51,694
Koorda (S),54690,0,57,0,57,0,18,0,18,0,52,0,52,0,11,0,11,0,19,0,19,0,0,0,0,0,5,10,19,0,157,14,171,0,66,0,66,0,12,0,15,0,38,0,41,0,8,0,8,0,4,0,4,0,0,0,0,0,3,9,16,0,145,8,157,0,125,0,127,0,35,0,32,3,91,0,92,0,16,0,16,0,25,0,25,0,0,0,0,0,11,20,29,0,296,20,322
Kulin (S),54760,3,153,0,158,0,26,0,26,0,70,0,72,0,26,0,26,0,18,0,16,0,0,0,0,0,3,23,27,6,295,25,325,3,139,0,142,3,20,0,22,6,61,0,73,0,8,0,8,0,8,0,8,0,3,0,3,0,6,15,20,11,253,18,279,4,297,0,304,3,41,0,45,5,136,0,142,0,33,0,33,0,24,0,25,0,3,0,3,0,13,44,53,14,550,49,607
Kwinana (C),54830,86,6251,27,6363,47,1498,15,1563,86,3376,26,3486,15,648,3,667,21,406,5,430,3,47,0,51,355,986,1033,2375,622,13215,1108,14947,85,7040,29,7157,41,1470,11,1524,118,3059,14,3183,26,548,4,581,25,364,7,387,3,74,0,77,20,354,928,1307,323,12914,991,14217,176,13293,53,13525,89,2973,21,3090,203,6429,41,6674,41,1197,13,1253,42,771,9,821,8,121,0,133,371,1341,1966,3677,943,26130,2099,29169
Laverton (S),54970,10,224,3,239,12,75,0,84,41,117,0,160,24,26,0,50,8,15,0,26,0,4,0,3,4,5,145,162,94,471,149,718,10,75,0,90,19,14,0,30,33,36,0,61,23,7,0,30,13,3,5,25,0,0,0,0,3,5,44,48,97,137,45,282,22,297,3,327,31,84,0,120,67,149,5,219,42,36,0,79,22,20,8,45,0,4,0,3,5,10,185,204,192,605,199,1001
Northampton (S),56790,13,412,3,430,8,133,0,135,17,454,6,479,5,97,0,107,7,78,0,78,0,0,0,0,5,62,139,207,59,1222,152,1435,13,469,7,487,13,136,0,153,13,350,6,372,6,51,0,58,5,49,0,56,0,3,0,4,5,54,124,182,52,1110,137,1302,28,872,9,910,15,268,5,284,32,799,15,852,17,147,4,163,7,125,0,132,0,4,0,5,9,120,264,393,110,2334,296,2744
Katherine (T),72200,92,1160,21,1272,88,291,4,383,172,542,11,728,74,115,3,193,86,104,3,185,42,5,0,53,82,91,764,939,632,2308,805,3748,121,1248,15,1387,117,229,5,350,191,401,11,606,92,78,0,175,76,62,0,135,41,3,0,43,94,77,666,834,725,2098,700,3527,211,2411,34,2656,206,518,5,728,365,943,21,1329,163,195,9,368,155,158,4,321,80,12,0,96,173,171,1430,1773,1356,4408,1506,7268
Litchfield (M),72300,157,3209,38,3403,97,1345,23,1475,141,2414,41,2593,31,408,4,444,46,270,3,321,5,36,0,46,740,451,2161,3353,1216,8138,2278,11631,184,3114,40,3345,64,864,16,946,107,1335,21,1463,23,230,4,255,39,170,9,212,4,27,0,34,83,166,843,1090,507,5914,933,7344,339,6323,80,6744,163,2212,39,2419,245,3745,59,4052,58,639,9,702,82,439,12,533,11,64,0,73,818,619,3004,4447,1721,14047,3207,18973
Leonora (S),55040,11,242,0,259,10,75,0,86,18,131,3,150,5,17,0,27,4,8,0,15,5,3,0,6,3,5,207,217,59,488,210,762,13,140,3,155,8,32,0,46,17,52,0,71,12,17,0,26,10,9,0,17,0,3,0,0,8,5,80,88,66,259,80,411,25,382,3,413,20,111,0,130,32,183,3,225,17,31,0,51,18,16,0,29,3,7,0,9,9,13,288,313,127,745,295,1167
Mandurah (C),55110,135,11810,68,12012,74,3447,19,3539,156,8549,60,8766,51,1851,18,1924,29,1237,20,1285,0,77,3,83,15,993,1952,2961,457,27963,2146,30571,177,13616,95,13895,65,3784,32,3878,176,8994,76,9249,58,1800,36,1889,26,1264,23,1317,4,79,0,81,23,1208,1736,2957,530,30743,1991,33275,318,25429,166,25908,138,7225,54,7423,328,17546,136,18015,110,3649,57,3810,57,2506,43,2604,4,158,6,160,39,2199,3685,5917,995,58714,4134,63845
Manjimup (S),55180,23,1191,10,1225,13,349,4,368,23,1068,14,1106,9,258,8,275,0,190,5,195,0,28,0,27,7,121,290,418,74,3208,322,3607,28,1389,8,1425,13,439,3,460,30,858,11,900,7,162,7,181,10,154,4,167,0,24,0,24,9,112,306,429,96,3138,346,3578,47,2581,23,2645,26,788,9,821,55,1928,25,2004,24,423,9,454,10,348,6,363,0,47,0,51,19,235,596,848,172,6352,671,7188
Meekatharra (S),55250,9,148,0,161,8,37,0,45,28,95,3,133,10,16,0,23,9,10,0,17,0,0,0,0,21,10,107,138,88,313,113,519,14,95,0,106,15,13,0,26,49,39,0,88,14,7,0,14,11,4,0,13,0,0,0,0,17,3,77,99,118,157,78,351,21,244,0,266,19,51,0,70,79,134,7,214,22,22,0,42,20,17,0,38,0,0,0,0,41,12,181,233,208,474,192,870
Melville (C),55320,96,24878,107,25080,22,2310,19,2349,51,5031,40,5127,13,872,7,895,11,765,3,784,3,122,0,125,30,762,1618,2411,227,34752,1795,36770,93,26603,106,26802,25,2498,19,2538,49,6142,45,6234,14,1104,15,1131,15,1100,15,1130,5,146,0,151,16,1211,1588,2813,214,38806,1784,40807,186,51485,213,51876,44,4812,31,4890,104,11176,84,11363,25,1980,18,2027,22,1864,18,1910,7,270,3,276,50,1973,3203,5224,434,73560,3577,77573
Menzies (S),55390,16,72,4,83,6,21,0,30,23,50,0,72,9,6,0,14,12,3,0,17,10,0,0,10,10,9,35,48,80,155,40,273,15,31,0,50,10,0,0,15,24,8,0,28,11,3,0,18,7,0,0,7,4,0,0,4,3,3,13,16,81,47,11,146,34,105,5,136,21,25,0,48,46,57,0,105,22,12,0,30,19,3,0,22,12,0,0,12,18,11,47,67,164,205,51,418
Merredin (S),55460,13,504,0,520,9,133,0,145,27,357,0,379,6,75,0,79,3,68,0,75,0,19,0,19,3,55,104,163,71,1199,111,1375,12,512,0,524,15,133,0,145,29,269,0,298,4,59,0,64,4,51,0,53,0,4,0,7,3,35,91,124,64,1059,90,1205,28,1019,0,1041,23,264,3,294,47,621,3,678,11,129,0,139,11,118,0,128,0,20,0,19,5,86,196,286,132,2256,199,2583
Mingenew (S),55530,0,72,0,72,0,18,0,21,3,55,0,52,0,14,3,14,0,11,0,11,0,0,0,0,3,8,11,21,5,178,15,193,9,68,0,77,0,18,0,18,0,31,0,33,0,9,0,5,0,6,0,6,0,0,0,0,3,6,8,22,9,142,15,168,9,138,0,147,0,38,0,41,3,85,0,86,3,19,3,21,0,19,0,19,0,0,0,0,4,18,25,44,15,314,25,359
Mundaring (S),56090,67,6456,39,6560,25,1472,13,1507,69,3586,18,3671,11,624,8,642,14,379,0,397,0,33,0,36,561,1651,761,2972,744,14202,849,15791,77,7599,44,7720,17,1344,14,1375,63,3238,30,3327,9,515,9,526,8,360,0,364,3,31,0,33,9,352,643,1010,193,13438,737,14367,145,14054,83,14283,42,2818,26,2884,133,6819,53,7002,25,1135,12,1171,24,745,3,768,5,64,0,69,573,2005,1404,3984,943,27637,1580,30159
Peppermint Grove (S),56930,0,430,3,430,0,18,0,18,0,37,0,34,0,3,0,3,0,3,0,3,0,0,0,0,0,3,38,40,0,493,40,535,3,500,6,508,0,26,0,26,3,33,0,34,0,10,0,10,0,0,0,0,0,0,0,0,0,7,43,49,3,583,49,634,3,935,9,942,0,43,0,43,3,67,0,74,0,13,0,13,0,5,0,5,0,0,0,0,0,13,86,92,8,1072,87,1168
Moora (S),55600,19,332,0,353,15,109,0,126,23,230,0,260,14,49,0,63,5,44,0,49,0,0,3,0,9,18,87,111,83,787,91,962,17,365,11,400,13,87,0,98,26,173,0,200,7,33,0,39,7,33,0,43,0,0,0,0,11,21,75,107,84,718,88,884,41,697,11,747,29,198,0,226,52,404,0,462,20,83,0,100,12,71,0,90,0,5,3,3,15,45,163,221,169,1504,178,1851
Plantagenet (S),57210,7,711,5,724,6,190,0,194,15,558,5,582,3,124,3,129,3,93,0,105,0,26,0,24,8,130,168,313,50,1843,186,2079,13,815,4,834,10,195,4,203,19,506,8,532,0,93,0,93,4,67,0,74,0,13,0,13,0,71,155,229,42,1764,175,1982,21,1526,9,1559,15,381,7,403,34,1063,13,1111,3,218,3,222,10,166,3,180,0,35,0,40,8,207,323,543,93,3604,361,4057
Port Hedland (T),57280,197,2006,20,2222,124,634,3,759,225,1118,14,1363,56,159,0,223,44,67,0,117,15,11,0,27,94,130,880,1103,754,4134,922,5802,201,2106,16,2319,141,374,8,526,255,621,12,891,57,100,0,157,53,48,5,106,31,12,0,42,86,88,699,879,830,3358,735,4912,396,4110,34,4540,267,1006,10,1283,482,1744,28,2251,114,263,4,375,98,114,3,219,40,25,0,69,179,221,1578,1980,1577,7486,1656,10722
Quairading (S),57350,0,122,0,127,0,36,3,36,13,110,0,122,3,16,0,25,4,27,0,35,0,0,0,0,3,12,54,65,24,326,58,412,4,127,3,138,4,35,0,44,12,119,8,139,4,29,0,29,4,15,0,21,0,0,0,0,0,15,48,58,37,342,56,431,8,253,5,262,6,72,3,77,26,232,8,263,4,43,0,51,7,44,0,57,0,0,0,0,4,24,98,125,57,666,110,839
Ravensthorpe (S),57420,0,257,5,264,3,73,0,76,0,229,3,242,0,39,0,42,3,33,0,36,0,6,0,6,0,14,93,106,16,653,100,769,3,270,3,281,0,70,3,77,4,129,0,135,3,28,0,35,4,25,0,33,0,0,0,0,0,24,71,88,10,557,78,644,3,530,10,543,3,147,3,151,9,361,6,374,3,71,0,73,8,57,0,69,0,6,0,6,0,38,158,200,24,1209,182,1412
Rockingham (C),57490,251,19249,109,19602,115,5654,33,5808,220,11919,69,12211,46,2018,22,2090,31,1111,15,1160,15,77,4,90,19,1105,3636,4761,699,41129,3894,45722,272,22011,112,22397,105,5498,36,5638,240,11385,94,11717,54,1767,20,1838,31,1206,18,1256,7,121,0,129,30,1332,2992,4353,740,43316,3270,47317,522,41258,218,41996,225,11152,67,11445,463,23301,168,23931,99,3785,42,3924,62,2314,31,2412,22,195,3,222,51,2430,6631,9111,1441,84443,7162,93040
Morawa (S),55670,6,99,0,104,3,27,0,27,18,59,0,77,3,12,0,23,3,14,0,19,0,0,0,0,4,13,16,35,35,219,16,279,8,110,0,123,3,30,0,31,14,34,0,55,3,8,0,9,0,11,0,11,0,0,0,0,4,10,25,44,36,206,29,266,10,210,0,227,4,52,0,56,30,94,0,124,11,18,0,27,3,26,0,22,0,0,0,0,15,27,42,78,73,426,45,543
Southern Midlands (M),65010,19,544,8,570,9,181,4,194,47,896,8,949,10,274,8,289,16,151,4,167,0,3,0,3,11,102,141,257,105,2142,173,2426,29,669,6,703,13,238,0,251,44,729,15,786,7,189,5,207,8,86,3,99,0,4,0,3,6,102,126,236,104,2024,160,2282,44,1211,15,1271,20,418,3,441,87,1624,24,1736,17,464,11,495,22,237,8,262,3,8,0,9,21,201,274,497,214,4165,331,4709
Tasman (M),65210,7,276,3,290,0,60,0,60,21,310,5,337,6,110,0,119,4,71,0,74,0,0,0,0,0,38,108,149,45,870,119,1039,10,343,0,349,0,55,0,56,16,270,5,293,4,89,0,101,3,25,0,27,0,0,0,0,3,33,111,145,41,820,119,977,21,619,3,640,7,119,0,117,40,584,9,637,10,203,3,215,8,92,0,104,0,0,0,0,7,68,219,292,82,1692,236,2009
Waratah/Wynyard (M),65410,60,1192,10,1259,33,436,3,466,135,1915,31,2087,38,510,10,561,19,351,4,376,0,26,0,26,17,181,305,507,296,4610,364,5273,89,1603,21,1722,41,487,7,529,133,1793,22,1946,26,487,14,529,14,273,6,299,0,13,0,13,24,225,290,534,328,4880,357,5565,153,2799,35,2981,70,920,9,999,267,3713,47,4029,63,999,26,1084,32,628,15,672,0,38,0,38,42,405,592,1036,627,9492,724,10841
West Coast (M),65610,18,368,6,392,11,135,7,151,47,633,13,691,16,154,3,166,15,88,0,105,0,5,0,5,11,76,106,199,107,1466,134,1713,20,392,5,419,15,145,0,162,35,572,6,608,10,123,0,130,3,71,0,74,0,4,0,4,3,70,98,171,86,1380,113,1584,42,760,14,812,29,283,7,317,80,1211,17,1301,24,275,3,303,17,157,0,179,0,10,0,10,11,150,210,372,193,2850,244,3292
West Tamar (M),65810,45,3148,22,3217,16,650,6,666,57,2840,39,2932,8,641,4,661,11,342,11,363,0,27,3,25,4,265,489,750,142,7911,571,8617,57,3777,20,3859,20,825,3,845,63,2707,26,2796,15,598,10,622,4,266,3,271,0,23,0,24,7,333,459,804,170,8532,533,9225,103,6927,48,7072,38,1470,8,1514,115,5548,63,5730,26,1238,15,1284,12,615,11,639,0,51,3,53,11,594,952,1559,310,16437,1097,17844
Nungarin (S),56860,0,37,0,39,0,10,0,10,0,27,3,32,0,6,0,7,0,0,0,0,0,0,0,0,0,0,6,9,3,89,9,103,0,33,0,35,0,11,0,11,3,34,3,39,0,8,0,8,0,3,0,3,0,0,0,0,0,0,7,9,6,80,11,93,4,70,0,73,0,23,0,23,6,61,3,66,0,10,0,15,0,7,0,7,0,0,0,0,0,3,17,17,10,178,19,198
Alice Springs (T),70200,272,3740,29,4043,155,978,9,1142,245,1281,27,1553,124,270,4,393,207,200,4,420,68,29,0,96,168,159,1043,1368,1243,6645,1125,9012,353,4644,32,5026,223,800,9,1033,350,1020,20,1388,152,182,4,334,268,152,7,424,75,17,0,93,216,156,1079,1450,1628,6974,1146,9754,621,8385,60,9065,379,1771,26,2175,597,2298,40,2937,274,453,4,734,478,352,15,840,145,50,0,192,380,314,2129,2820,2870,13618,2277,18764
Mosman Park (T),55740,11,2340,7,2355,0,148,0,147,8,264,3,271,0,41,0,45,0,30,0,32,0,10,0,10,4,129,221,352,26,2960,234,3217,5,2646,11,2668,0,160,0,160,3,303,3,310,0,57,0,57,0,31,4,37,0,16,0,16,3,136,217,359,19,3353,232,3607,18,4988,18,5025,0,306,0,308,14,565,3,584,3,104,0,105,3,60,5,71,0,24,0,24,8,260,439,711,42,6313,466,6825
Mount Magnet (S),55810,0,49,0,47,3,11,0,9,11,36,0,53,7,9,0,16,4,5,0,14,0,0,0,0,3,5,50,63,33,116,52,207,5,40,0,51,5,9,0,16,10,29,0,36,3,10,0,19,0,3,0,6,0,0,0,0,6,3,40,48,39,99,39,172,12,83,3,100,7,18,0,28,26,63,0,90,11,24,0,38,7,14,0,14,3,0,0,3,10,15,94,109,71,216,92,384
Murchison (S),56160,0,15,0,16,0,0,0,0,10,6,0,13,0,0,0,0,3,3,0,11,0,0,0,0,0,0,26,31,17,28,26,73,3,18,0,20,5,4,0,4,6,3,0,11,0,0,0,3,0,0,0,0,0,0,0,0,3,0,15,16,18,23,15,57,5,27,0,29,4,4,0,7,15,12,0,25,0,0,0,7,6,3,0,10,0,0,0,0,3,0,42,48,37,45,42,131
Murray (S),56230,20,1966,22,2006,15,748,8,775,38,2089,23,2148,10,467,5,478,4,342,12,356,4,21,0,25,7,168,554,723,98,5797,620,6520,34,2356,13,2405,18,820,14,853,49,1900,33,1982,12,402,0,414,3,231,4,231,0,7,0,8,4,180,457,638,116,5896,515,6532,53,4327,36,4409,40,1566,23,1626,83,3990,58,4133,18,871,6,897,5,570,8,588,8,30,0,37,7,345,1011,1363,216,11695,1144,13054
Nannup (S),56300,0,202,5,205,0,43,0,44,5,180,3,180,0,32,0,32,0,23,0,23,0,3,0,3,0,20,44,70,10,503,57,569,0,231,4,237,0,53,0,56,4,139,0,148,0,24,0,25,0,12,0,10,0,0,0,0,0,20,45,63,8,480,50,532,3,432,7,440,0,97,0,103,10,320,3,331,0,52,3,58,0,30,0,33,0,3,0,3,0,43,92,135,12,981,106,1099
Waroona (S),58820,5,449,5,460,6,185,0,191,8,521,8,533,0,117,0,118,3,83,3,86,0,12,0,12,0,59,157,213,30,1423,174,1623,6,519,5,532,6,201,3,209,14,455,3,471,0,98,0,95,3,83,3,89,0,11,0,11,0,57,169,229,27,1416,191,1636,16,963,15,995,11,389,4,398,25,976,10,1008,3,211,0,220,3,166,8,177,0,22,0,22,0,112,327,446,57,2835,360,3257
Narembeen (S),56370,0,128,0,125,0,28,0,28,0,99,0,107,0,17,0,20,3,18,0,14,0,3,0,5,0,12,20,33,7,306,25,333,0,137,0,137,0,35,0,38,5,72,0,76,0,14,0,14,0,17,0,17,0,0,0,0,0,16,27,40,7,287,30,318,3,260,0,264,0,65,0,65,4,173,0,185,0,29,0,33,3,28,0,31,0,4,0,6,0,30,49,77,15,590,53,654
West Arthur (S),58890,3,125,0,130,0,30,0,29,3,103,0,101,3,17,0,17,0,19,0,20,0,3,0,3,0,8,22,30,9,303,21,331,0,133,0,134,3,36,0,39,3,72,0,80,0,13,0,14,0,13,0,10,0,0,0,0,0,10,20,27,9,272,24,304,3,253,3,260,5,64,0,67,3,175,0,182,3,35,0,37,3,29,0,36,0,3,0,3,0,14,43,58,18,574,49,640
