lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Darebin (C),21890,464,769,446,390,503,302,112,166,56,3195,628,775,674,891,736,397,137,293,50,4577,785,504,3145,1114,887,611,456,705,108,8315,32,37,45,92,110,70,27,72,13,506,91,95,86,200,229,125,47,83,9,969,61,153,65,47,66,36,19,51,18,512,102,154,150,132,118,111,80,147,158,1154,7015,20170,5908,5134,6105,3175,1364,2553,745,52171
East Gippsland (S),22110,134,195,42,147,99,21,9,31,8,681,180,202,95,295,183,77,28,66,14,1135,629,179,1586,641,392,315,349,545,59,4689,33,16,27,67,50,45,8,45,3,311,51,30,36,83,52,53,30,58,8,390,16,14,18,11,13,4,4,17,0,100,84,47,54,69,50,63,42,115,49,575,1552,2316,1919,1570,1052,642,493,955,164,10652
Frankston (C),22170,475,708,341,494,509,238,102,143,44,3052,706,780,533,1216,928,464,133,222,66,5061,1484,680,6607,2068,1610,1064,1158,1444,225,16340,62,38,76,152,152,117,71,96,8,770,141,88,124,313,310,172,86,126,28,1378,48,73,44,51,72,43,48,40,8,422,128,150,190,208,177,138,122,176,139,1429,4742,9352,8418,5512,4961,2836,1906,2556,619,40897
Gannawarra (S),22250,45,35,14,20,16,5,3,3,0,147,54,41,19,56,35,7,3,9,0,230,299,43,329,114,78,64,91,148,12,1177,6,0,8,8,26,8,4,15,0,78,14,4,4,23,17,5,8,15,0,91,0,5,0,3,3,6,0,3,0,15,50,14,18,17,14,17,12,34,11,187,572,466,405,277,224,126,121,247,24,2471
Greater Shepparton (C),22830,195,302,61,164,132,45,27,60,13,1001,310,326,161,505,322,110,48,110,18,1908,812,276,2247,812,573,433,444,765,77,6431,33,16,30,49,69,62,19,66,0,341,60,32,47,103,84,49,35,65,13,476,25,39,10,18,26,11,6,32,3,173,96,65,82,63,57,66,76,138,71,719,2249,4260,2778,2061,1604,881,687,1380,223,16124
Hepburn (S),22910,86,88,40,50,52,22,3,22,3,375,70,77,58,111,60,25,4,29,11,438,229,44,521,170,107,75,95,158,23,1418,12,9,7,20,19,13,3,15,0,90,19,14,7,40,22,7,10,20,3,138,4,6,3,8,3,6,4,3,0,38,21,30,23,19,11,5,14,38,17,185,728,1128,745,573,431,201,155,349,73,4373
Hindmarsh (S),22980,24,22,3,14,8,7,0,4,0,85,21,21,11,37,27,4,3,17,0,135,135,21,159,85,46,16,55,68,3,587,11,0,4,3,10,6,0,10,0,44,12,3,3,14,3,3,4,16,0,53,4,0,0,0,0,0,4,0,0,6,14,8,4,5,3,4,6,12,5,67,274,280,190,173,123,42,78,130,12,1311
Hobsons Bay (C),23110,316,477,257,245,309,144,61,77,28,1909,462,504,346,543,560,230,107,120,47,2919,691,343,2637,739,722,387,542,577,110,6750,29,26,25,46,81,34,23,37,4,309,94,63,81,135,159,90,70,53,10,746,52,83,29,34,39,32,27,29,3,335,67,102,94,88,98,55,72,95,76,746,4620,9547,4084,2718,3648,1619,1141,1383,478,29235
Horsham (RC),23190,96,104,19,75,63,25,8,17,7,414,106,113,43,147,103,42,16,18,5,578,358,106,822,293,223,172,175,175,26,2344,9,9,11,23,44,25,3,20,3,142,33,14,19,42,35,25,11,19,0,200,17,10,0,5,3,7,3,0,0,52,37,18,28,22,26,20,11,38,18,229,900,1455,972,736,607,344,232,312,78,5627
Hume (C),23270,482,643,487,556,628,259,273,235,57,3628,710,754,717,1518,1105,532,398,338,92,6159,1376,605,6381,2279,1688,961,1665,1577,253,16780,66,46,91,161,207,131,104,135,9,941,154,90,145,386,342,176,189,159,20,1662,68,119,82,88,103,51,82,64,13,678,127,159,249,273,237,177,212,231,162,1834,5094,10324,9000,6938,6486,3281,3713,3485,845,49151
Indigo (S),23350,82,119,31,56,54,15,3,19,3,385,98,78,40,123,87,25,12,21,8,489,261,85,681,221,150,117,159,229,26,1936,16,0,12,13,22,14,14,14,0,103,20,13,14,25,31,18,9,22,0,143,9,10,3,5,14,0,3,5,0,43,37,32,29,20,32,22,27,35,24,246,855,1346,849,591,500,256,234,392,78,5095
Kingston (C) (Vic.),23430,699,965,442,487,721,304,123,156,45,3943,938,976,705,1010,1053,513,158,216,65,5637,1533,690,5205,1426,1324,818,675,895,192,12755,59,52,51,89,147,118,40,75,11,639,168,136,125,240,335,167,98,94,14,1373,81,159,74,71,99,64,34,39,23,647,113,180,139,153,212,134,69,121,140,1270,7814,16432,7751,5073,6758,3410,1533,2146,737,51650
Knox (C),23670,628,947,434,505,671,312,117,158,48,3820,864,858,670,1205,1117,520,160,235,69,5703,1552,748,6376,1773,1607,973,1006,1157,214,15408,60,39,75,119,183,110,47,82,10,721,140,138,116,283,341,184,78,119,17,1416,78,140,68,60,123,61,25,43,14,598,117,167,158,162,179,124,102,139,140,1292,6740,14696,8964,5572,7005,3498,1829,2475,729,51508
Latrobe (C) (Vic.),23810,137,277,146,165,152,43,27,44,11,1010,241,356,215,543,370,130,46,61,43,2004,700,281,3487,1055,908,475,814,883,132,8739,38,24,32,78,91,71,33,72,17,452,51,23,61,157,110,63,43,69,12,588,14,37,23,20,21,15,11,27,4,163,76,91,103,136,79,59,73,141,74,829,1858,4166,4252,2555,2127,989,1085,1378,331,18734
Loddon (S),23940,55,28,8,19,11,7,4,4,3,133,50,16,4,31,24,10,0,12,3,147,249,26,135,70,48,22,62,110,4,735,7,4,4,3,3,3,0,12,0,45,23,6,3,11,4,3,4,9,0,61,4,0,0,0,3,0,0,0,0,16,33,7,8,14,7,8,7,18,14,113,553,276,175,169,130,62,90,179,27,1661
Macedon Ranges (S),24130,236,333,115,168,149,68,21,37,7,1136,242,263,140,338,267,92,28,66,16,1456,577,232,2121,536,426,265,340,414,63,4970,32,12,18,37,58,31,9,36,0,244,65,38,41,102,96,45,31,48,4,459,16,50,21,14,18,12,6,23,0,165,43,73,71,78,58,46,32,69,37,506,2384,4454,2741,1753,1588,734,510,790,184,15142
Manningham (C),24210,513,727,282,328,476,260,45,100,33,2766,561,532,344,508,574,311,60,131,38,3058,907,375,2387,706,587,481,260,457,74,6236,35,18,36,51,89,46,9,33,6,327,157,84,74,142,219,123,23,63,14,896,78,141,40,55,79,56,12,20,9,487,124,171,91,111,132,95,43,55,99,918,6748,13847,4146,3074,4870,2759,676,1248,588,37946
Mansfield (S),24250,45,50,9,28,25,9,4,12,5,197,51,34,22,61,36,10,4,21,3,238,173,26,402,104,76,66,77,123,9,1056,4,0,10,3,4,8,7,12,3,54,16,10,15,24,12,16,5,14,0,99,0,0,0,3,10,0,0,3,0,20,13,6,17,6,13,22,4,21,14,116,444,533,499,303,234,153,106,236,41,2544
Maribyrnong (C),24330,301,392,271,251,252,145,82,109,29,1836,396,458,405,576,446,252,106,184,35,2866,490,320,1499,628,505,325,317,405,60,4549,30,16,25,55,45,47,36,48,3,312,61,81,44,122,104,62,37,59,9,577,43,79,33,53,51,29,20,33,11,351,47,95,60,71,45,44,50,84,80,577,4472,11108,3153,3047,3598,1987,1014,1775,466,30630
Maroondah (C),24410,465,744,319,445,487,206,65,110,33,2877,600,743,497,845,703,340,102,132,37,4011,1177,588,4467,1339,1201,679,532,816,125,10914,44,32,54,82,125,84,39,51,4,514,112,102,91,217,233,127,41,86,12,1026,33,98,44,36,67,29,14,26,6,354,90,119,107,121,120,93,51,112,90,906,5186,11894,6276,4242,4907,2316,1002,1643,468,37931
Melbourne (C),24600,443,553,272,310,302,211,36,103,40,2261,542,612,579,693,437,319,49,221,54,3504,459,323,1095,594,468,366,105,237,64,3718,33,28,26,77,63,45,7,32,0,311,100,108,63,126,110,70,19,62,5,671,96,207,52,70,68,42,11,41,20,599,100,169,74,104,76,53,20,94,95,780,7666,23825,3623,4665,5577,3244,516,2066,796,51965
Melton (C),24650,420,409,319,377,488,202,158,136,28,2531,593,575,506,1036,912,343,252,208,70,4495,1107,462,4902,1624,1444,783,1360,1232,220,13132,55,26,55,103,159,116,86,93,8,693,122,80,109,303,258,141,161,143,19,1342,46,79,52,42,68,37,48,37,7,417,106,118,173,172,153,133,178,153,134,1326,4172,8050,6754,4707,5432,2448,2684,2372,658,37274
Mildura (RC),24780,133,250,59,163,83,45,21,46,10,793,227,248,122,390,230,80,28,77,23,1423,778,248,1862,727,556,413,406,554,90,5629,30,13,12,64,68,95,35,55,6,382,67,21,38,107,81,65,44,65,5,492,14,25,14,11,12,9,9,22,5,124,84,75,81,83,61,85,74,109,74,718,1839,3292,2267,1818,1329,854,632,1031,235,13297
Mitchell (S),24850,146,152,67,122,130,52,28,30,13,739,212,185,141,394,240,67,47,55,14,1352,503,192,2002,603,483,276,525,478,76,5150,32,17,30,47,57,36,18,62,3,297,36,18,38,95,79,41,38,49,8,400,12,14,14,12,19,12,11,10,3,115,58,46,99,60,68,37,56,81,31,539,1433,2061,2490,1567,1339,619,751,843,172,11285
Moira (S),24900,142,101,39,64,50,18,18,39,0,472,132,111,58,179,110,31,18,57,7,685,528,104,999,337,232,169,289,468,51,3180,29,9,3,42,35,20,8,41,0,195,50,13,16,64,34,30,13,32,0,256,7,12,9,4,10,4,8,12,3,62,74,28,45,55,24,40,33,96,31,415,1235,1300,1225,856,587,344,393,804,111,6859
Monash (C),24970,658,864,481,460,653,311,130,242,52,3854,756,782,701,889,936,467,163,303,54,5046,926,481,3127,1058,876,556,485,677,121,8329,56,39,45,106,103,86,20,76,5,525,138,93,97,182,265,135,54,89,24,1070,126,250,84,54,115,82,34,53,12,817,131,206,126,115,150,95,87,109,149,1163,8736,22640,6440,4938,7832,3928,1488,2653,930,59581
Sutherland Shire (A),17150,1294,1890,546,936,1293,508,107,150,55,6784,1595,1560,825,1589,1945,698,140,217,101,8672,3255,1442,9331,2242,2845,1488,1268,1416,344,23618,132,113,87,167,400,161,49,73,14,1201,383,325,244,414,1014,366,145,179,48,3116,146,258,94,105,353,107,37,56,24,1177,212,312,138,208,353,203,78,110,223,1840,13381,24773,12216,7712,11581,4854,2084,2583,1184,80373
Sydney (C),17200,982,1283,598,705,618,529,85,284,74,5165,1145,1331,959,1240,904,711,97,503,109,6999,1107,814,2943,1023,848,583,221,485,127,8162,94,88,61,114,133,100,12,38,4,638,278,256,110,228,274,191,45,109,24,1517,169,361,116,119,145,91,18,93,28,1153,216,298,176,205,120,115,51,171,270,1616,16548,40493,7308,7764,9625,5864,984,3508,1531,93619
Tamworth Regional (A),17310,214,356,71,159,149,52,35,47,16,1084,261,293,129,426,253,93,23,98,21,1594,825,366,2408,833,807,425,543,699,92,6992,49,23,33,65,123,79,29,74,4,479,83,39,55,109,170,78,49,93,6,680,23,23,20,22,39,23,7,60,3,218,85,54,86,74,94,70,67,143,57,722,2178,4232,2915,1962,1924,918,785,1363,230,16507
Temora (A),17350,22,20,6,15,12,7,0,5,0,91,25,21,3,33,23,4,0,3,0,113,146,27,222,65,51,38,57,54,10,679,6,3,7,6,17,13,0,11,0,55,17,5,0,13,12,8,3,9,0,69,0,0,0,0,0,0,0,0,0,7,23,5,8,9,8,13,3,9,5,78,312,328,259,163,148,83,66,90,13,1471
Tenterfield (A),17400,29,19,4,17,11,4,3,3,0,92,30,16,11,30,18,0,0,11,0,121,96,24,170,80,54,32,54,87,13,608,15,4,3,8,14,3,3,15,0,60,19,0,0,11,7,11,3,6,3,68,3,4,0,0,0,0,0,0,0,15,16,4,9,12,3,5,13,22,11,98,294,248,203,177,137,66,81,160,34,1394
Glenelg (S),22410,82,98,15,47,37,4,21,14,3,315,69,76,28,131,75,21,17,18,3,431,289,96,793,297,175,91,290,273,42,2345,20,3,14,30,24,22,11,24,0,155,25,19,12,33,21,14,24,35,0,176,11,8,8,5,0,3,3,8,0,43,43,19,20,21,20,16,48,47,16,260,727,1026,927,652,418,191,422,445,74,4881
Golden Plains (S),22490,90,102,61,77,72,28,12,22,6,464,120,105,74,179,121,38,16,38,11,700,363,97,1186,324,272,151,255,308,53,3010,12,5,17,18,36,18,17,29,0,154,26,14,25,43,32,20,23,29,3,210,8,9,8,6,8,6,3,4,0,46,61,25,41,34,29,25,20,39,23,304,959,1474,1481,831,730,333,362,497,110,6787
Greater Bendigo (C),22620,280,539,183,356,285,96,38,72,18,1877,414,527,310,819,476,196,62,162,36,2993,1289,528,4511,1743,1220,813,899,1223,141,12357,50,33,66,95,131,118,48,131,4,690,108,51,88,204,174,115,75,142,18,974,31,70,34,34,40,23,16,33,8,287,118,123,124,147,98,118,86,168,84,1060,3702,9112,5619,4184,3372,1822,1302,2182,395,31691
Greater Dandenong (C),22670,254,364,529,343,431,201,295,301,56,2775,383,441,755,996,637,410,432,480,72,4609,543,261,3179,1316,736,494,1061,1151,146,8874,32,23,65,95,91,64,76,151,12,607,94,41,118,261,164,91,139,157,12,1085,55,95,95,85,79,58,66,92,20,642,66,104,199,172,125,109,183,273,190,1421,2940,7412,6020,4645,4465,2526,3001,3760,720,35490
Greater Geelong (C),22750,782,1334,586,822,712,310,130,200,54,4929,957,1206,895,1732,1250,561,203,348,85,7235,2142,1006,9071,3651,2277,1639,1614,2329,355,24087,88,75,119,241,202,207,82,200,12,1222,189,142,160,453,342,228,150,198,24,1890,66,163,81,82,78,48,35,54,16,614,164,254,268,316,209,212,196,309,203,2135,8028,20109,12161,9485,7459,4239,2731,4239,1016,69461
Moonee Valley (C),25060,447,750,280,355,464,186,58,94,38,2664,673,668,419,619,724,310,97,151,48,3714,941,429,2955,859,893,516,423,551,102,7668,44,35,32,82,107,75,22,48,6,445,109,90,57,187,236,147,35,57,21,945,44,138,32,48,72,28,19,22,11,422,95,161,118,96,133,81,60,78,106,920,6779,15687,4653,3598,5391,2433,959,1493,651,41638
Moorabool (S),25150,117,170,64,101,105,35,18,27,9,647,144,151,99,218,188,49,29,37,20,947,417,154,1460,442,400,175,419,350,72,3884,25,8,19,17,39,24,14,25,0,166,26,23,33,86,59,33,25,31,3,327,11,9,12,9,18,3,11,3,3,77,58,31,52,43,34,28,30,46,18,348,1254,2138,1829,1106,1114,462,578,564,159,9208
Moreland (C),25250,496,848,496,476,521,302,132,158,35,3467,686,942,823,921,862,428,161,302,62,5173,927,583,3836,1260,1033,589,539,768,151,9685,50,53,52,110,127,62,30,62,3,548,118,118,118,211,256,132,52,80,17,1108,67,193,77,71,65,46,42,37,14,615,104,203,150,158,167,117,88,141,187,1312,7633,23360,7177,5764,7012,3413,1658,2691,924,59642
Mornington Peninsula (S),25340,689,956,407,564,573,264,60,151,41,3696,792,845,522,1102,767,432,97,235,50,4844,2043,682,7062,1985,1367,1061,790,1413,207,16608,75,44,99,147,176,136,34,109,5,818,182,116,160,361,275,188,74,134,13,1495,67,89,59,62,92,51,21,32,11,482,155,219,232,252,178,180,87,188,122,1611,6759,11600,9057,5518,4593,2980,1245,2517,604,44864
Mount Alexander (S),25430,43,134,27,58,42,28,10,20,4,371,69,88,55,96,62,22,8,30,0,443,203,60,572,224,107,85,101,184,28,1559,10,6,3,20,15,8,10,9,0,85,22,9,20,33,12,15,11,17,0,137,9,14,5,4,0,3,4,11,4,50,39,29,16,26,23,16,23,29,10,210,772,1682,809,655,433,233,174,380,71,5210
Strathfield (A),17100,113,152,122,79,152,79,47,64,26,838,153,162,144,169,183,107,38,82,15,1049,164,87,565,206,148,108,95,103,27,1498,14,16,13,17,41,16,5,16,0,133,30,30,26,51,66,39,21,16,12,284,40,99,37,21,34,32,13,18,7,300,25,41,27,30,38,18,18,34,43,286,1793,5796,1390,1116,1907,1027,460,706,305,14509
Glen Eira (C),22310,668,985,375,399,609,316,72,123,36,3585,690,785,502,699,754,379,75,171,53,4107,838,461,2552,877,755,512,268,456,97,6811,40,50,39,79,95,46,6,36,4,391,146,143,84,195,227,129,34,45,11,1006,109,219,67,59,91,68,10,42,18,691,122,265,100,81,143,103,35,68,125,1044,9408,22371,4899,4289,6475,3443,818,1619,801,54115
Moyne (S),25490,146,71,24,50,37,17,3,16,4,374,142,59,36,114,62,28,4,34,8,484,465,51,583,214,123,85,147,258,26,1950,22,4,5,16,21,13,4,27,0,111,44,5,9,35,25,19,8,26,7,174,12,3,7,4,3,0,0,3,0,31,80,21,38,21,13,21,15,39,18,262,1197,1026,735,534,372,205,193,458,81,4808
Murrindindi (S),25620,67,65,33,52,36,20,5,14,3,297,78,66,34,99,65,24,5,32,7,416,219,60,631,194,129,67,132,189,30,1659,16,0,5,14,19,10,4,3,0,82,15,7,19,19,22,10,10,16,3,123,6,7,5,3,3,4,3,3,0,41,40,21,24,26,18,10,27,31,17,225,634,761,806,548,380,172,195,320,72,3884
Nillumbik (S),25710,376,511,176,269,313,137,29,40,16,1878,382,420,235,414,393,147,42,64,24,2123,844,320,2782,629,604,326,281,371,61,6214,30,18,22,33,80,38,14,13,0,262,88,54,47,127,114,57,23,46,9,567,35,53,22,15,42,20,3,11,3,208,71,67,66,68,99,56,15,36,37,515,3925,7757,3697,2233,2713,1144,464,719,277,22922
Northern Grampians (S),25810,69,50,8,41,22,8,5,6,3,219,46,36,22,96,36,8,3,17,3,267,231,35,324,221,72,63,82,167,16,1212,19,3,3,18,7,21,12,17,0,93,23,3,11,34,14,12,9,19,0,126,4,5,4,5,5,0,0,8,0,32,32,15,23,35,7,15,7,42,15,177,554,544,421,506,200,145,123,299,39,2825
Port Phillip (C),25900,589,786,271,318,372,210,35,64,38,2686,743,802,387,589,589,339,50,99,33,3630,770,499,1886,652,654,422,155,313,66,5412,61,48,30,54,64,44,13,30,3,334,148,150,65,139,175,116,18,38,19,855,97,198,27,42,50,46,9,19,12,493,122,205,74,67,89,68,16,30,114,799,9221,20060,3650,3466,5040,2762,437,1072,704,46412
Pyrenees (S),25990,28,19,3,22,16,6,4,7,3,116,36,25,11,49,22,14,7,10,4,181,137,14,189,88,50,28,62,82,9,664,9,0,4,8,3,0,3,11,0,40,12,5,6,14,8,4,6,12,0,67,7,3,0,0,3,3,3,4,0,24,23,6,7,11,4,3,6,18,3,84,363,273,239,217,141,58,100,141,25,1560
Queenscliffe (B),26080,16,26,4,9,14,3,3,3,5,81,8,17,9,11,13,5,0,0,0,65,19,10,61,11,15,3,6,15,4,142,0,0,0,0,0,0,0,0,0,9,3,5,0,3,0,4,0,6,0,16,0,4,0,0,0,3,0,0,0,6,3,3,0,0,0,4,3,0,0,19,131,314,90,65,81,39,12,30,20,785
South Gippsland (S),26170,134,120,37,82,66,26,16,38,12,523,141,107,63,172,120,38,19,38,6,704,614,93,1183,324,239,171,339,402,38,3402,25,8,14,24,35,30,11,24,3,170,45,11,9,60,44,35,26,26,3,254,8,11,10,12,3,10,4,10,0,62,80,26,42,43,30,46,37,66,33,395,1455,1512,1425,868,679,405,454,660,109,7578
Southern Grampians (S),26260,105,85,24,45,32,12,9,13,5,327,112,62,31,115,61,29,9,21,8,445,399,67,608,229,153,123,113,200,17,1914,19,5,6,23,28,16,5,35,0,135,28,12,13,25,31,18,15,14,0,154,9,11,4,4,3,0,3,0,0,42,63,18,24,20,14,15,14,24,20,219,1006,1054,748,559,421,259,187,331,59,4617
Stonnington (C),26350,568,755,187,252,402,287,26,40,31,2548,538,673,319,437,500,329,30,81,39,2946,626,340,1318,504,466,381,93,216,55,4002,40,35,20,35,61,53,3,18,0,261,111,105,44,123,151,107,13,41,4,713,95,186,32,30,58,43,3,14,13,472,111,190,54,77,79,77,15,49,88,730,8793,20923,2786,2854,5033,3090,324,907,705,45421
Strathbogie (S),26430,87,62,26,35,21,7,0,10,0,252,57,53,24,62,36,7,0,25,0,277,196,34,338,129,99,50,87,141,12,1093,10,0,11,4,9,10,3,10,0,55,16,8,12,26,10,9,0,18,3,100,5,3,6,0,4,0,0,7,0,27,33,18,19,13,4,6,11,35,21,156,574,579,461,317,231,108,116,286,50,2730
Surf Coast (S),26490,149,235,80,119,109,65,17,41,6,819,176,191,106,192,144,76,15,38,14,967,438,136,1241,309,225,186,149,233,33,2952,15,7,11,22,36,20,3,18,0,138,27,23,31,40,49,36,4,26,3,239,10,21,6,9,14,11,0,3,0,79,44,61,39,36,28,28,15,31,30,314,1740,3323,1687,1074,972,600,235,486,153,10263
Swan Hill (RC),26610,70,89,23,60,28,10,7,14,3,301,92,85,43,112,68,35,15,37,4,490,385,83,698,232,187,120,144,233,37,2117,20,3,16,24,22,21,6,16,0,124,22,11,14,36,23,23,9,29,3,170,7,4,3,3,4,3,3,14,0,46,57,31,20,26,18,26,24,61,26,289,836,1094,837,578,422,276,213,443,89,4782
Towong (S),26670,48,28,7,13,18,7,5,3,0,130,42,30,20,37,28,5,0,11,0,171,163,35,245,73,55,31,55,94,13,764,12,0,3,7,8,4,3,11,0,46,13,3,9,6,10,4,5,5,0,60,3,4,4,3,0,0,0,0,0,16,25,4,12,10,9,9,10,12,10,105,400,352,308,180,154,68,91,146,31,1728
Wangaratta (RC),26700,117,146,45,116,74,26,7,20,3,560,143,163,80,256,149,74,29,40,14,942,448,116,1133,448,298,226,250,313,35,3263,22,8,20,25,38,24,12,34,0,182,41,17,22,69,42,29,25,33,0,287,15,25,7,4,9,5,3,16,0,91,37,30,35,35,19,30,28,51,27,293,1216,2107,1409,1149,811,466,374,555,99,8191
Warrnambool (C),26730,87,170,64,111,73,38,7,24,5,580,120,160,98,263,170,82,23,55,6,977,398,135,1410,494,352,283,258,387,37,3766,15,6,20,46,47,33,12,33,0,216,21,9,25,85,39,45,16,36,0,286,11,16,15,5,8,6,4,12,3,79,27,48,43,62,30,28,31,66,36,369,1057,2761,1760,1286,975,618,362,712,111,9640
Wellington (S),26810,171,193,72,112,63,26,17,23,3,688,209,216,125,275,160,47,28,64,12,1146,709,191,1913,604,402,257,418,506,75,5075,31,15,19,39,57,42,17,43,0,259,51,14,42,93,47,34,20,44,4,357,30,13,14,17,12,8,7,24,4,133,86,50,57,60,28,46,49,77,41,501,1781,2596,2357,1449,975,510,580,848,169,11270
West Wimmera (S),26890,55,22,0,5,4,7,3,5,0,106,32,20,3,23,15,4,0,8,0,98,147,11,79,50,23,13,29,64,4,419,5,0,3,3,7,7,3,4,0,31,19,3,3,11,3,0,0,3,0,47,4,0,0,0,0,0,0,0,0,9,13,5,3,10,5,3,5,8,0,53,344,207,93,115,69,36,45,110,10,1033
Whitehorse (C),26980,585,993,396,448,592,297,100,179,43,3639,694,864,630,896,834,482,127,274,55,4843,961,489,2936,1057,864,572,365,596,117,7963,48,37,60,72,114,66,26,50,10,481,125,117,90,181,238,133,44,71,14,1013,81,190,68,58,77,44,22,31,13,588,85,178,100,129,116,96,35,74,108,922,8439,22046,5750,4895,7079,3532,1063,2084,757,55639
Whittlesea (C),27070,604,766,558,645,684,360,260,245,35,4162,776,836,866,1574,1195,602,367,370,80,6658,1426,654,7069,2412,1785,1176,1469,1567,266,17823,65,65,78,160,262,151,89,123,13,1003,156,112,184,377,364,194,171,190,28,1776,81,123,106,83,109,69,80,69,15,750,151,188,258,285,259,223,228,268,198,2062,5840,13029,10179,7511,7444,4148,3434,3740,913,56235
Wodonga (C),27170,108,171,71,139,128,30,19,21,7,690,219,218,155,474,249,104,40,63,21,1535,449,258,1804,697,562,374,427,462,65,5110,20,9,26,56,66,47,22,49,3,303,23,12,22,75,84,49,45,53,4,364,4,17,14,11,14,9,8,3,4,93,29,33,37,47,48,47,41,58,39,383,1319,2728,2234,1765,1420,753,639,755,181,11794
Wyndham (C),27260,642,781,652,667,699,308,354,221,59,4383,989,947,959,1850,1393,609,632,437,95,7909,1472,769,5941,2304,1956,1069,1968,1718,257,17450,68,38,80,144,193,130,106,151,0,921,180,122,144,354,329,166,266,176,25,1760,123,173,98,114,142,78,97,86,29,931,158,159,238,226,225,150,282,190,222,1848,7758,16736,9753,8268,9319,4496,4946,4111,1119,66508
Yarra (C),27350,388,599,168,223,244,173,25,62,21,1896,428,589,288,401,388,250,49,103,33,2533,482,318,1349,541,426,294,105,212,56,3773,22,26,13,47,47,39,13,30,0,232,82,90,58,97,89,73,21,27,6,544,51,137,31,28,30,21,3,19,5,323,70,118,48,67,49,40,16,40,71,511,7108,20392,2798,3011,4013,2225,370,827,594,41343
Yarra Ranges (S),27450,617,928,384,625,619,227,80,141,43,3659,876,899,628,1320,987,396,122,254,55,5539,2257,832,8381,2138,1697,1085,1176,1618,298,19472,83,41,89,140,212,117,50,115,10,853,160,123,149,309,295,158,78,120,10,1405,61,105,64,56,73,34,30,27,5,449,172,157,234,233,158,134,120,192,155,1555,6739,11973,10531,6073,5564,2735,1802,2859,724,48992
Yarriambiack (S),27630,52,32,8,29,9,6,0,6,0,147,27,17,7,49,16,0,0,12,0,128,192,32,169,106,42,27,48,72,15,694,11,0,8,7,8,7,4,3,0,44,15,3,0,14,10,7,0,0,0,51,0,3,4,0,0,0,0,0,0,12,29,7,14,14,4,8,8,13,5,96,388,324,210,252,117,53,63,110,22,1536
Unincorporated Vic,29399,4,5,0,3,0,3,0,0,0,15,6,6,0,7,3,0,5,3,0,28,17,0,21,10,7,4,12,8,3,84,0,0,0,0,0,0,0,4,0,8,4,0,0,3,0,0,3,0,0,12,7,0,0,0,0,0,0,4,0,11,0,0,0,3,0,0,0,0,3,7,63,36,35,37,13,15,19,32,9,270
No usual address (Vic.),29499,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
