lga_name_2016,lga_code_2016,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
East Pilbara (S),53220,38,10,0,0,0,49,29,45,40,47,161,9,13,17,7,11,53,6,3,0,0,0,8,52,54,67,49,60,271,0,6,52,60,52,54,70,49,112,336,43,43,4,0,0,0,0,5,43,51,52,70,49,112,379,310,10,0,0,0,318,142,192,105,28,467,38,9,11,3,0,56,0,4,0,0,0,4,351,162,206,104,28,853,0,3,0,3,351,162,207,106,25,854,325,325,13,6,0,0,0,23,325,366,173,207,106,30,1202
Esperance (S),53290,37,6,0,0,0,38,24,21,15,15,86,5,20,13,9,9,55,0,0,0,0,0,0,44,44,39,26,26,177,0,0,3,7,44,44,39,28,25,182,20,20,8,0,0,0,0,8,20,48,44,39,28,25,211,1336,40,3,0,0,1378,441,567,263,101,1371,209,132,43,11,6,397,37,4,0,0,0,38,1578,617,615,278,108,3190,11,7,19,42,1578,617,627,283,126,3236,1252,1252,105,9,4,0,0,121,1252,1681,623,633,289,126,4608
Exmouth (S),53360,6,0,0,0,0,6,0,3,0,0,5,0,3,0,0,0,3,0,0,0,0,0,0,10,5,3,0,0,21,0,0,0,0,10,5,3,0,0,21,6,6,0,0,0,0,0,0,6,9,5,3,3,0,27,268,10,8,0,0,281,90,128,44,17,275,27,25,11,4,0,64,4,0,0,0,0,7,294,125,137,48,15,624,3,0,3,6,294,125,143,47,22,637,243,243,27,6,3,0,0,39,243,329,138,147,47,22,921
Fremantle (C),53430,22,7,0,0,0,25,10,19,7,3,41,29,26,6,13,3,72,3,0,0,0,0,8,58,38,32,14,7,147,3,3,6,8,58,38,30,18,11,153,52,52,13,7,0,0,0,16,52,64,46,33,19,11,227,2933,126,39,4,0,3103,1092,1135,360,82,2671,621,328,84,25,10,1061,83,22,0,3,0,113,3636,1567,1265,395,86,6949,30,20,20,73,3636,1567,1288,414,112,7015,3615,3615,411,166,64,14,8,661,3615,4049,1729,1360,426,114,11295
Gingin (S),53570,12,3,0,0,0,13,3,4,4,0,14,3,0,0,0,0,5,0,0,0,0,0,0,13,7,9,5,0,39,0,3,6,7,13,7,9,6,3,40,3,3,0,0,0,0,0,0,3,13,7,9,6,3,47,656,24,0,3,0,680,138,179,84,33,435,59,37,19,7,3,123,9,0,3,0,0,14,721,198,203,99,40,1256,11,3,19,35,721,198,212,105,54,1295,469,469,39,10,6,3,6,67,469,763,207,219,104,65,1833
Gnowangerup (S),53640,0,0,0,0,0,0,0,3,0,4,11,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,3,3,16,0,0,4,5,6,0,3,3,4,21,13,13,0,0,0,0,0,0,13,6,0,3,3,4,33,129,3,0,0,0,133,46,44,27,7,116,14,7,4,0,0,30,3,3,0,0,0,5,146,57,45,23,7,279,0,0,0,0,146,57,45,23,7,279,99,99,8,3,0,0,0,7,99,155,55,45,23,7,388
Kalamunda (S),54200,46,4,3,0,0,60,51,73,29,26,176,26,33,28,11,13,112,3,3,0,0,0,5,82,93,99,40,36,349,4,3,7,17,82,93,104,48,47,365,41,41,12,3,3,0,0,18,41,94,90,107,48,47,426,5578,203,33,4,3,5822,2188,2953,1290,430,6866,890,684,266,76,26,1942,153,32,4,3,0,194,6623,3108,3263,1368,459,14824,84,94,167,342,6623,3108,3348,1455,626,15161,4013,4013,390,67,16,0,4,483,4013,7012,3173,3369,1458,630,19653
Clarence (C),61410,167,8,3,0,0,177,100,110,58,42,313,85,79,37,27,8,238,13,6,0,0,0,13,269,186,153,91,46,741,8,3,0,12,269,186,160,94,45,750,125,125,25,8,3,0,0,35,125,290,191,162,91,45,908,5689,147,15,4,0,5864,1968,2452,847,276,5547,1090,780,292,84,31,2277,132,30,5,0,0,168,6917,2925,2763,942,309,13858,59,61,64,186,6917,2925,2824,1001,375,14037,5645,5645,391,58,15,0,0,469,5645,7310,2980,2842,1006,375,20150
Kalgoorlie/Boulder (C),54280,85,0,0,4,0,88,57,70,56,59,242,51,51,43,34,23,197,9,3,0,0,0,19,142,115,112,88,78,541,7,0,20,30,142,115,121,93,100,575,107,107,20,0,3,0,0,27,107,163,117,118,93,100,706,2210,102,17,9,0,2342,1094,1366,594,234,3292,360,223,87,23,9,704,77,10,3,0,0,89,2652,1435,1472,626,247,6422,25,31,48,103,2652,1435,1493,655,294,6529,2334,2334,282,67,29,9,3,386,2334,2934,1499,1519,665,295,9243
Karratha (C),54310,78,15,6,0,5,102,88,103,71,66,329,52,56,40,21,21,188,20,8,0,0,0,27,152,167,153,98,90,650,6,10,32,47,152,167,163,100,123,700,134,134,19,0,0,0,0,19,134,166,167,162,107,123,852,1336,60,15,4,0,1419,688,1004,432,130,2253,128,96,32,12,3,270,28,7,3,0,0,39,1495,847,1055,449,135,3978,9,18,21,46,1495,847,1064,465,155,4024,1094,1094,140,43,14,3,3,201,1094,1630,896,1072,463,160,5321
Lake Grace (S),54900,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,0,0,0,0,0,4,0,3,0,13,134,5,0,0,0,134,51,57,19,7,128,11,8,0,0,0,21,0,0,0,0,0,0,141,62,53,22,6,287,0,0,0,4,141,62,53,26,9,294,156,156,14,0,0,0,0,14,156,154,62,53,26,9,462
Mukinbudin (S),55950,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,0,3,0,4,0,0,10,4,4,0,0,0,0,0,0,4,3,0,4,0,0,10,79,0,0,0,0,77,18,27,10,3,52,9,0,0,0,0,11,4,0,0,0,0,4,83,19,26,10,3,144,0,0,3,4,83,19,26,10,8,146,49,49,0,0,0,0,0,0,49,88,19,26,10,8,198
Derwent Valley (M),61510,34,0,0,0,0,37,25,28,11,13,83,11,14,14,6,0,45,0,0,0,0,0,3,54,42,44,23,14,168,3,3,0,5,54,42,41,25,13,179,32,32,5,0,0,0,0,5,32,59,42,41,25,13,213,994,38,0,3,0,1038,356,365,159,67,947,215,121,67,15,7,431,26,3,0,0,0,27,1239,523,436,184,72,2451,9,11,12,36,1239,523,447,189,89,2487,1037,1037,59,3,8,0,0,73,1037,1294,532,454,190,89,3593
Goomalling (S),53710,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,4,3,3,0,11,0,0,0,0,3,4,3,3,0,11,7,7,0,0,0,0,0,0,7,3,4,3,3,0,20,127,0,0,0,0,125,40,36,15,9,97,6,11,0,0,0,24,0,0,0,0,0,0,135,57,35,18,9,251,0,3,0,3,135,57,35,18,9,253,116,116,7,0,0,0,0,5,116,143,54,35,18,9,376
Gosnells (C),53780,105,25,3,0,0,134,76,86,60,65,293,65,96,70,45,36,305,16,4,0,0,0,31,194,202,158,103,101,761,17,12,28,54,194,202,176,120,131,817,116,116,34,5,4,0,4,52,116,221,210,181,123,136,986,8250,561,94,38,23,8963,4641,5858,2604,1309,14413,1813,1389,572,232,86,4093,399,116,38,14,4,564,10456,6705,6559,2888,1426,28034,194,310,543,1046,10456,6705,6755,3192,1967,29083,7614,7614,889,213,104,56,54,1320,7614,11348,6920,6862,3253,2022,38013
Greater Geraldton (C),53800,189,8,3,0,0,206,82,106,79,67,338,106,116,87,49,43,400,23,8,4,0,0,37,322,222,197,130,108,976,5,22,28,54,322,222,202,151,133,1029,206,206,42,5,0,0,0,49,206,359,228,203,151,136,1279,3531,139,14,3,0,3689,1188,1565,650,209,3621,608,424,165,43,22,1266,96,16,4,0,0,116,4235,1771,1754,696,236,8692,45,27,55,124,4235,1771,1799,721,289,8811,3257,3257,297,49,9,0,0,357,3257,4531,1823,1803,719,289,12429
Halls Creek (S),53920,44,4,4,0,0,51,26,36,29,35,130,17,31,29,16,23,111,7,7,4,3,0,25,75,74,70,43,60,317,0,12,61,70,75,74,70,53,120,389,87,87,5,0,0,0,0,6,87,79,70,70,53,120,478,58,0,0,0,0,57,16,8,3,0,31,5,3,0,0,0,5,3,0,0,0,0,3,59,22,11,3,0,95,0,0,0,0,59,22,11,3,0,95,111,111,8,0,0,0,0,9,111,71,20,9,3,3,221
Katanning (S),54340,17,6,0,0,0,22,7,6,5,4,26,14,14,5,3,5,45,10,0,0,0,0,10,36,28,15,10,16,99,0,0,3,3,36,28,15,6,16,99,23,23,3,0,0,0,0,3,23,37,28,15,6,16,121,383,11,0,0,0,391,106,119,56,40,331,41,25,15,3,4,90,11,3,0,0,0,15,430,145,134,64,45,822,6,6,10,27,430,145,145,70,53,846,364,364,36,11,3,0,4,57,364,473,156,145,74,57,1273
Kellerberrin (S),54410,3,0,0,0,0,3,3,0,0,0,4,4,3,5,0,0,16,0,0,0,0,0,0,8,7,5,0,4,24,0,0,4,4,8,7,5,0,9,24,3,3,0,0,0,0,0,0,3,8,7,5,0,9,28,143,5,0,0,0,151,41,34,21,13,105,13,8,10,0,0,31,3,0,0,0,0,3,161,51,41,21,13,285,3,3,4,4,161,51,42,24,11,293,128,128,8,0,0,0,0,4,128,168,49,42,24,11,420
Mount Marshall (S),55880,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,58,0,0,0,0,57,24,25,10,3,64,10,3,3,0,0,13,0,0,0,0,0,0,61,30,29,10,3,135,0,0,0,0,61,30,29,10,8,135,52,52,6,0,0,0,0,6,52,67,32,29,10,8,193
Devonport (C),61610,133,6,3,0,0,141,101,96,42,30,265,61,71,35,11,9,195,4,0,0,0,0,4,206,177,134,58,37,609,9,0,6,18,206,177,140,58,44,624,122,122,38,3,3,0,0,38,122,239,185,145,58,44,786,2446,63,6,0,0,2519,744,821,327,130,2023,556,365,135,60,15,1127,57,10,0,0,0,65,3063,1178,964,390,141,5733,20,13,18,56,3063,1178,985,408,158,5784,3066,3066,213,20,10,0,3,246,3066,3274,1191,992,410,160,9100
Kent (S),54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0,52,27,33,10,3,73,3,7,0,0,0,12,0,0,0,0,0,0,52,33,29,10,3,135,0,0,0,0,52,33,29,10,3,135,50,50,0,0,0,0,0,0,50,56,33,29,10,3,185
Kojonup (S),54550,5,0,0,0,0,5,6,3,0,0,10,3,7,3,0,0,12,0,0,0,0,0,0,7,10,3,0,0,28,0,0,0,0,7,10,3,0,3,31,0,0,0,0,0,0,0,0,0,7,10,3,0,3,34,240,8,0,0,0,248,50,91,40,9,194,21,15,5,0,0,41,3,0,0,0,0,3,262,67,100,40,9,486,0,0,4,4,262,67,99,42,13,487,209,209,5,0,0,0,0,5,209,269,67,99,42,13,709
Ngaanyatjarraku (S),56620,15,4,0,0,0,26,23,20,28,24,102,11,9,9,8,0,44,9,6,0,0,0,9,36,42,29,36,28,172,4,20,54,78,36,42,35,54,85,250,34,34,0,0,0,0,0,0,34,36,42,35,54,85,287,23,0,0,0,0,23,3,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,28,3,0,0,0,33,0,0,0,0,28,3,0,3,0,36,33,33,4,0,0,0,0,4,33,32,3,0,3,0,78
Kondinin (S),54620,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,4,0,0,0,0,0,0,3,3,0,4,0,10,0,0,3,3,3,3,0,4,3,17,6,6,0,0,0,0,0,0,6,3,3,0,4,3,19,98,3,0,0,0,96,41,21,11,7,81,10,3,3,0,0,16,3,0,0,0,0,3,106,47,25,11,3,199,0,0,0,0,106,47,29,15,7,201,85,85,5,0,0,0,0,7,85,115,46,29,15,7,294
Koorda (S),54690,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,59,0,0,0,0,59,19,11,9,3,41,6,3,0,0,0,12,0,0,0,0,0,0,65,21,14,9,3,109,0,0,0,0,65,21,14,12,3,114,54,54,3,0,0,0,0,3,54,66,22,14,12,3,167
Kulin (S),54760,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,3,3,0,0,0,8,0,0,3,0,0,0,0,3,0,4,3,0,0,0,13,100,3,0,0,0,103,21,30,22,3,80,3,6,0,0,0,6,3,0,0,0,0,3,111,28,30,22,3,194,0,3,0,3,111,28,33,25,3,194,89,89,0,0,0,0,0,0,89,117,28,33,25,3,289
Kwinana (C),54830,50,4,0,0,0,59,36,47,29,28,142,43,43,39,24,6,155,6,3,0,0,0,9,99,84,89,55,34,363,6,3,4,12,99,84,89,58,44,375,54,54,20,0,0,0,0,20,54,121,84,89,58,44,449,2863,180,19,7,4,3078,1541,1731,731,332,4339,687,505,249,73,37,1544,125,31,3,0,0,164,3676,2267,2011,811,369,9137,72,74,122,261,3676,2267,2079,886,493,9395,2646,2646,329,43,17,3,3,396,2646,4002,2306,2099,885,499,12442
Laverton (S),54970,13,0,0,0,0,8,0,5,5,4,20,7,5,3,4,0,16,0,0,0,0,0,0,18,8,10,10,6,51,0,0,8,9,18,8,10,10,17,57,11,11,0,0,0,0,0,0,11,14,8,10,10,17,68,34,0,0,0,0,37,5,3,3,0,12,3,0,0,0,0,4,0,0,0,0,0,0,39,11,3,3,0,50,0,0,0,0,39,11,3,3,3,57,48,48,4,0,0,0,0,4,48,42,11,3,3,3,108
Northampton (S),56790,7,0,0,0,0,14,3,12,6,3,25,3,8,3,3,0,19,3,0,0,0,0,3,15,9,13,14,3,50,0,0,3,3,15,9,13,14,3,51,9,9,3,0,0,0,0,3,9,20,9,13,14,3,63,471,11,0,0,0,478,94,104,48,13,257,40,20,4,0,0,64,9,0,0,0,0,10,516,124,112,47,13,818,0,0,0,0,516,124,112,48,13,818,382,382,26,0,0,0,0,25,382,545,124,110,48,13,1231
Dorset (M),61810,33,0,0,0,0,32,8,12,3,4,28,10,4,0,0,0,17,3,0,0,0,0,3,37,13,15,9,4,76,3,0,0,5,37,13,13,6,5,76,20,20,6,0,0,0,0,6,20,43,13,13,6,5,109,826,21,3,0,0,848,193,228,97,48,568,117,52,37,6,3,208,15,0,0,0,0,15,950,264,265,105,53,1636,5,5,9,19,950,264,274,110,57,1653,843,843,48,0,0,0,0,46,843,1001,259,274,110,57,2548
Flinders (M) (Tas.),62010,26,0,0,0,0,26,13,6,3,0,17,3,0,0,0,0,4,0,0,0,0,0,0,36,14,6,3,0,54,0,0,0,0,36,14,6,3,0,54,33,33,5,0,0,0,0,5,33,40,14,6,3,0,87,109,4,0,0,0,110,20,23,11,3,61,14,0,0,0,0,14,3,0,0,0,0,3,121,30,25,11,3,187,0,0,0,0,121,30,25,11,3,187,107,107,9,0,0,0,0,9,107,134,30,25,11,3,311
George Town (M),62210,38,0,0,0,0,38,14,7,11,10,45,6,7,10,4,3,35,3,0,0,0,0,3,49,20,17,15,11,117,0,0,0,0,49,20,17,15,11,117,26,26,3,0,0,0,0,3,26,55,20,17,15,11,151,772,21,3,0,0,797,177,217,87,48,537,137,83,34,11,9,276,17,6,0,0,0,23,927,289,254,102,58,1631,3,10,3,22,927,289,262,112,58,1647,745,745,54,4,0,0,0,52,745,974,290,262,112,58,2449
Leonora (S),55040,4,0,0,0,0,4,3,3,5,4,20,4,3,5,0,0,15,0,0,0,0,0,0,8,5,8,5,8,37,0,3,3,6,8,5,8,10,10,43,10,10,0,0,0,0,0,0,10,8,5,8,10,10,52,67,3,0,0,0,71,27,22,16,3,65,8,9,3,0,0,20,0,0,0,0,0,0,79,35,23,16,0,159,0,0,0,0,79,35,23,16,7,157,96,96,5,0,0,0,0,4,96,84,39,23,16,7,261
Mandurah (C),55110,120,10,0,0,0,126,61,84,54,35,236,61,65,55,16,21,223,10,7,0,0,0,19,193,143,142,77,54,609,6,11,13,36,193,143,150,86,70,643,77,77,30,9,3,3,3,44,77,218,156,156,90,73,766,9412,277,22,5,3,9714,2740,3301,1274,504,7812,1429,1061,432,148,50,3121,172,38,8,0,0,220,11013,4114,3758,1424,557,20865,91,103,137,329,11013,4114,3854,1524,694,21191,7715,7715,681,84,24,6,0,796,7715,11693,4198,3876,1534,694,29705
Manjimup (S),55180,15,4,0,0,0,20,14,16,10,9,42,9,11,11,8,0,32,3,0,0,0,0,3,26,26,21,11,9,99,0,0,0,4,26,26,23,15,9,100,16,16,3,3,0,0,0,5,16,26,30,23,15,9,124,1105,24,0,0,0,1131,287,327,155,74,841,153,98,28,8,4,297,22,3,0,0,0,21,1279,411,363,168,81,2297,11,5,3,22,1279,411,371,175,85,2317,967,967,64,3,0,0,0,69,967,1342,415,374,174,85,3353
Meekatharra (S),55250,11,3,0,0,0,12,0,7,3,5,19,6,8,9,4,4,25,0,0,0,0,0,3,19,10,15,10,6,55,0,0,4,5,19,10,15,14,10,63,19,19,3,3,0,0,0,5,19,18,14,15,14,10,97,43,0,0,0,0,46,4,8,5,0,15,4,3,0,0,0,4,0,0,0,0,0,0,44,8,11,5,0,68,0,0,0,0,44,8,11,5,0,68,51,51,3,3,0,0,0,8,51,48,8,11,5,0,127
Melville (C),55320,45,4,0,3,0,52,22,31,25,8,94,25,36,22,3,4,87,3,0,0,0,0,4,70,64,53,31,17,236,0,0,3,6,70,64,60,34,24,248,45,45,12,5,3,0,0,17,45,80,73,62,35,23,310,9140,335,89,25,17,9614,4048,5679,2041,546,12322,1633,1132,352,68,23,3210,355,91,21,6,3,480,11134,5604,6149,2143,593,25622,113,127,196,440,11134,5604,6262,2270,787,26055,8380,8380,668,238,123,43,23,1102,8380,11805,5846,6388,2313,803,35535
Glamorgan/Spring Bay (M),62410,22,0,0,0,0,29,8,13,3,7,30,4,12,4,3,0,25,0,0,0,0,0,0,33,19,14,4,7,79,3,3,0,3,33,19,15,9,7,78,14,14,5,0,0,0,0,3,14,37,19,15,9,7,97,681,12,0,0,0,697,108,100,35,10,253,57,36,16,0,0,110,10,0,0,0,0,5,747,159,113,38,10,1072,3,0,3,5,747,159,117,35,15,1076,571,571,47,6,0,0,0,49,571,793,164,117,35,15,1696
Glenorchy (C),62610,183,15,0,0,0,200,101,129,66,31,329,93,106,52,28,14,298,16,9,0,0,0,23,293,227,177,99,51,841,5,6,7,19,293,227,185,100,57,866,222,222,48,4,0,3,0,63,222,340,232,188,104,60,1147,3778,137,22,6,0,3940,1535,1512,629,259,3940,1213,796,286,86,41,2420,180,36,10,0,0,229,5168,2506,1830,719,304,10533,62,64,101,220,5168,2506,1895,787,403,10754,6010,6010,497,70,25,4,0,596,6010,5667,2574,1919,786,402,17359
Menzies (S),55390,6,0,0,0,0,5,0,4,0,0,9,0,3,0,0,0,8,0,0,0,0,0,3,9,4,3,3,3,23,0,0,13,13,9,4,3,3,17,35,12,12,0,0,0,0,0,0,12,9,4,3,3,17,44,8,0,0,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,14,0,0,0,0,8,0,3,0,0,14,21,21,3,0,0,0,0,3,21,12,0,3,0,0,37
Merredin (S),55460,8,0,0,0,0,10,6,9,10,3,27,5,5,9,3,3,23,0,0,0,0,0,0,18,13,11,12,7,66,0,0,0,4,18,13,17,12,5,65,16,16,0,0,0,0,0,0,16,19,13,17,12,5,85,347,13,0,0,0,362,102,98,65,29,290,48,21,17,5,0,85,12,0,0,0,0,13,401,132,117,62,29,744,3,4,0,7,401,132,120,64,32,755,332,332,22,9,0,0,8,42,332,426,143,123,67,35,1128
Hobart (C),62810,75,7,0,0,0,79,32,49,18,5,106,35,22,8,3,0,73,0,3,0,0,0,8,113,67,52,23,10,262,0,0,3,9,113,67,52,23,14,265,90,90,30,21,14,0,0,67,90,144,80,67,25,14,415,4914,178,80,20,14,5200,1705,1987,664,202,4554,856,486,147,31,16,1531,149,43,14,4,0,214,5924,2412,2224,714,224,11502,33,22,50,111,5924,2412,2259,738,277,11612,6323,6323,819,435,168,57,46,1523,6323,6743,2848,2423,800,320,19461
Huon Valley (M),63010,151,12,0,0,0,164,72,100,52,41,264,47,46,19,10,0,123,7,0,0,0,0,14,213,136,119,64,41,562,0,3,5,13,213,136,121,66,45,572,89,89,28,0,0,0,0,28,89,235,136,121,66,45,691,1854,33,3,0,0,1892,520,519,232,105,1370,224,153,61,11,6,459,19,7,0,0,0,30,2103,717,579,239,109,3748,21,11,26,61,2103,717,599,253,136,3807,1591,1591,126,12,3,0,3,143,1591,2231,728,601,253,139,5538
Kentish (M),63210,36,0,0,0,0,36,15,21,15,5,58,11,11,5,3,0,31,0,0,0,0,0,0,43,21,28,12,9,116,3,0,4,10,43,21,29,13,9,127,21,21,3,0,0,0,0,3,21,50,21,29,13,9,151,758,16,0,0,0,781,193,220,92,42,552,79,68,14,4,3,173,15,3,0,0,0,14,855,283,235,97,51,1519,6,8,8,25,855,283,245,105,61,1543,528,528,43,3,0,0,0,46,528,897,285,245,105,61,2113
King Island (M),63410,9,0,0,0,0,9,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,0,0,16,0,0,0,0,9,3,5,0,0,16,7,7,7,0,0,0,0,7,7,14,3,5,0,0,29,200,0,0,0,0,204,46,38,32,7,122,19,15,3,0,3,40,3,0,0,0,0,3,226,58,44,32,11,369,0,0,0,0,226,58,48,32,11,373,236,236,16,3,0,0,0,21,236,241,65,45,32,11,624
Kingborough (M),63610,129,8,0,0,0,141,81,98,52,20,254,41,42,22,12,5,109,3,0,0,0,0,3,170,131,114,68,30,504,3,8,7,19,170,131,116,67,37,518,82,82,15,3,0,0,0,22,82,187,134,118,73,37,624,3687,100,11,0,0,3794,1303,1720,678,241,3939,685,442,174,28,14,1354,88,4,3,0,0,100,4465,1849,1907,705,262,9186,50,45,37,124,4465,1849,1953,753,295,9311,3087,3087,232,36,11,0,0,288,3087,4697,1887,1967,754,298,12681
Mingenew (S),55530,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,54,0,0,0,0,54,18,21,5,0,52,6,3,0,0,0,9,0,0,0,0,0,0,62,22,22,5,3,117,0,0,0,0,62,22,22,5,3,117,50,50,5,0,0,0,0,5,50,68,22,22,5,3,169
