LGA_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
18000,9518,6239,3687,2081,73268,Warringah (A)
18020,690,457,249,96,3525,Warrumbungle Shire (A)
18050,4198,2396,1387,720,40170,Waverley (A)
18100,261,186,96,31,1339,Weddin (A)
18150,551,402,218,53,3468,Wellington (A)
18200,397,254,118,43,2393,Wentworth (A)
18250,5163,2620,1594,761,38685,Willoughby (C)
18350,4143,3246,1717,612,21332,Wingecarribee (A)
18400,2898,1351,605,191,18136,Wollondilly (A)
18450,12879,7428,4821,1725,87891,Wollongong (C)
18500,4735,3063,1638,878,33046,Woollahra (A)
39399,34,23,20,6,275,
18550,9264,6744,4449,1682,60834,Wyong (A)
18710,1235,686,320,135,6982,Yass Valley (A)
18750,791,498,266,107,4573,Young (A)
19399,90,60,28,0,488,Unincorporated NSW
20110,1121,677,381,98,5268,Alpine (S)
20260,867,549,311,108,4646,Ararat (RC)
20570,5909,3543,2229,934,40269,Ballarat (C)
20660,8753,4982,2964,1416,58973,Banyule (C)
20740,2431,1918,1165,400,13241,Bass Coast (S)
20830,3211,1892,946,333,18134,Baw Baw (S)
20910,8206,4918,2989,1793,48794,Bayside (C)
21010,1149,670,406,163,5589,Benalla (RC)
21110,13883,7438,4375,2451,89738,Boroondara (C)
21180,8253,4107,2195,808,69049,Brimbank (C)
21270,412,272,178,75,2280,Buloke (S)
21370,2166,1496,952,392,13761,Campaspe (S)
21450,3963,2281,977,318,29964,Cardinia (S)
21610,11553,5630,2936,977,98673,Casey (C)
21670,929,703,392,140,4718,Central Goldfields (S)
21750,1494,822,496,183,7997,Colac-Otway (S)
21830,955,634,386,123,5944,Corangamite (S)
21890,6037,2988,2245,1103,66190,Darebin (C)
22110,3673,2688,1337,433,17691,East Gippsland (S)
22170,7664,4550,2647,1112,54480,Frankston (C)
22250,666,462,285,136,3700,Gannawarra (S)
22910,1511,861,382,130,6686,Hepburn (S)
22980,314,192,141,61,1904,Hindmarsh (S)
23110,4564,2400,1626,645,37887,Hobsons Bay (C)
23190,1234,654,470,239,7769,Horsham (RC)
23270,6932,3490,1759,443,59981,Hume (C)
23350,1500,800,360,163,7069,Indigo (S)
23430,8852,5223,3448,1436,67298,Kingston (C)
23670,9957,5230,2738,1168,66703,Knox (C)
23810,4738,2747,1602,518,29557,Latrobe (C)
23940,575,369,205,64,2767,Loddon (S)
24130,3525,1932,759,293,19140,Macedon Ranges (S)
24210,8568,6324,3147,1238,55094,Manningham (C)
24250,757,457,212,76,3577,Mansfield (S)
24330,2849,1216,865,404,35914,Maribyrnong (C)
24410,6760,4054,2523,1224,48473,Maroondah (C)
24600,4708,2475,1026,361,61064,Melbourne (C)
24650,4558,1827,848,314,42673,Melton (S)
24780,2730,1628,981,389,18570,Mildura (RC)
24850,2059,1082,551,157,13564,Mitchell (S)
24900,1732,1328,782,279,10434,Moira (S)
24970,10780,7401,4648,1861,85909,Monash (C)
25060,6700,3518,2204,954,51991,Moonee Valley (C)
25150,1951,995,449,159,11576,Moorabool (S)
25250,6202,3281,2829,1366,71738,Moreland (C)
25340,11250,9006,5465,2294,66964,Mornington Peninsula (S)
25430,1871,1168,577,290,8751,Mount Alexander (S)
25490,1089,604,301,125,6341,Moyne (S)
25620,1195,819,328,122,6088,Murrindindi (S)
25710,5371,2263,727,307,29141,Nillumbik (S)
25810,901,518,293,97,4448,Northern Grampians (S)
25900,6248,3178,1504,652,59809,Port Phillip (C)
25990,605,373,153,45,2618,Pyrenees (S)
26080,368,337,209,78,1685,Queenscliffe (B)
26170,2243,1386,667,275,11370,South Gippsland (S)
26260,1194,640,448,172,6575,Southern Grampians (S)
26350,7128,4378,2488,1181,57746,Stonnington (C)
26430,853,588,324,127,3979,Strathbogie (S)
26490,2326,1257,607,214,12920,Surf Coast (S)
26610,1138,612,391,160,7424,Swan Hill (RC)
26670,504,313,161,64,2497,Towong (S)
26700,1916,1129,729,320,11207,Wangaratta (RC)
26730,1939,1044,785,395,13425,Warrnambool (C)
26810,3151,1659,921,327,17324,Wellington (S)
26890,272,168,107,39,1532,West Wimmera (S)
26980,10163,6638,4744,2229,78087,Whitehorse (C)
27070,6473,3066,1712,612,59611,Whittlesea (C)
27170,2141,1024,603,237,14625,Wodonga (RC)
27260,6598,2843,1173,407,67732,Wyndham (C)
27350,4659,2204,959,325,46327,Yarra (C)
27450,10910,5692,2537,957,64579,Yarra Ranges (S)
27630,483,275,230,122,2683,Yarriambiack (S)
29399,57,24,6,0,491,Unincorporated Vic
29499,432,201,72,25,4636,
30250,20,15,0,3,261,Aurukun (S)
30300,231,88,43,11,1518,Balonne (S)
30370,606,325,175,64,4889,Banana (S)
30410,156,101,52,12,1082,Barcaldine (R)
30450,12,6,3,0,100,Barcoo (S)
30760,115,68,39,6,707,Blackall Tambo (R)
40430,166,117,70,19,803,Barunga West (DC)
40520,615,350,241,131,3766,Berri and Barmera (DC)
50350,942,490,286,94,6547,Bassendean (T)
50420,3891,2234,1235,565,30132,Bayswater (C)
50490,1787,1094,758,294,16563,Belmont (C)
50560,147,102,40,10,582,Beverley (S)
50630,142,51,17,6,1136,Boddington (S)
50770,116,68,24,16,605,Boyup Brook (S)
50840,428,252,83,21,1747,Bridgetown-Greenbushes (S)
22750,14153,8700,5533,2269,93464,Greater Geelong (C)
22830,3310,1802,1182,537,22572,Greater Shepparton (C)
45680,3096,1816,1317,417,25518,Playford (C)
45890,6026,3161,2319,1094,47985,Port Adelaide Enfield (C)
46090,843,459,256,89,5538,Port Augusta (C)
36810,3329,2139,958,341,17861,Tablelands (R)
36910,8856,5306,3113,1353,60348,Toowoomba (R)
36950,179,46,14,3,1299,Torres (S)
48340,649,386,203,84,3867,Wattle Range (DC)
48410,2782,1763,1458,831,25925,West Torrens (C)
48540,1211,877,474,114,8581,Whyalla (C)
49499,245,123,65,67,1635,
50080,2332,1363,818,304,13960,Albany (C)
40310,1612,800,458,174,8982,Barossa (DC)
41560,766,679,372,98,4413,Copper Coast (DC)
49399,310,111,35,3,1912,Unincorporated SA
52240,56,33,13,9,350,Cranbrook (S)
52310,55,38,18,6,293,Cuballing (S)
52450,73,46,23,8,434,Cunderdin (S)
