lga_name_2016,lga_code_2016,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Latrobe (M) (Tas.),63810,6,17,40,40,22,23,3,0,0,158,16,12,24,31,38,36,10,9,0,175,257,333,739,922,1095,893,204,31,5,4487
Launceston (C),64010,48,146,237,202,221,144,40,3,0,1036,51,87,201,180,190,158,57,14,4,936,1602,2909,5553,5570,6169,4580,1023,111,16,27538
Meander Valley (M),64210,22,33,57,56,58,49,11,0,0,283,17,23,32,56,81,57,18,3,4,287,510,683,1378,1632,2158,1656,396,51,12,8464
Wongan-Ballidu (S),59310,0,0,9,5,6,3,0,0,0,20,3,3,9,4,7,3,0,4,0,32,14,40,132,127,142,148,49,15,0,672
Woodanilling (S),59320,0,0,0,3,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,8,3,9,32,40,50,50,15,3,0,207
Wyalkatchem (S),59330,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,10,30,32,52,41,16,8,0,191
Wyndham-East Kimberley (S),59340,10,17,45,32,25,11,6,0,0,142,11,25,41,33,24,28,9,0,0,168,137,285,780,679,694,532,118,11,0,3231
Yalgoo (S),59350,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,17,56,38,45,38,5,3,0,194
Northern Midlands (M),64610,11,22,43,41,47,44,11,3,0,223,11,17,41,47,54,43,16,5,0,232,279,454,862,1030,1354,1164,296,62,0,5496
Yilgarn (S),59360,0,0,4,0,7,5,0,0,0,13,0,0,3,7,4,4,4,0,0,22,13,28,117,109,169,113,47,4,0,605
York (S),59370,0,3,4,9,11,11,8,0,0,51,3,3,5,9,22,15,6,3,0,68,76,77,179,233,344,346,126,17,0,1401
No usual address (WA),59499,0,0,12,9,7,3,0,0,0,44,3,12,41,28,24,23,4,0,0,126,26,202,598,332,308,266,40,0,0,1773
Migratory - Offshore - Shipping (WA),59799,0,0,0,0,0,0,0,0,0,0,0,3,16,20,15,10,0,0,0,60,0,19,100,98,82,35,4,0,0,334
Break O'Day (M),60210,0,4,3,11,15,11,3,0,0,50,8,0,4,13,19,14,9,0,0,66,95,104,251,345,507,505,113,13,0,1933
Brighton (M),60410,17,38,85,71,51,38,10,0,0,309,14,39,52,55,54,38,0,0,0,255,402,638,1456,1560,1389,1005,170,14,0,6636
Burnie (C),60610,10,43,76,51,79,52,17,0,0,325,19,26,51,52,52,47,13,0,3,255,606,735,1427,1505,1810,1299,250,24,4,7664
Central Coast (M) (Tas.),60810,15,37,67,76,88,69,18,0,0,370,25,24,54,56,71,60,25,9,3,322,569,717,1378,1707,2252,1813,346,51,10,8839
Central Highlands (M) (Tas.),61010,3,0,4,0,3,3,0,0,0,14,0,0,3,9,9,4,0,0,0,29,26,51,135,151,198,170,67,16,0,823
Circular Head (M),61210,17,15,26,30,22,14,0,0,0,122,15,17,22,30,22,23,12,3,0,147,214,343,643,682,816,690,172,35,3,3595
Clarence (C),61410,41,84,211,176,250,151,51,11,0,966,39,51,116,141,152,96,46,17,9,658,1302,1935,4664,5288,5815,4502,948,111,11,24581
Derwent Valley (M),61510,6,24,18,31,28,17,5,0,0,126,9,17,29,38,43,21,13,10,0,184,201,318,671,804,958,736,163,24,5,3864
Devonport (C),61610,19,54,96,93,94,54,18,0,0,439,10,31,81,74,72,64,30,9,6,367,635,819,1865,1949,2280,1671,378,50,9,9650
Dorset (M),61810,3,9,15,17,15,10,7,0,0,75,9,8,21,10,15,39,4,5,0,116,105,218,409,454,601,587,151,29,4,2561
Barkly (R),70420,5,9,27,18,18,15,3,0,0,103,9,14,32,22,23,26,0,0,0,126,101,210,487,349,360,304,79,10,0,1897
Belyuen (S),70540,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,12
Central Desert (R),70620,4,10,15,20,6,6,0,0,0,59,0,4,7,7,6,6,0,0,0,34,17,74,186,185,169,121,35,0,0,792
Coomalie (S),70700,0,0,0,0,8,4,0,0,0,13,0,3,11,6,8,3,3,3,0,37,5,29,72,64,138,110,30,4,0,455
Darwin (C),71000,65,124,360,279,252,162,53,8,0,1304,103,177,474,352,362,226,66,14,3,1778,1702,3655,12135,9364,8139,5577,1379,117,9,42081
East Arnhem (R),71300,3,23,44,53,49,26,10,0,0,210,11,10,41,28,17,12,0,3,0,118,37,108,382,350,320,234,44,8,0,1480
Katherine (T),72200,3,19,49,30,30,35,5,0,0,167,7,12,21,26,34,22,9,4,0,137,189,374,1118,803,849,577,182,21,3,4120
MacDonnell (R),72330,5,11,33,27,19,11,11,0,0,123,3,8,11,14,19,12,3,0,0,57,29,105,297,246,226,177,46,8,0,1144
