LGA_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,LGA_NAME11
10950,42,5,47,464,162,21,647,1326,244,2217,Bogan (A)
11000,69,21,90,357,136,10,503,1327,135,1965,Bombala (A)
11050,41,7,48,340,110,19,469,1339,125,1933,Boorowa (A)
11100,565,98,675,6281,1885,179,8345,21181,2684,32210,Botany Bay (C)
11150,14,3,20,405,122,23,550,1200,392,2142,Bourke (A)
11200,16,6,22,233,82,6,321,884,113,1318,Brewarrina (A)
13010,191,28,219,1164,475,65,1704,4710,677,7091,Glen Innes Severn (A)
11300,614,183,811,4496,1430,113,6039,19338,2269,27646,Burwood (A)
11350,469,93,571,4888,1639,382,6909,14937,1973,23819,Byron (A)
11400,205,34,245,2114,771,94,2979,6510,526,10015,Cabonne (A)
11450,666,92,766,11276,3461,511,15248,25346,2361,42955,Camden (A)
11500,920,429,1368,23517,8860,918,33295,71613,9043,113951,Campbelltown (C)
11520,1210,284,1506,12137,3838,354,16329,41657,5031,63017,Canada Bay (A)
11550,1707,494,2226,21829,6052,406,28287,71010,10700,109997,Canterbury (C)
11600,30,5,35,397,142,28,567,1337,127,2031,Carrathool (A)
11700,11,3,14,291,94,13,398,1035,147,1580,Central Darling (A)
11720,738,126,864,8476,3762,443,12681,23763,3538,39982,Cessnock (C)
11730,1034,205,1249,6911,3034,396,10341,26922,3179,40442,Clarence Valley (A)
11750,50,11,61,764,242,35,1041,2257,360,3658,Cobar (A)
11800,1291,409,1706,10495,3946,550,14991,36125,4190,55306,Coffs Harbour (C)
11860,5,3,8,293,91,10,394,690,85,1169,Conargo (A)
12000,81,21,102,662,274,32,968,1961,252,3181,Coolamon (A)
12050,216,32,251,1487,529,82,2098,5184,618,7900,Cooma-Monaro (A)
12150,57,12,72,539,187,18,744,2140,285,3169,Coonamble (A)
12200,170,28,198,1012,510,66,1588,3859,501,5948,Cootamundra (A)
12300,202,95,306,1628,644,90,2362,5884,740,8986,Corowa Shire (A)
12350,279,48,327,1685,670,96,2451,6433,953,9837,Cowra (A)
12500,162,50,215,1021,435,35,1491,3716,564,5771,Deniliquin (A)
12600,598,97,707,6414,2699,392,9505,18459,2127,30091,Dubbo (C)
12700,145,18,163,1247,583,73,1903,4424,433,6760,Dungog (A)
12750,922,199,1131,4477,2015,247,6739,20450,2670,29859,Eurobodalla (A)
17100,559,97,669,5152,1436,110,6698,19938,2807,29443,Strathfield (A)
17150,3763,790,4598,36445,15053,1676,53174,107806,9510,170490,Sutherland Shire (A)
17200,995,430,1442,12631,5619,412,18662,115917,22879,157458,Sydney (C)
17310,956,218,1186,8839,3583,443,12865,28012,3620,44497,Tamworth Regional (A)
17350,141,26,170,840,393,46,1279,3002,319,4600,Temora (A)
17400,126,28,154,854,372,47,1273,3746,493,5512,Tenterfield (A)
17420,1572,223,1835,31679,11000,1183,43862,83925,5792,133579,The Hills Shire (A)
17450,73,13,86,451,162,29,642,1774,321,2737,Tumbarumba (A)
17500,215,50,271,1707,640,79,2426,5653,648,8727,Tumut Shire (A)
17550,2252,633,2902,12421,4899,701,18021,45967,5957,69945,Tweed (A)
