lga_code_2016,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t,lga_name16
18710,39,3,0,4,18,6,8,9,363,3,0,0,0,0,0,0,0,0,0,6,1151,158,137,33,28,24,20,20,15,54,1639,Yass Valley (A)
19399,0,0,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,3,3,72,7,10,5,3,3,3,3,0,8,106,Unincorporated NSW
20110,44,3,5,15,19,24,22,32,612,9,0,0,0,0,0,0,0,0,0,11,1335,125,113,5,18,24,35,35,25,82,1795,Alpine (S)
20260,85,19,11,4,13,33,16,22,326,0,0,0,0,0,0,0,0,0,178,179,507,64,158,32,21,15,21,35,25,233,1111,Ararat (RC)
20570,1105,166,227,204,188,237,217,148,4025,25,0,0,0,0,0,0,0,0,5,36,4947,920,1562,271,367,308,267,320,259,376,9592,Ballarat (C)
20660,2877,638,652,734,793,800,491,593,17789,11,3,0,0,4,0,0,0,0,30,48,15562,2914,3920,907,892,935,955,972,582,948,28593,Banyule (C)
20740,225,35,37,31,30,24,18,42,1149,12,0,0,0,0,0,0,0,0,4,21,3466,264,380,70,71,60,64,54,25,205,4652,Bass Coast (S)
20830,242,41,46,23,36,50,15,78,1316,6,5,0,0,0,0,0,3,0,7,13,3639,352,473,88,118,65,76,69,32,212,5115,Baw Baw (S)
20910,1250,280,340,369,463,458,268,286,9586,16,0,0,0,0,0,0,0,0,6,33,13262,2755,3174,755,797,753,843,909,546,634,24428,Bayside (C)
21010,56,7,18,4,14,22,0,9,282,4,0,0,0,0,0,0,0,0,6,7,756,89,85,12,17,13,14,29,3,54,1076,Benalla (RC)
21110,5331,1108,1424,1758,2141,2355,1450,1099,33385,20,0,3,0,0,0,3,3,0,41,78,24339,5312,7250,1597,1906,2152,2581,2896,1731,1612,51377,Boroondara (C)
21180,12107,2051,3009,3677,3039,2848,1685,2669,79457,44,9,15,0,0,0,12,15,3,138,243,49770,8133,13530,2359,3332,3997,3347,3109,1833,3302,92716,Brimbank (C)
21270,33,3,0,7,8,5,0,7,108,0,0,0,0,0,0,0,0,0,0,0,207,17,36,3,8,17,8,6,4,23,331,Buloke (S)
21370,147,39,42,48,31,51,26,45,785,6,0,0,0,0,0,0,0,0,4,16,1607,146,266,71,76,67,53,74,42,137,2543,Campaspe (S)
21450,2324,285,315,307,245,308,154,233,7618,22,11,3,0,0,0,0,5,0,18,57,9005,2045,3527,554,519,445,369,425,204,534,17629,Cardinia (S)
21610,20709,3066,3385,3540,2770,2593,1697,1977,80052,53,9,13,4,3,5,0,8,10,63,175,48786,16669,25056,3793,4219,4168,3217,3000,1931,3019,113861,Casey (C)
21670,43,4,16,12,16,8,6,16,246,0,0,0,0,0,0,0,0,0,6,5,889,33,73,11,17,18,20,17,7,64,1147,Central Goldfields (S)
21750,124,41,36,52,20,37,23,34,627,7,0,0,0,0,0,0,0,0,0,7,1001,153,214,66,53,63,39,47,38,100,1772,Colac-Otway (S)
21830,41,0,16,14,10,12,7,12,187,4,0,0,0,0,0,0,0,0,0,3,610,115,110,10,32,19,20,34,12,46,1005,Corangamite (S)
21890,5209,962,1341,1859,2291,2228,1501,1259,36817,20,0,3,0,6,0,3,5,3,77,123,24089,3663,6706,1311,1747,2221,2691,2597,1728,1751,48514,Darebin (C)
22110,179,29,51,46,61,55,22,62,1147,13,0,0,0,0,0,0,0,0,23,39,3465,276,363,48,89,60,89,67,25,241,4721,East Gippsland (S)
22170,2237,364,360,403,425,326,217,368,11001,30,4,7,5,0,0,0,0,4,45,88,17318,2982,3783,746,699,711,609,512,307,971,28637,Frankston (C)
