lga_name_2016,lga_code_2016,p_eductrain_gd_gc,p_eductrain_bd,p_eductrain_add_d,p_eductrain_cert,p_eductrain_id_ns,p_eductrain_tot,p_healthcaresoca_pd,p_healthcaresoca_gd_gc,p_healthcaresoca_bd,p_healthcaresoca_add_d,p_healthcaresoca_cert,p_healthcaresoca_id_ns,p_healthcaresoca_tot,p_artrecserv_pd,p_artrecserv_gd_gc,p_artrecserv_bd,p_artrecserv_add_d,p_artrecserv_cert,p_artrecserv_id_ns,p_artrecserv_tot,p_othserv_pd,p_othserv_gd_gc,p_othserv_bd,p_othserv_add_d,p_othserv_cert,p_othserv_id_ns,p_othserv_tot,p_id_ns_pd,p_id_ns_gd_gc,p_id_ns_bd,p_id_ns_add_d,p_id_ns_cert,p_id_ns_id_ns,p_id_ns_tot,p_tot_pd,p_tot_gd_gc,p_tot_bd,p_tot_add_d,p_tot_cert,p_tot_id_ns,p_tot_tot
Cottesloe (T),52170,39,136,25,13,12,312,154,35,357,43,11,16,623,6,0,22,5,3,0,43,5,3,22,14,12,3,53,16,9,54,20,17,7,132,579,182,1620,313,286,91,3068
Cranbrook (S),52240,0,10,0,7,0,20,0,0,7,4,7,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,3,3,10,4,3,48,38,132,27,261
Cuballing (S),52310,4,7,8,7,0,23,0,0,6,10,6,0,29,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,3,3,8,5,13,30,26,93,13,187
Cue (S),52380,0,3,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,15,3,37
Cunderdin (S),52450,0,23,6,18,0,57,0,0,11,6,19,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,11,3,12,9,4,64,37,193,16,316
Dalwallinu (S),52520,3,17,3,0,7,28,4,0,12,11,7,0,30,0,0,0,0,0,0,0,0,0,0,3,9,0,15,0,0,3,0,16,3,18,7,9,77,53,174,34,354
Dowerin (S),52940,0,11,0,0,0,18,0,0,3,7,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,0,10,3,3,33,30,63,14,141
Kwinana (C),54830,105,353,121,222,15,905,84,74,562,336,467,58,1585,5,3,31,27,60,3,125,17,3,48,76,320,12,483,18,9,68,61,264,73,492,591,328,2480,1749,4852,512,10520
Dumbleyung (S),53010,3,14,0,3,0,22,0,0,6,0,10,0,14,0,0,0,0,3,0,3,0,0,0,0,5,0,7,0,0,0,3,0,0,3,0,3,54,20,66,3,148
Dundas (S),53080,0,6,0,0,0,17,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,6,7,3,3,32,25,72,19,151
Lake Grace (S),54900,4,18,5,8,0,32,0,0,8,6,7,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,5,0,10,0,11,94,45,174,26,350
East Fremantle (T),53150,71,201,44,32,11,456,99,42,233,66,39,12,486,16,3,29,11,0,4,61,0,8,26,10,35,4,81,7,3,45,23,19,8,111,401,212,1244,427,525,97,2909
East Pilbara (S),53220,16,71,19,36,16,165,3,7,38,20,21,3,94,0,0,3,0,3,0,6,3,0,5,15,118,7,149,0,0,7,8,23,8,47,89,73,588,442,2368,158,3714
Esperance (S),53290,52,206,68,106,15,467,17,34,112,86,145,31,414,3,0,7,5,14,0,38,0,0,14,24,171,3,212,3,0,13,10,65,35,127,80,128,672,554,1956,238,3632
Exmouth (S),53360,7,46,8,3,0,63,5,6,28,4,14,0,62,3,3,15,3,11,0,36,0,0,0,8,27,0,39,0,0,11,5,20,7,38,28,22,205,144,490,50,955
Fremantle (C),53430,259,685,129,125,29,1655,294,140,858,226,167,59,1747,34,12,106,44,51,8,262,27,12,70,48,141,12,315,60,6,174,62,123,47,473,1555,693,4244,1483,2287,374,10632
Gingin (S),53570,6,37,17,21,3,93,4,3,13,13,28,13,75,0,0,0,4,4,0,9,0,0,3,6,32,0,46,0,0,3,7,38,9,54,31,18,191,177,649,102,1165
Gnowangerup (S),53640,4,14,6,3,0,37,0,0,8,3,11,0,27,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,9,3,16,10,9,61,47,154,29,312
Kalgoorlie/Boulder (C),54280,104,399,98,177,25,882,85,48,329,167,228,46,902,3,0,15,14,50,3,86,14,3,32,48,418,13,529,8,0,19,31,165,70,293,404,236,1741,1207,4769,443,8799
Karratha (C),54310,73,308,66,117,13,616,41,28,167,85,96,20,439,0,3,6,15,16,0,40,4,0,16,34,184,10,255,16,0,42,42,230,57,388,294,179,1476,1047,3951,369,7322
Merredin (S),55460,15,48,21,24,5,112,3,3,28,18,21,4,77,0,0,3,0,9,3,11,0,0,3,0,47,3,52,0,0,3,0,3,9,18,20,28,165,111,417,55,794
Goomalling (S),53710,0,6,3,6,3,26,0,0,7,6,5,0,25,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,5,0,5,4,6,42,27,121,18,230
Gosnells (C),53780,280,1145,421,658,93,3004,357,193,1735,985,1288,209,4774,32,6,127,94,175,24,459,60,29,232,224,1068,51,1665,87,16,278,238,711,258,1585,2550,898,8718,5558,13089,1595,32410
Greater Geraldton (C),53800,153,576,174,323,41,1363,88,93,542,380,454,73,1618,4,0,29,13,45,3,95,11,9,23,70,408,20,532,3,6,33,43,254,59,399,327,375,1945,1629,5399,493,10171
Halls Creek (S),53920,14,58,13,21,4,122,3,7,22,9,17,5,65,0,0,0,0,7,6,13,4,0,0,0,19,0,26,3,0,0,0,11,8,20,37,20,116,58,161,41,433
Harvey (S),53990,102,337,132,220,23,850,38,28,286,191,295,38,883,0,5,22,17,49,6,99,5,3,22,36,232,9,305,6,5,25,48,158,31,273,155,211,1362,1106,3982,361,7179
Irwin (S),54060,4,33,13,23,5,82,0,7,18,19,18,3,70,0,0,0,0,4,0,3,3,0,3,4,29,4,41,0,0,0,5,27,10,40,14,20,125,139,488,64,846
Jerramungup (S),54130,3,15,4,6,0,33,0,0,3,3,6,0,11,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,0,10,3,5,70,44,165,14,301
Joondalup (C),54170,931,3353,946,1132,186,7482,613,418,3228,1664,1560,307,7796,44,31,262,144,240,29,759,73,37,329,370,1402,62,2269,122,38,428,375,932,195,2086,3806,2497,16982,9692,19322,2013,54314
Kalamunda (S),54200,229,800,275,387,58,1974,153,123,786,494,575,70,2208,16,7,75,40,109,9,248,15,22,80,130,716,28,992,22,11,139,103,392,91,753,949,673,4180,2947,7618,707,17079
Katanning (S),54340,14,56,5,24,3,105,3,5,51,21,48,6,132,0,0,0,0,0,0,3,0,0,4,0,52,3,60,0,0,0,4,7,3,24,20,25,192,105,476,69,888
Kellerberrin (S),54410,0,17,3,10,0,31,0,0,9,8,20,5,53,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,3,0,7,6,18,3,4,56,40,129,22,254
Kent (S),54480,3,3,3,3,0,16,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,24,64,11,144
Kojonup (S),54550,7,29,3,10,4,56,0,0,16,16,10,4,49,0,0,0,0,0,0,0,0,0,3,4,17,0,25,0,0,3,0,6,3,14,12,9,159,76,220,57,527
Kondinin (S),54620,3,7,3,3,0,23,0,0,10,9,3,4,22,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,5,0,5,9,10,50,39,109,20,232
Koorda (S),54690,0,3,0,4,0,9,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,7,11,12,43,9,78
Kulin (S),54760,0,17,8,3,0,27,0,0,3,3,3,0,13,0,0,0,0,3,0,3,0,0,0,0,9,0,8,0,0,0,0,4,0,3,4,6,55,35,86,6,194
Laverton (S),54970,3,6,0,3,0,14,0,0,4,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,3,0,5,15,9,54,44,227,13,370
Leonora (S),55040,8,10,3,10,3,31,0,0,4,8,8,0,25,0,0,0,0,0,0,0,0,0,3,0,6,0,8,0,0,0,0,3,0,3,15,17,74,57,220,14,390
Mandurah (C),55110,270,937,334,495,61,2231,141,118,800,692,953,127,2824,3,3,34,34,102,11,188,10,7,68,143,587,22,839,15,6,78,106,420,112,736,688,585,3646,3378,10051,904,19262
Manjimup (S),55180,44,116,26,63,4,276,17,12,65,63,113,11,272,4,3,23,12,42,3,83,0,0,0,5,84,3,93,0,0,10,8,45,13,74,70,81,404,324,1164,148,2185
Meekatharra (S),55250,3,10,5,12,0,34,0,3,3,12,3,0,23,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,3,8,15,11,14,67,46,118,29,280
Melville (C),55320,601,2266,569,454,85,4948,676,379,2585,794,630,194,5259,45,24,214,90,145,21,538,70,37,257,175,545,29,1122,135,47,458,226,386,137,1375,4088,2013,14148,5282,7645,1156,34326
Mukinbudin (S),55950,0,9,3,3,0,23,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,5,0,3,3,3,33,21,72,6,135
Menzies (S),55390,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,7,3,23,15,78,12,138
Mingenew (S),55530,0,0,0,0,3,9,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,30,15,53,12,108
Mundaring (S),56090,215,602,211,257,40,1508,97,115,525,347,374,68,1527,8,11,54,40,68,6,179,14,10,62,80,451,14,623,11,10,73,52,245,60,455,653,559,2744,1968,4901,507,11328
Morawa (S),55670,4,18,10,17,4,63,0,0,3,9,4,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,15,45,26,67,18,169
Moora (S),55600,9,36,10,16,5,76,0,0,15,11,22,0,49,0,0,0,0,0,0,0,0,0,3,0,26,0,30,0,0,0,0,9,0,12,13,17,125,87,305,42,593
Ngaanyatjarraku (S),56620,4,18,4,12,0,39,0,3,8,4,11,3,29,0,0,0,0,0,0,3,0,0,0,0,4,3,4,0,0,0,3,0,0,4,4,8,39,19,51,15,138
Nungarin (S),56860,0,3,3,3,0,11,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,25,0,50
Peppermint Grove (S),56930,3,21,3,3,0,46,24,4,61,7,7,3,96,0,0,4,3,0,0,12,0,0,3,0,0,0,8,3,0,15,0,0,0,16,91,23,305,67,42,13,541
Mosman Park (T),55740,62,201,41,19,5,429,119,39,281,50,46,22,557,9,9,36,9,9,0,65,10,3,33,19,29,0,92,28,4,69,16,21,10,149,573,193,1539,373,426,110,3210
Mount Magnet (S),55810,4,12,0,6,0,19,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,4,21,8,38,7,82
Mount Marshall (S),55880,0,5,3,3,0,13,0,0,4,4,0,3,9,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,3,22,23,52,10,112
Ravensthorpe (S),57420,0,22,3,8,3,43,0,0,9,11,4,3,36,0,0,0,0,3,0,3,0,0,0,3,9,0,8,0,0,0,5,3,0,8,8,9,80,75,211,40,425
Murchison (S),56160,0,6,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,0,24
Murray (S),56230,40,138,60,113,12,376,12,20,96,111,158,17,406,3,0,8,3,36,10,60,4,0,8,18,136,9,170,3,3,8,17,112,24,165,77,88,503,542,2171,200,3584
Nannup (S),56300,4,14,6,10,0,34,0,0,12,16,8,0,38,0,0,0,0,4,0,6,0,0,0,0,3,0,8,0,0,4,0,3,0,5,11,15,70,63,129,13,300
Rockingham (C),57490,354,1365,506,977,95,3542,189,221,1369,1127,1620,169,4697,0,6,70,76,238,20,416,27,13,106,219,1161,54,1574,34,8,139,247,812,195,1429,1089,915,6036,6166,18584,1535,34321
Southern Midlands (M),65010,8,54,10,43,5,131,4,10,33,42,96,11,192,0,0,4,3,19,4,28,0,0,7,3,61,3,72,0,0,3,10,36,23,67,31,24,186,167,826,121,1358
Tasman (M),65210,3,13,8,11,3,44,3,0,22,14,24,3,70,12,3,10,13,33,0,72,0,0,7,0,3,0,12,3,0,4,0,8,4,17,32,15,94,79,234,42,498
Waratah/Wynyard (M),65410,32,179,56,75,11,387,33,35,132,135,239,25,597,0,0,3,3,6,0,18,0,0,3,20,117,3,141,3,0,9,17,57,32,115,111,111,539,487,1803,182,3230
West Coast (M),65610,0,38,7,28,3,84,3,3,14,23,15,3,68,0,0,3,0,10,0,14,0,0,0,0,36,0,36,0,0,0,3,3,4,12,25,16,140,102,498,56,833
West Tamar (M),65810,53,457,102,144,21,934,103,97,388,239,326,41,1197,4,4,16,11,45,10,90,6,0,24,34,221,13,306,9,3,29,26,101,36,201,418,251,1620,1030,2879,298,6492
Narembeen (S),56370,0,15,0,0,3,16,0,0,3,3,6,3,22,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,9,3,11,0,3,35,17,67,10,147
Narrogin (S),56460,27,71,32,46,12,197,14,4,88,50,72,15,244,0,0,5,4,12,0,26,0,0,4,9,57,3,76,0,0,3,7,19,11,40,35,52,284,214,620,86,1296
Nedlands (C),56580,107,441,72,53,16,1046,456,114,973,145,52,52,1786,16,13,62,13,13,3,120,27,9,43,18,48,6,149,51,16,124,37,29,21,287,1761,487,4011,763,620,208,7850
Northam (S),56730,20,98,39,82,9,261,18,13,90,81,122,19,344,0,0,4,3,14,4,27,0,0,9,17,89,4,124,3,0,11,13,62,12,98,82,65,410,389,1359,161,2461
Northampton (S),56790,12,41,8,21,3,84,3,0,23,24,31,0,79,0,0,3,3,3,0,8,0,0,4,0,16,3,29,0,0,0,3,16,5,26,15,13,126,112,384,64,713
Sandstone (S),57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,0,20
Serpentine-Jarrahdale (S),57700,67,255,118,188,24,698,40,61,273,255,326,52,1016,0,0,19,13,76,10,118,3,4,31,63,371,11,484,5,3,34,35,214,34,329,239,206,1344,1369,4358,356,7867
Shark Bay (S),57770,4,11,0,5,0,15,0,0,0,0,0,0,5,0,0,14,7,7,0,24,0,0,0,0,8,0,12,0,0,0,3,5,3,12,5,4,53,31,137,15,254
South Perth (C),57840,269,855,178,143,46,2027,386,156,1229,279,220,65,2341,38,21,110,33,76,5,290,45,28,134,65,207,7,483,74,17,249,80,143,64,639,2441,979,7003,2120,2784,498,15821
Stirling (C),57910,1229,3735,880,917,189,8246,1311,668,5240,1831,1771,362,11188,109,60,536,246,291,44,1278,183,86,638,527,1529,80,3047,233,65,870,478,876,318,2849,7750,3739,28647,12146,19136,2669,74080
Subiaco (C),57980,140,381,63,34,11,1059,297,91,795,129,74,35,1429,14,11,82,7,14,3,138,26,7,49,21,57,3,159,58,14,120,27,26,16,259,1688,511,3689,731,744,193,7562
Swan (C),58050,364,1359,565,877,102,3588,292,226,1750,1225,1610,243,5350,27,15,130,95,241,18,532,40,15,223,304,1455,69,2109,65,21,253,275,844,217,1674,1806,1142,8721,7112,17956,1842,38576
Tammin (S),58190,3,6,3,0,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,28,13,28,8,81
Three Springs (S),58260,0,7,0,3,0,16,0,0,7,4,9,3,16,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,31,24,77,12,146
Perenjori (S),57000,3,7,3,3,0,16,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,6,3,31,26,134,12,206
Perth (C),57080,59,233,46,35,18,599,191,54,579,114,69,41,1047,17,3,59,24,27,5,132,22,4,81,37,91,11,246,69,11,168,55,46,49,395,1612,343,4290,1274,1297,339,9150
Pingelly (S),57140,3,8,7,10,0,28,0,0,3,8,11,3,30,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,3,0,3,8,5,7,31,38,101,25,202
Plantagenet (S),57210,23,39,25,36,3,139,6,6,39,39,68,11,169,0,0,0,0,0,0,8,0,0,3,3,47,0,59,3,0,4,8,13,13,34,36,43,228,213,610,77,1203
Port Hedland (T),57280,48,167,39,75,11,362,39,42,170,107,112,24,499,0,0,4,5,26,0,41,5,4,16,30,156,8,217,3,3,23,18,90,32,164,163,149,854,714,2594,258,4733
Quairading (S),57350,8,12,3,8,3,29,3,0,3,3,5,3,23,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,7,3,11,4,7,32,25,84,21,181
Toodyay (S),58330,14,48,18,28,3,128,9,6,32,34,49,9,140,0,0,3,3,5,0,13,0,0,3,6,30,3,39,0,0,3,11,26,6,48,48,32,176,198,588,75,1122
Westonia (S),59030,0,4,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,11,44,3,89
Trayning (S),58400,0,3,0,3,0,9,0,0,0,3,3,3,14,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,6,0,0,11,8,33,9,69
No usual address (Tas.),69499,0,4,0,3,0,8,0,0,6,9,3,3,26,0,0,4,0,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,3,10,12,3,40,30,58,7,149
West Daly (R),74680,5,36,5,15,4,81,3,0,8,3,11,4,26,0,0,0,0,0,3,3,0,4,4,3,14,5,28,0,0,0,0,5,6,12,17,16,58,23,100,33,248
Unincorporated NT,79399,20,105,25,67,3,255,34,29,92,50,57,8,267,9,0,15,4,12,6,36,0,5,16,6,53,0,84,7,0,21,11,40,14,95,183,113,624,387,1110,126,2543
No usual address (NT),79499,6,9,0,9,0,24,4,6,21,7,5,0,46,0,0,4,0,3,0,10,0,0,0,0,0,0,7,0,0,3,0,13,5,23,31,16,90,52,175,24,387
Upper Gascoyne (S),58470,3,0,0,3,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,4,9,19,3,41
Victoria Park (T),58510,187,595,144,131,22,1433,200,83,783,254,227,46,1592,33,14,124,66,64,7,305,32,19,110,73,202,24,453,45,6,157,86,140,71,500,1633,651,5130,2076,2961,425,12869
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,23,0,30
Alice Springs (T),70200,132,421,107,197,27,1066,235,163,708,332,355,62,1856,18,10,50,17,66,12,177,31,13,89,54,199,6,399,17,5,51,31,125,47,277,813,487,2399,1409,3183,405,8693
Devonport (C),61610,51,318,94,134,9,647,38,42,233,248,427,43,1034,0,0,10,11,33,0,61,7,5,15,41,234,5,308,3,0,17,17,109,31,177,164,164,1008,934,3212,285,5773
Dorset (M),61810,4,50,25,17,6,113,5,3,41,28,57,5,146,0,0,7,3,18,0,23,4,0,3,5,41,6,54,0,0,3,4,28,12,48,25,21,204,186,777,88,1311
Victoria Plains (S),58540,0,11,5,5,0,23,0,0,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,3,10,0,18,0,0,0,0,4,0,4,4,6,53,41,97,21,215
Flinders (M) (Tas.),62010,0,6,3,6,0,20,0,4,5,16,9,0,36,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,4,0,3,3,8,18,11,48,51,129,21,270
George Town (M),62210,4,57,15,34,8,121,12,6,46,33,76,12,191,0,0,3,4,5,0,16,0,0,0,3,38,3,44,3,0,4,3,30,14,52,51,18,189,153,718,94,1221
Glamorgan/Spring Bay (M),62410,3,28,12,20,0,69,10,3,22,19,31,4,91,0,4,6,4,8,0,24,3,0,5,0,20,0,28,0,0,3,3,15,13,31,29,19,182,172,499,65,965
Glenorchy (C),62610,81,385,132,274,25,1067,84,116,498,424,1009,90,2222,18,7,58,35,95,5,216,16,9,55,58,391,21,542,11,0,34,38,203,69,355,544,368,2100,1703,5980,569,11265
Hobart (C),62810,300,1265,196,166,41,2960,640,276,1674,419,378,87,3466,105,42,261,56,84,14,560,69,30,140,76,205,15,529,56,6,146,34,87,50,385,3327,1342,7673,2191,3383,448,18364
Huon Valley (M),63010,50,161,62,76,14,435,48,27,174,133,185,29,595,6,6,25,21,34,4,94,0,3,15,20,149,10,200,0,0,15,17,65,32,133,241,166,914,662,1919,239,4143
Kentish (M),63210,13,51,22,24,5,131,3,16,52,65,79,12,225,3,0,5,8,10,3,29,0,0,3,10,59,0,70,0,0,4,6,30,16,55,38,46,238,241,786,98,1440
King Island (M),63410,3,20,3,13,0,46,3,3,17,5,15,0,46,0,0,0,0,0,0,3,0,0,0,0,15,3,18,0,0,3,0,8,4,16,17,14,94,64,251,43,474
Kingborough (M),63610,148,778,166,182,24,1725,191,128,734,352,457,59,1918,22,13,82,30,56,5,211,21,12,78,57,274,19,460,23,10,63,33,102,50,271,1261,591,3586,1714,3954,385,11496
Latrobe (M) (Tas.),63810,20,158,40,65,3,295,20,28,133,105,180,32,489,0,0,4,5,9,3,26,3,0,3,19,95,3,126,0,0,9,9,56,19,90,77,71,478,390,1515,150,2685
Launceston (C),64010,159,1177,244,395,61,2464,307,198,1329,629,1051,127,3635,14,12,78,50,104,12,268,19,7,74,81,511,19,720,11,3,72,48,239,114,496,1138,639,4713,2396,7360,746,16994
Meander Valley (M),64210,36,261,69,116,14,559,35,49,274,176,306,39,884,7,4,15,17,45,4,89,0,0,11,23,170,3,203,5,3,11,14,80,27,142,179,145,1061,789,2524,282,4988
Vincent (C),58570,265,718,138,94,24,1600,345,141,1065,218,176,48,1993,40,22,184,54,51,18,361,37,12,146,86,199,14,493,59,13,234,84,111,49,550,2080,959,6924,1952,2513,388,14816
Wagin (S),58610,4,22,4,12,3,51,0,0,13,9,22,3,55,0,0,0,0,4,0,4,0,0,3,0,17,0,26,0,0,0,0,5,3,5,6,11,67,50,205,27,366
Wandering (S),58680,0,6,0,0,0,10,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,3,7,3,15,17,62,10,107
Wanneroo (C),58760,617,2104,811,1231,170,5358,482,321,2835,2022,2411,367,8436,12,16,160,157,293,36,679,69,17,319,487,2087,100,3075,76,18,382,351,1154,356,2340,2553,1641,13005,10429,25548,2681,55859
Waroona (S),58820,10,26,10,24,6,79,0,6,29,27,45,13,117,0,0,0,0,11,0,14,0,0,4,6,27,0,41,0,0,0,3,18,3,28,11,16,113,136,554,63,899
West Arthur (S),58890,0,12,3,3,0,21,0,0,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,3,4,12,7,5,47,31,89,21,200
Northern Midlands (M),64610,18,125,24,59,8,258,41,23,142,92,202,18,518,0,0,12,6,18,0,42,5,0,11,22,110,7,157,0,3,11,14,53,18,101,124,73,560,478,1660,184,3087
Sorell (M),64810,22,148,54,90,5,356,25,25,158,141,254,33,623,10,3,18,8,40,4,79,5,7,15,17,143,4,187,0,3,13,14,76,13,117,152,109,644,620,2148,183,3852
Palmerston (C),72800,117,406,124,257,21,1034,65,58,366,236,320,40,1086,3,8,30,25,72,9,146,3,10,33,49,328,11,435,9,6,45,59,271,92,474,473,391,2138,1912,5876,511,11298
Roper Gulf (R),73600,13,53,19,41,24,171,0,3,20,12,40,16,92,0,0,5,0,6,6,19,0,0,3,3,38,19,59,0,0,6,3,18,32,55,25,27,148,78,361,153,791
Tiwi Islands (R),74050,12,33,0,23,8,87,0,0,5,3,13,5,24,0,0,0,0,0,0,0,0,0,3,0,8,3,17,0,0,0,0,8,10,19,13,16,57,14,101,39,231
Victoria Daly (R),74550,3,24,8,16,9,63,5,0,12,7,14,14,46,0,3,0,3,3,0,10,0,0,3,3,16,3,32,0,0,0,0,6,15,21,17,6,69,82,207,65,448
Katherine (T),72200,31,168,48,64,10,339,30,32,149,104,119,36,471,0,0,12,3,4,0,24,3,3,16,12,80,7,118,0,3,7,4,32,19,70,123,119,631,516,1271,163,2837
Litchfield (M),72300,77,217,95,188,18,656,26,36,135,114,158,11,474,6,3,16,24,50,7,104,9,3,17,31,260,9,326,9,0,40,30,211,66,364,200,217,1096,1149,4632,432,7729
Wickepin (S),59100,0,7,4,4,0,22,0,0,0,3,9,3,15,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,4,3,5,0,6,34,36,82,13,169
Wagait (S),74560,0,9,0,3,0,17,3,0,8,6,0,0,16,4,0,0,0,4,0,4,0,0,3,3,0,0,10,0,0,3,0,3,3,5,18,3,50,21,49,14,161
West Arnhem (R),74660,12,53,19,23,9,137,5,4,24,10,52,17,123,0,0,6,0,25,4,39,0,0,5,8,34,10,60,0,0,5,3,16,32,62,45,31,174,112,385,100,849
Williams (S),59170,5,24,6,3,0,33,0,0,17,3,7,0,33,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,5,6,11,71,47,128,17,281
Wiluna (S),59250,0,3,0,4,0,12,0,0,3,4,5,3,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,3,7,5,3,51,19,152,6,241
Migratory - Offshore - Shipping (NT),79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,0,4,0,6,3,18
Unincorporated ACT,89399,1839,6640,1542,1698,220,16787,2769,1220,7111,2955,3107,488,17653,338,162,895,316,513,57,2293,429,150,986,718,2114,122,4528,431,89,934,449,888,479,3269,27619,10453,54226,21811,31984,3792,149895
No usual address (ACT),89499,3,7,0,3,0,14,3,0,5,4,8,0,18,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,4,22,5,50,16,33,5,139
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,18,52,18,26,11,130,8,5,24,21,24,3,84,0,0,18,8,25,3,48,0,0,4,6,37,0,43,0,0,3,10,25,16,51,63,46,259,220,630,124,1335
No usual address (OT),99499,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
Wongan-Ballidu (S),59310,11,17,3,18,0,47,3,3,6,10,10,0,30,0,0,0,0,0,0,4,0,0,4,0,15,0,22,0,0,5,0,8,7,21,8,18,72,46,185,28,348
Woodanilling (S),59320,3,3,0,4,0,11,0,0,3,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,4,6,30,15,42,0,101
Wyalkatchem (S),59330,0,3,3,3,0,13,0,0,8,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,12,52,0,89
