lga_name_2016,lga_code_2016,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Frankston (C),22170,19,16,36,1248,1060,2311,16,20,30,1285,1097,2380,102,82,190,5323,5109,10437,46,56,99,5470,5251,10720,80,58,135,3882,3857,7736,46,41,85,4006,3953,7962,0,13,13,214,315,532,4,3,5,217,322,546,0,5,7,142,253,399,0,6,6,146,262,405,7,4,7,488,257,740,7,0,3,499,259,758,3,7,8,410,592,1004,0,0,3,413,596,1016,0,0,0,11,10,19,0,0,0,9,10,22,8,20,28,1268,1428,2696,7,9,15,1288,1455,2740,6,11,13,839,1222,2062,3,7,7,849,1238,2088,3,5,6,225,454,677,3,4,9,228,463,691,0,0,0,98,192,290,0,0,0,101,195,295,3,6,12,324,756,1089,0,3,3,331,768,1101,0,0,0,7,11,15,0,0,0,7,13,20,18,21,34,1499,2638,4138,9,12,19,1524,2675,4195,5,10,15,403,707,1115,7,7,7,412,721,1134,29,17,48,1166,1293,2455,3353,3494
Gannawarra (S),22250,0,0,3,67,67,138,0,3,3,65,72,142,23,9,33,361,336,695,8,10,11,390,358,746,10,11,18,308,324,634,4,5,11,324,343,668,0,0,0,9,10,18,0,0,0,9,10,18,0,0,0,3,7,7,0,0,0,3,5,6,0,0,0,27,20,41,0,0,0,27,17,42,0,0,0,10,24,33,0,0,0,12,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,59,106,0,0,3,51,59,110,0,0,0,18,22,42,3,0,3,20,22,43,0,0,0,0,11,12,0,0,0,0,11,12,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,4,31,36,0,0,0,4,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,70,101,3,0,3,25,70,100,0,0,0,7,23,24,0,0,0,6,19,32,5,11,14,152,167,315,292,290
Greater Shepparton (C),22830,36,37,73,456,415,873,3,5,6,497,458,956,178,176,357,2651,2385,5032,39,35,71,2865,2598,5459,104,111,214,2107,2034,4139,15,24,45,2230,2171,4404,12,4,16,87,152,233,0,0,0,98,157,249,0,7,7,82,143,221,0,0,0,82,149,224,3,0,7,186,103,294,0,0,0,192,104,301,0,14,14,133,278,408,0,3,4,136,292,426,0,0,0,8,4,6,0,0,3,9,4,13,15,28,37,489,675,1167,3,5,7,511,702,1211,0,5,12,164,288,452,0,3,8,166,300,465,0,5,12,61,141,202,0,0,0,64,148,208,0,6,6,30,66,95,0,0,0,30,72,102,0,7,14,123,272,404,0,0,0,129,284,415,0,0,0,4,8,12,0,0,0,4,8,12,7,29,34,379,779,1159,0,5,10,387,815,1196,17,17,29,173,280,460,0,3,3,192,299,487,89,65,159,1013,844,1849,2082,2118
Hepburn (S),22910,6,0,6,102,103,206,6,6,7,115,104,217,17,14,30,493,524,1020,3,12,14,518,548,1063,3,9,14,350,347,694,0,0,4,353,364,712,0,0,0,13,10,18,0,0,0,13,10,18,0,0,0,8,8,15,0,0,0,8,9,13,0,0,0,28,19,47,0,0,0,28,19,48,0,0,0,37,43,81,0,0,0,41,43,85,0,0,0,0,4,4,0,0,0,0,4,4,0,0,3,92,79,170,0,0,0,90,78,175,0,0,0,33,53,83,0,0,0,33,49,80,0,0,0,28,51,84,0,0,0,28,52,84,0,0,0,11,10,21,0,0,0,12,10,20,0,0,3,33,113,149,0,0,0,38,114,150,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,103,227,334,0,4,4,106,236,340,0,0,0,23,55,77,0,0,0,28,55,80,0,0,3,182,202,385,563,636
Hindmarsh (S),22980,0,3,4,19,29,53,0,0,0,23,34,56,12,3,18,177,176,349,3,8,9,190,183,377,0,3,6,191,183,372,0,3,3,188,191,382,0,0,0,3,3,8,0,0,0,3,3,8,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,10,4,18,0,0,0,10,4,18,0,0,0,6,9,20,0,0,0,6,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,49,0,0,0,24,28,48,0,0,0,10,17,26,0,0,0,10,17,26,0,0,0,3,7,8,0,0,0,3,10,10,0,0,0,4,5,12,0,0,0,4,5,12,0,0,0,4,20,22,0,0,0,4,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,45,68,0,0,0,21,51,68,0,0,0,10,25,38,0,0,0,15,25,41,0,0,0,70,70,145,137,167
Hobsons Bay (C),23110,3,6,11,765,728,1492,6,4,8,777,736,1516,33,38,68,3458,3378,6834,41,23,64,3525,3437,6965,29,22,45,2426,2389,4822,22,25,44,2481,2432,4909,3,3,7,148,120,268,0,0,5,147,127,274,0,0,0,95,123,219,0,0,0,95,123,219,0,3,4,171,84,248,0,0,4,173,87,259,0,4,5,207,270,476,3,0,3,209,272,481,0,0,0,9,5,15,0,0,0,9,5,15,10,10,11,621,606,1223,5,3,6,629,613,1245,6,4,13,1084,1090,2175,6,6,10,1099,1096,2198,0,3,4,366,456,827,0,0,3,366,466,833,0,3,7,95,136,238,0,0,0,100,143,243,0,6,11,318,674,992,3,5,7,322,685,1009,0,0,0,7,8,18,0,0,3,14,9,25,10,16,29,1881,2370,4247,8,12,20,1899,2399,4301,4,5,4,338,584,928,5,0,4,344,590,939,8,6,12,745,833,1581,1952,1976
Horsham (RC),23190,9,0,8,143,138,276,0,0,0,156,140,290,13,28,49,863,772,1630,3,12,17,881,814,1695,13,20,39,599,569,1169,12,14,20,624,600,1222,0,0,0,22,22,40,0,0,0,24,21,45,0,0,0,11,21,26,0,0,0,11,21,26,0,0,0,35,26,64,0,0,0,40,26,65,0,0,0,34,40,78,0,0,0,34,40,78,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,106,104,212,0,0,0,108,110,210,0,0,0,29,71,96,0,0,0,29,69,99,3,0,0,23,39,58,0,0,0,24,40,60,0,0,0,7,33,42,0,0,0,7,33,42,0,0,0,50,87,141,0,0,0,50,87,141,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,108,231,339,0,0,0,112,233,346,0,3,3,47,85,126,0,0,0,48,85,132,0,6,14,206,245,451,441,412
Hume (C),23270,16,23,42,1626,1510,3139,12,12,27,1662,1547,3209,109,100,209,9052,8576,17629,110,84,193,9267,8760,18028,74,76,151,6939,7081,14021,70,65,135,7087,7219,14312,3,14,17,667,557,1226,4,9,14,678,578,1256,0,4,6,361,572,933,0,7,7,369,583,949,10,7,13,546,272,818,3,0,8,562,283,841,4,9,9,484,629,1117,3,0,6,490,640,1124,0,0,0,29,19,42,0,3,4,27,16,48,21,30,50,2091,2049,4133,10,20,31,2125,2096,4220,10,12,21,2285,2808,5094,15,23,37,2310,2839,5150,0,3,8,685,787,1467,3,3,8,688,795,1486,4,0,5,244,332,580,3,0,3,256,335,588,3,9,12,496,770,1258,0,12,12,496,784,1281,0,0,0,21,27,50,0,4,3,20,31,57,16,31,45,3730,4720,8450,21,37,62,3769,4785,8560,9,13,23,1045,1640,2681,7,11,19,1066,1665,2728,30,25,53,2434,2486,4913,4376,4332
Indigo (S),23350,0,3,3,122,120,243,4,0,6,125,125,252,18,19,30,646,649,1300,6,12,22,674,680,1352,15,9,17,517,554,1069,7,6,17,540,566,1104,0,0,0,15,20,36,0,0,0,15,19,35,0,0,0,4,26,34,0,0,0,4,29,34,0,3,3,53,39,90,4,0,4,58,40,99,0,0,0,40,82,122,0,0,0,40,80,122,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,115,159,279,4,0,3,123,167,282,0,0,0,22,57,84,0,0,0,22,57,83,0,3,3,13,32,44,0,0,0,13,30,49,0,0,0,5,7,13,0,0,0,5,11,16,0,3,4,33,92,123,0,0,0,28,102,129,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,71,197,269,0,3,4,73,204,275,0,0,0,22,49,66,0,0,0,22,48,69,16,0,17,326,192,523,398,387
Kingston (C) (Vic.),23430,8,11,18,1346,1248,2595,9,12,28,1368,1270,2634,42,31,75,6149,5737,11879,25,49,75,6213,5817,12035,19,20,47,4419,4471,8888,30,21,50,4475,4515,8985,0,3,4,403,294,701,3,3,8,409,296,708,0,0,0,193,263,459,0,0,0,193,264,456,7,3,13,384,162,544,3,0,3,395,165,560,0,0,0,407,460,862,0,3,3,407,463,873,0,0,0,14,6,14,0,0,3,14,7,18,13,3,16,1400,1185,2585,6,6,14,1414,1199,2613,0,12,13,1859,2103,3959,17,7,24,1872,2118,3992,0,3,4,549,685,1228,0,4,4,549,688,1235,0,0,4,194,250,445,0,0,0,193,252,449,0,0,3,509,940,1452,0,0,0,511,945,1457,0,3,3,22,14,36,0,0,0,20,17,40,5,17,28,3130,3989,7114,19,8,28,3150,4022,7169,3,3,3,537,780,1316,4,4,7,540,783,1328,7,19,20,1020,1326,2346,3069,3162
Knox (C),23670,6,15,17,1241,1158,2396,7,4,6,1248,1175,2421,61,59,124,6155,5621,11770,48,39,83,6264,5714,11977,39,47,85,5249,5183,10429,42,38,75,5326,5262,10585,5,9,9,314,335,653,3,0,3,324,342,663,0,0,0,157,265,424,0,0,0,160,265,426,6,3,9,517,230,745,3,0,3,520,239,757,3,4,4,419,545,968,0,0,0,427,556,977,0,0,0,11,5,24,0,0,3,16,6,25,14,18,25,1424,1393,2813,6,0,10,1442,1405,2850,8,12,25,2004,2192,4200,8,12,15,2022,2218,4233,0,0,4,425,561,981,3,3,8,431,563,994,0,0,0,220,288,504,0,0,3,219,285,507,3,0,3,472,786,1256,0,0,4,474,787,1263,0,0,0,4,8,12,0,0,3,7,13,16,13,19,36,3120,3833,6958,15,14,29,3151,3866,7020,3,10,15,467,890,1350,0,4,4,474,899,1368,14,16,30,1039,1174,2213,2316,2330
Latrobe (C) (Vic.),23810,20,25,46,459,438,893,8,3,10,481,465,951,71,85,161,2840,2660,5503,38,38,70,2950,2787,5733,53,58,120,2065,2127,4187,28,24,56,2146,2212,4357,7,6,6,112,151,260,0,0,0,114,155,270,3,3,9,56,124,176,0,3,3,56,130,185,7,5,9,227,148,369,0,3,4,231,151,385,3,0,5,155,251,400,0,0,0,155,251,405,0,0,0,8,0,13,0,0,0,11,8,16,12,17,34,550,667,1218,4,8,7,564,697,1263,4,6,10,316,514,824,0,0,0,321,517,833,3,9,10,127,214,345,0,0,0,134,222,355,0,0,0,44,97,141,0,3,3,40,97,141,3,6,8,159,321,477,0,3,3,160,327,492,0,0,0,3,4,4,0,0,0,3,4,4,12,17,27,648,1148,1799,0,8,8,659,1172,1826,10,8,24,186,310,495,8,3,4,205,325,523,33,40,75,786,900,1684,2385,2442
Loddon (S),23940,3,3,4,41,30,78,0,0,0,44,38,79,6,10,21,240,249,488,4,4,7,249,267,513,5,4,11,203,228,426,0,6,3,206,236,444,0,0,0,4,3,8,0,0,0,4,3,8,0,0,0,0,6,7,0,0,0,0,6,7,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0,0,16,19,0,0,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,45,0,0,0,11,29,45,0,0,0,10,27,40,0,0,0,10,27,40,0,0,0,4,10,12,0,0,0,4,10,12,0,0,0,3,0,4,0,0,0,3,3,4,0,0,0,3,22,22,0,0,0,3,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,55,75,0,0,0,25,55,81,0,0,0,11,23,33,0,0,0,11,25,35,0,3,9,97,86,186,363,321
Macedon Ranges (S),24130,3,3,6,459,387,841,8,6,15,471,395,864,21,21,45,2180,2072,4251,27,16,50,2228,2115,4344,15,13,24,1629,1582,3213,27,23,52,1675,1614,3290,0,0,0,37,62,99,0,0,0,37,63,102,0,0,0,13,40,47,0,0,0,13,40,47,0,3,4,151,71,221,3,0,4,153,72,223,0,0,0,89,123,216,0,0,0,91,125,213,0,0,0,3,6,8,0,0,0,3,6,8,0,3,7,287,291,586,3,3,5,298,297,598,0,0,5,252,402,654,5,3,3,259,400,664,0,0,0,63,126,183,0,0,0,64,129,190,0,0,0,33,52,82,0,0,0,33,52,82,0,0,0,116,289,405,0,3,3,119,289,409,0,0,0,0,0,3,0,0,0,0,0,3,6,0,10,468,868,1334,5,6,8,478,873,1355,0,0,0,92,200,286,0,4,4,92,206,293,9,8,10,423,449,873,1222,1320
Manningham (C),24210,5,0,8,906,840,1747,0,6,10,914,851,1764,14,16,25,4533,4140,8673,21,17,39,4570,4168,8738,13,10,24,4171,3916,8093,21,30,53,4207,3961,8167,3,3,3,230,183,411,0,0,0,231,184,412,0,0,0,141,199,340,0,0,0,141,199,340,0,0,0,244,88,324,0,0,3,243,90,331,0,0,0,234,299,530,0,0,3,233,302,535,0,0,0,9,6,15,0,0,0,7,6,15,3,3,3,845,772,1622,3,0,5,853,783,1631,3,3,4,2285,2373,4664,14,9,19,2305,2386,4690,0,0,0,497,566,1068,3,0,7,498,574,1075,0,0,0,212,206,413,0,0,4,215,211,424,3,0,3,398,584,975,0,3,3,396,584,985,0,0,0,16,29,44,0,0,0,16,30,46,3,8,13,3409,3763,7168,14,21,32,3429,3784,7214,0,0,0,436,668,1109,0,0,0,434,676,1107,0,3,4,714,877,1587,1783,1937
Mansfield (S),24250,0,0,0,72,67,137,4,0,4,76,67,138,3,3,9,324,340,661,7,3,13,333,353,684,3,4,6,287,301,594,5,5,16,300,317,613,0,0,0,3,8,12,0,0,0,3,8,9,0,0,0,4,6,11,0,0,0,4,6,11,0,0,0,21,9,38,0,0,0,21,9,38,0,0,0,12,23,38,0,0,0,12,23,38,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,48,52,98,0,0,0,44,52,98,0,0,0,13,20,32,0,0,0,16,20,32,0,0,0,6,13,17,0,0,0,6,13,17,0,0,0,0,9,13,0,0,0,0,9,13,0,0,0,8,40,49,0,0,0,8,40,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,84,111,0,0,0,27,84,113,0,0,0,13,30,48,0,0,0,13,30,48,0,0,0,122,127,245,288,269
Maribyrnong (C),24330,3,3,10,648,570,1219,3,0,3,655,579,1230,19,22,41,2516,2471,4986,17,19,32,2553,2505,5056,13,10,28,1724,1692,3419,17,15,37,1762,1717,3481,0,0,0,245,202,440,0,0,4,245,197,445,0,0,0,246,291,541,4,3,5,255,292,547,4,0,4,104,85,182,0,4,3,109,84,192,0,3,7,273,281,556,3,0,4,277,285,564,0,0,0,11,5,16,0,0,0,11,5,17,4,3,5,881,860,1738,6,11,15,896,867,1765,9,3,11,1958,1749,3706,3,7,13,1973,1759,3728,7,15,15,1078,880,1954,5,0,5,1085,895,1977,0,0,0,127,165,291,0,0,0,127,168,291,3,3,6,595,814,1405,5,0,5,599,815,1413,0,0,0,15,13,31,0,0,0,15,13,31,18,19,37,3758,3619,7380,15,7,22,3796,3643,7438,6,3,6,489,803,1290,6,3,11,496,804,1301,15,8,28,784,734,1518,2394,2369
Maroondah (C),24410,3,7,9,1005,973,1976,9,3,12,1018,983,2003,34,36,74,4538,4321,8857,19,31,53,4600,4393,8987,25,31,57,3642,3386,7021,31,16,49,3700,3429,7131,0,3,3,232,238,463,4,0,7,235,243,478,0,0,0,152,194,348,0,0,3,153,195,351,0,0,0,415,143,555,0,0,0,415,139,555,0,3,5,302,399,704,0,0,0,305,396,707,0,0,3,4,8,12,0,0,0,7,6,11,3,8,10,1114,969,2085,3,4,8,1120,980,2101,5,9,11,1128,1311,2438,4,3,6,1133,1321,2460,0,0,0,318,440,754,7,3,9,318,446,761,0,3,4,141,196,337,0,3,3,144,201,344,0,7,11,399,717,1113,0,5,9,402,723,1129,0,0,0,8,16,20,0,0,0,6,16,24,9,20,26,1991,2673,4669,13,18,24,2007,2707,4717,0,3,4,422,676,1100,3,0,4,427,677,1109,14,16,25,677,856,1534,1793,1977
Melbourne (C),24600,0,0,3,394,377,767,5,4,11,402,376,777,11,3,15,1331,1318,2645,10,12,23,1347,1335,2686,12,11,17,1237,1232,2465,13,13,23,1260,1248,2511,0,3,3,678,757,1437,3,3,7,687,760,1449,0,0,0,685,907,1592,7,3,9,695,910,1601,3,3,5,153,115,262,0,0,0,157,115,272,5,3,3,424,546,969,3,0,4,434,545,977,0,0,0,7,7,16,0,0,0,7,7,16,7,7,12,1954,2330,4285,12,7,15,1969,2345,4314,20,55,70,10673,13898,24572,21,38,62,10713,13996,24707,9,10,13,3274,3316,6592,6,6,15,3288,3333,6618,0,0,0,286,361,645,0,3,3,287,363,647,13,3,11,1005,1274,2277,0,5,12,1013,1284,2298,0,0,0,39,40,84,0,0,0,39,40,83,37,61,105,15274,18895,34164,37,59,91,15345,19012,34363,4,0,5,1427,1955,3388,17,12,30,1443,1973,3418,52,9,61,1169,963,2139,7060,6993
Melton (C),24650,15,15,32,1327,1307,2631,9,17,31,1348,1344,2690,118,98,210,7113,7019,14130,70,71,138,7298,7183,14482,69,57,124,4826,4713,9536,40,52,89,4930,4822,9754,5,0,4,250,233,481,3,0,3,259,233,493,3,0,3,138,233,371,3,0,3,145,236,381,7,3,9,337,150,484,3,0,3,345,155,496,3,6,3,299,391,691,0,0,0,298,396,695,0,0,0,8,6,9,0,0,0,8,6,9,16,9,19,1027,1017,2043,7,6,11,1050,1028,2078,3,12,16,1164,1508,2672,5,12,18,1171,1529,2701,0,7,9,276,474,747,0,3,5,277,483,758,0,3,3,142,226,372,0,5,5,142,234,379,0,7,11,343,575,920,0,0,0,345,586,935,0,0,0,11,8,21,0,0,0,11,8,21,6,28,36,1929,2800,4731,8,16,23,1944,2842,4788,8,8,18,553,948,1505,3,3,10,559,963,1529,84,64,142,2034,1741,3778,3071,3146
Mildura (RC),24780,48,30,73,463,400,859,6,3,12,516,435,951,183,163,341,2034,1904,3937,38,27,68,2255,2090,4346,116,98,215,1594,1633,3227,23,20,46,1734,1752,3486,10,6,13,98,94,195,3,0,3,111,101,214,0,4,7,43,73,116,0,0,0,43,79,126,9,6,11,136,112,251,0,0,0,144,120,262,3,11,20,161,208,368,0,0,0,167,228,395,0,0,0,4,6,9,0,0,0,4,9,13,23,31,54,444,495,937,8,0,7,472,530,1001,0,8,8,103,245,348,0,0,0,105,252,359,0,8,6,40,126,168,0,0,4,49,129,177,0,3,3,29,51,81,0,0,0,29,58,85,0,3,5,85,223,314,0,0,3,93,226,322,0,0,0,0,7,6,0,4,4,0,10,8,3,21,23,265,649,912,3,5,8,273,671,948,15,11,25,101,195,298,3,3,3,117,212,330,61,85,146,653,742,1394,1887,1755
Mitchell (S),24850,7,5,19,385,312,696,6,6,12,396,327,725,42,62,102,1772,1652,3423,29,26,54,1841,1735,3578,49,30,72,1422,1358,2776,21,25,50,1483,1409,2895,0,0,3,82,78,160,4,0,4,91,79,172,0,3,3,21,53,75,0,0,0,23,59,78,10,0,11,134,81,211,3,4,5,142,86,225,3,3,3,96,175,272,0,0,3,103,178,274,0,0,0,0,6,6,0,0,0,0,6,6,15,7,22,338,385,724,6,8,9,359,401,756,0,0,3,172,229,395,3,3,4,171,229,404,0,0,0,33,102,140,0,0,3,38,105,139,0,0,0,28,46,71,0,0,0,28,46,71,0,0,0,105,220,327,0,0,0,110,225,331,0,0,0,0,7,5,0,0,0,0,7,5,0,3,5,338,599,942,4,0,9,348,604,954,3,6,4,128,171,302,3,4,3,139,174,307,16,18,31,466,534,1001,1341,1355
Moira (S),24900,4,10,14,230,184,416,0,4,6,234,195,435,39,33,75,1085,1071,2153,13,14,26,1135,1121,2257,25,24,53,867,808,1673,5,11,16,899,836,1742,0,0,0,20,34,56,0,3,0,20,41,57,0,0,0,10,38,50,0,0,0,10,39,54,0,3,4,100,72,176,0,0,0,104,76,174,0,0,3,66,132,193,0,4,4,64,138,198,0,0,0,3,5,7,0,0,0,4,5,7,4,5,12,197,279,482,0,7,8,204,293,493,0,0,0,50,84,140,0,0,0,50,84,140,0,0,0,9,33,44,0,0,0,9,38,48,0,0,0,5,42,52,0,0,0,5,41,53,0,3,3,19,86,101,0,0,0,19,85,105,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,90,244,334,0,0,0,90,254,342,3,3,3,72,108,181,3,0,3,73,112,183,14,8,25,423,440,862,940,906
Monash (C),24970,5,4,11,1415,1309,2724,9,15,21,1425,1325,2753,11,28,43,6625,6339,12967,41,23,65,6683,6391,13074,19,19,39,5733,5363,11096,30,25,59,5778,5408,11187,0,3,5,589,416,1004,0,3,3,594,416,1011,0,4,8,381,482,861,0,3,4,384,490,874,0,4,3,307,112,421,0,0,0,313,118,427,4,0,0,422,609,1030,0,5,5,428,616,1038,0,0,0,16,14,26,0,0,0,16,14,22,10,9,16,1716,1623,3343,0,12,11,1727,1644,3374,14,20,33,7263,7437,14697,26,13,41,7301,7470,14773,0,5,4,2078,1919,4001,9,3,17,2093,1928,4022,0,0,0,339,328,669,0,0,0,344,328,671,3,4,5,744,959,1703,0,0,3,747,971,1714,0,0,0,43,37,75,0,0,0,43,37,75,23,25,43,10471,10679,21152,35,21,58,10526,10727,21251,3,4,4,765,990,1751,3,6,11,766,998,1766,8,4,19,1124,1315,2437,3369,3429
